,RIC,error
ROYT,,No best match available
OLIE,,No best match available
JGGRF,,No best match available
PRBEQ,,No best match available
CUII,,No best match available
HNWEF,,No best match available
RLGY,,No best match available
USO,USO,
DCVRF,,No best match available
MOBIF,,No best match available
FPX,FPX,
VRTWF,,No best match available
PGTI,,No best match available
REST,,No best match available
AWHHF,,No best match available
AFZ.U,,No best match available
PFGY,,No best match available
EOSOF,,No best match available
OSM.U,,No best match available
IFLG,,No best match available
CIEGF,CIEGF.PK^I12,
WIS.Z,,No best match available
1129B,FRBNPP014OV0.PA,
CVLT,,No best match available
SHA.2,,No best match available
QQEW,,No best match available
QTEC,,No best match available
CABLF,,No best match available
GCF,,No best match available
NRV.Z,,No best match available
GLO,GLO,
VIG,VIG,
NKA,,No best match available
SLV,,No best match available
GLK,,No best match available
VRTB,,No best match available
COWN.,,No best match available
LOCL,,No best match available
VOLC,,No best match available
HWCC,,No best match available
ULTRF,,No best match available
AQARF,,No best match available
EQ.2,,No best match available
LRTNF,,No best match available
LEGPF,,No best match available
PTCT,,No best match available
NSH,,No best match available
ACHN,,No best match available
QRTEA,,No best match available
NFSB,,No best match available
NFYEF,,No best match available
RDYN,,No best match available
SYCRF,,No best match available
MITI,,No best match available
HDP.2,,No best match available
L.CM,,No best match available
HK,,No best match available
VCG,,No best match available
AOCIF,,No best match available
DNKN,,No best match available
SEM,SEM,
TCMS,,No best match available
WRN,WRN,
ESOA,,No best match available
PERL.,,No best match available
CGF.Z,,No best match available
LBN.U,,No best match available
STF.U,,No best match available
VPGI,,No best match available
MILC,,No best match available
LMST,,No best match available
CNSWF,,No best match available
RFID.,,No best match available
KBR,KBR,
RBCO,,No best match available
RHNO,,No best match available
LTXB,,No best match available
DHXM,,No best match available
0052A,,No best match available
BGH.2,,No best match available
RVBD,,No best match available
GDX,GDX,
LSON,,No best match available
CGTFF,,No best match available
MBGNF,,No best match available
SCEY,SCEY.PK^L11,
VALV,,No best match available
RYJ,RYJ,
EOE,,No best match available
RIF,RIF,
EEYUF,,No best match available
BHWX,,No best match available
SAENF,,No best match available
GLUSF,,No best match available
OPSSF,,No best match available
AHD.H,,No best match available
EHTH,,No best match available
LMAT,,No best match available
ICEY,,No best match available
WEST,,No best match available
CJPKF,,No best match available
DALXF,,No best match available
LRF.U,,No best match available
VRTA,,No best match available
SVU.P,,No best match available
INFU,,No best match available
LIEG,,No best match available
ESXB,,No best match available
HDIX,,No best match available
LBCP,,No best match available
DIVX.,,No best match available
IACAF,,No best match available
PFR.U,,No best match available
UCCC,,No best match available
PPPS,,No best match available
SEG.Z,,No best match available
WINMQ,,No best match available
VRUS.,,No best match available
MITL,MITL.W^E14,
INWK,,No best match available
MANF,,No best match available
IPHS,,No best match available
CLWR.,,No best match available
IFR,,No best match available
NGI.U,,No best match available
ICFI,,No best match available
MTRO.,,No best match available
GTS,GTS,
OSIR,,No best match available
BBEPQ,,No best match available
SXE.1,,No best match available
HYCO,HYCO.TE,
0117A,,No best match available
TXIC,,No best match available
TBTEF,,No best match available
GSL,GSL,
0149A,,No best match available
WYND,,No best match available
PHNHF,,No best match available
MLFB,,No best match available
ASTV,ASTV.PK^I16,
IXEUF,,No best match available
ARTEQ,ARTEQ.PK^G12,
EVR,EVR,
TF.Z,,No best match available
DEB,,No best match available
DWM,DWM,
DTH,DTH,
DTN,DTN,
DEW,DEW,
DFE,DFE,
DHS,DHS,
DOO,DOO,
DOL,DOL,
DIM,DIM,
DLS,DLS,
DNL,DNL,
DFJ,DFJ,
DXJ,DXJ,
DLN,DLN,
DON,DON,
AUSE,AUSE.W^E14,
AXJL,,No best match available
DTD,DTD,
DES,DES,
EBGMY,EBGMY.PK^L09,
OMTR,,No best match available
2319B,FRBNPP014E69.PA,
SIRO,,No best match available
PMMTF,,No best match available
DDM,DDM,
MYY,MYY,
MVV,MVV,
SH,,No best match available
DOG,DOG,
SSO,SSO,
PSQ,PSQ,
QLD,QLD,
XPH,XPH,
XES,XES,
KRE,KRE,
XOP,XOP,
XRT,XRT,
XME,XME,
NHF,NHF,
FBT,FBT,
FDN,FDN,
FXS,FXS,
FXA,FXA,
LORA,,No best match available
FXB,FXB,
FXC,FXC,
FXM,,No best match available
FXF,FXF,
MIGL,,No best match available
RU.Z,,No best match available
JGG,,No best match available
FPI.1,,No best match available
COTE,,No best match available
ORBC,,No best match available
DADY,,No best match available
HRST,,No best match available
ALGT,,No best match available
FOLD,,No best match available
CRK.4,,No best match available
BKUCF,,No best match available
IMUC,,No best match available
HIL,HIL,
USSIF,USSIF.PK^H12,
