,RIC,error
GIGB,,No best match available
TPGH,,No best match available
JWEL.,,No best match available
DLPH,,No best match available
ADV,ADV,
CNAC,,No best match available
MYO,MYO,
GGBBF,,No best match available
XDU.,,No best match available
XDG.,,No best match available
XDIV.,,No best match available
CGBD,,No best match available
CPUL,,No best match available
VNTR,,No best match available
ADOM,,No best match available
ZKIN,,No best match available
CALF,,No best match available
ICOW,,No best match available
FFBW,,No best match available
XDGH.,,No best match available
XDUH.,,No best match available
HLIT,,No best match available
RNGR,,No best match available
DRI,DRI,
ATXI,,No best match available
BGPIQ,BGPIQ.PK^A12,
EZEN,,No best match available
RA.1,,No best match available
FEIC,,No best match available
PTGCY,,No best match available
RNLC,,No best match available
RNMC,,No best match available
RNSC,,No best match available
RMD,RMD,
FCAL,,No best match available
RNDM,,No best match available
RNDV,,No best match available
RNEM,,No best match available
BWCF,,No best match available
BHB,BHB,
AFIN,,No best match available
VSMV,,No best match available
FSAC,,No best match available
SAFE,,No best match available
TRTX,,No best match available
SOLO,,No best match available
GADS,GEPH_r.PA^J12,
GPMT,,No best match available
CAGG.,,No best match available
FSPR,,No best match available
CAGS.,,No best match available
KALA,,No best match available
TTAI,,No best match available
USMF,,No best match available
ATAC,,No best match available
AKCA,,No best match available
CBH,CBH,
GOAU,,No best match available
VESH,,No best match available
OCIO,,No best match available
XELA,,No best match available
CISN,,No best match available
OSPR,,No best match available
BBCP,,No best match available
RDFN,,No best match available
BHGE,,No best match available
CMTA,,No best match available
CIC,,No best match available
SID.,,No best match available
JBGS,,No best match available
URZZF,,No best match available
SMMD,,No best match available
FANZ,,No best match available
PREF,,No best match available
YOGA,,No best match available
CLXT,,No best match available
CURV,,No best match available
HYDB,,No best match available
IGEB,,No best match available
SPMV,,No best match available
RGLB,,No best match available
REEM,,No best match available
USEQ,,No best match available
REFA,,No best match available
EQRR,,No best match available
SUSC,,No best match available
SQLV,,No best match available
SUSB,,No best match available
AEX.,,No best match available
DTMXF,,No best match available
WINR,,No best match available
PETQ,,No best match available
WRLS,,No best match available
7689B,,No best match available
DARE,,No best match available
EMXC,,No best match available
USOU,,No best match available
EDGF.,,No best match available
EFBI,,No best match available
LS.,,No best match available
NEXT,,No best match available
ALPN,,No best match available
LNGYF,,No best match available
EFL,EFL,
PDLB,,No best match available
GNPX,,No best match available
HPMM,,No best match available
CGAC.,,No best match available
DMRL,,No best match available
DMRS,,No best match available
DMRI,,No best match available
DMRM,,No best match available
MTEM,,No best match available
NXNN,,No best match available
USOD,,No best match available
ACHV,,No best match available
TRMT,,No best match available
STRZA,,No best match available
CIFS,,No best match available
PQG,PQG,
BJS,,No best match available
MNSI,,No best match available
RETO,,No best match available
VNCR,VNCR.BEL^D12,
ARPO,,No best match available
QES,QES,
AMCA,,No best match available
EMRN,,No best match available
PETZ,,No best match available
JAGX,,No best match available
MDNAF,,No best match available
CSSE,,No best match available
CDBMF,,No best match available
DESP,,No best match available
ZLAB,,No best match available
ALTD,,No best match available
FFIU,,No best match available
FMDG,,No best match available
BRQS,,No best match available
MBIO,,No best match available
KRYS,,No best match available
CTST,,No best match available
PSND,,No best match available
HBB,HBB,
IPOA,,No best match available
CELC,,No best match available
FPEI,,No best match available
RWX.,,No best match available
DOTA,,No best match available
SYBX,,No best match available
SECO,,No best match available
RYB,RYB,
CEIX,,No best match available
BAR,BAR,
NITE,,No best match available
HAIR,,No best match available
NCNA,,No best match available
ROKU,,No best match available
DCPH,,No best match available
SECT,,No best match available
FLMB,,No best match available
FLMI,,No best match available
HFMU.,,No best match available
MFDX,,No best match available
MFEM,,No best match available
MFUS,,No best match available
MAGA,,No best match available
GHYB,,No best match available
ADIL,,No best match available
HJLI,,No best match available
OBOR,,No best match available
BPMP,,No best match available
MOLC,,No best match available
PFFD,,No best match available
LLQD,,No best match available
FSB.,,No best match available
REIT.,,No best match available
HMP,,No best match available
MLQD,,No best match available
IBDS,,No best match available
GSEW,,No best match available
MXDU,,No best match available
RBIN,,No best match available
RBUS,,No best match available
FCW.,,No best match available
HERS.,,No best match available
CMSS,,No best match available
OPTN,,No best match available
BRAC,,No best match available
QD,QD,
CYBR.,,No best match available
EMV.,,No best match available
FUV,,No best match available
UMI.,,No best match available
DGRC.,,No best match available
ACER,,No best match available
PBDM,,No best match available
PBEE,,No best match available
PBTP,,No best match available
PBUS,,No best match available
PBSM,,No best match available
SWCH,,No best match available
XFLT,,No best match available
DXB.,,No best match available
DXZ.,,No best match available
DXF.,,No best match available
HXDM.,,No best match available
MOSC,,No best match available
BSCR,,No best match available
IGCF.,,No best match available
HTRB,,No best match available
DALT,,No best match available
PBND,,No best match available
BSJP,,No best match available
GOGO.,,No best match available
EATOF,,No best match available
PMIF.,,No best match available
ANGI,,No best match available
DIVS.,,No best match available
NUBD,,No best match available
MCB,MCB,
LFEQ,,No best match available
AQ,,No best match available
SPRO,,No best match available
MDB,,No best match available
CHGX,,No best match available
FNKO,,No best match available
ALNA,,No best match available
ALTR,,No best match available
ZVC.,,No best match available
ZJK.,,No best match available
ZVU.,,No best match available
ZVI.,,No best match available
ZEUS.,,No best match available
CARG,,No best match available
SCHK,,No best match available
USMC,,No best match available
REDU,,No best match available
SE,,No best match available
NEXA,,No best match available
DIAL,,No best match available
VGFO,,No best match available
KEMQ,,No best match available
KGRN,,No best match available
TIME.,,No best match available
CALL.,,No best match available
CAPS.,,No best match available
FSCT,,No best match available
PACK,,No best match available
LGC,LGC,
BRPA,,No best match available
ERRPF,,No best match available
BERN,,No best match available
BRGL,,No best match available
PLCY,,No best match available
DEMS,,No best match available
LOGO,,No best match available
GOP,,No best match available
BAND,,No best match available
EYE,,No best match available
MMIN,,No best match available
AIEQ,,No best match available
MMIT,,No best match available
VICI,,No best match available
PMOM,,No best match available
PVAL,,No best match available
RMBO.,,No best match available
RBDI.,,No best match available
RBNK.,,No best match available
RPSB.,,No best match available
RUSB.,,No best match available
TNMCF,,No best match available
FAT,,No best match available
CBTX,,No best match available
SCPH,,No best match available
ASNS,,No best match available
OSW,,No best match available
AQUA,,No best match available
FEDU,,No best match available
LIFE.,,No best match available
HADM.,,No best match available
MBIN,,No best match available
PPDF,,No best match available
USHY,,No best match available
CEY,,No best match available
UEVM,,No best match available
USTB,,No best match available
ULVM,,No best match available
UIVM,,No best match available
USVM,,No best match available
UITB,,No best match available
ACMR,,No best match available
SOGO,,No best match available
IFRX,,No best match available
SAIL,,No best match available
AIHS,,No best match available
GUDB,,No best match available
BIBL,,No best match available
DIVB,,No best match available
JT,JT,
MIND.,,No best match available
FFSG,,No best match available
STNL,,No best match available
FFTG,,No best match available
FTVA,,No best match available
RVRS,,No best match available
WSPT,,No best match available
MRBK,,No best match available
FMHI,,No best match available
SDVY,,No best match available
STZHF,,No best match available
CUE,,No best match available
SEND,,No best match available
PTOAF,,No best match available
LOV,LOV,
ETAC.,,No best match available
HFRO,,No best match available
FLJH,,No best match available
VRNDF,,No best match available
AAAA.,,No best match available
SFIX,,No best match available
INOC.,,No best match available
ENTR,,No best match available
OMFL,,No best match available
PXUS,,No best match available
VTC,,No best match available
SBT,SBT,
OMFS,,No best match available
OMOM,,No best match available
OVOL,,No best match available
OQAL,,No best match available
OYLD,,No best match available
OSIZ,,No best match available
OVLU,,No best match available
ARCT,,No best match available
PILL,,No best match available
EMTY,,No best match available
CLIX,,No best match available
RWGE,,No best match available
ICLK,,No best match available
MCSB.,,No best match available
MIVG.,,No best match available
MPCF.,,No best match available
YGTY,,No best match available
AVI,,No best match available
NMRK,,No best match available
ENTX,,No best match available
LX,,No best match available
ILPT,,No best match available
MCSM.,,No best match available
MUSC.,,No best match available
LBC,,No best match available
RBOT.,,No best match available
SPDV,,No best match available
EEMD,,No best match available
EQH,EQH,
WSC,,No best match available
IHTA,,No best match available
DNLI,,No best match available
DFE.,,No best match available
CORP.,,No best match available
JPED,,No best match available
BUYN,,No best match available
BUY,BUY,
IZRL,,No best match available
QTRX,,No best match available
ODT,,No best match available
GIG,GIG,
NOPMF,,No best match available
RROTF,,No best match available
SIC,,No best match available
JPMF,,No best match available
AMEH,,No best match available
PWS,PWS,
DOGZ,,No best match available
ACT,,No best match available
CLRG,,No best match available
FAMI,,No best match available
LFIN,,No best match available
USAI,,No best match available
CAAP,,No best match available
HMOP,,No best match available
PCSA,,No best match available
OSS,,No best match available
AKMNF,,No best match available
AVYA,,No best match available
JPBI,,No best match available
ELOX,,No best match available
VIEMF,,No best match available
EYEN,,No best match available
IAES,,No best match available
LDRS,,No best match available
WCHN,,No best match available
WBAL,,No best match available
SROYF,,No best match available
SXTC,,No best match available
EAGL,,No best match available
GPAQ,,No best match available
DNJR,,No best match available
HUD,HUD,
SIMS,,No best match available
FITE,,No best match available
HAIL,,No best match available
PAGS,,No best match available
GTES,,No best match available
LSST,,No best match available
MNLO,,No best match available
DTEC,,No best match available
DWCR,,No best match available
WLDR,,No best match available
TFIG,,No best match available
SLDB,,No best match available
ARMO,,No best match available
SLGL,,No best match available
NEBU,,No best match available
TORC,,No best match available
SLS,,No best match available
DOGS,,No best match available
RCKT,,No best match available
LOUU,,No best match available
EOLS,,No best match available
AUXXF,,No best match available
SHYL,,No best match available
HYDW,,No best match available
HYUP,,No best match available
PRID,,No best match available
ADT,ADT,
PLTM,,No best match available
CDLX,,No best match available
HMI,HMI,
VPRL,,No best match available
WHD,WHD,
IPSC,IPSC.CH^K13,
CRSA,,No best match available
BTAI,,No best match available
KORP,,No best match available
VALQ,,No best match available
FIVA,,No best match available
MUDSU,,No best match available
BLOK,,No best match available
BLCN,,No best match available
HNDL,,No best match available
EVFM,,No best match available
TCL,,No best match available
FIDI,,No best match available
LHC,LHC,
COLD,,No best match available
HONR,,No best match available
KARS,,No best match available
MTEC,MTEC.PO^L08,
QDX.,,No best match available
QCE.,,No best match available
QUU.,,No best match available
QCN.,,No best match available
QHY.,,No best match available
JPLS,,No best match available
LEGR,,No best match available
ICGL,,No best match available
FLBA.,,No best match available
FLEM.,,No best match available
FLGD.,,No best match available
QDXH.,,No best match available
QAH.,,No best match available
QSB.,,No best match available
QUIG.,,No best match available
QBB.,,No best match available
ZS,,No best match available
LTNU,,No best match available
JPMB,,No best match available
KOIN,,No best match available
TMFC,,No best match available
DCAR,,No best match available
INNT,,No best match available
PL.,,No best match available
CLBK,,No best match available
XDIV,,No best match available
IDIV,,No best match available
VBAL.,,No best match available
VGRO.,,No best match available
VCNS.,,No best match available
IPIC,IPICxm.BRQ^G14,
RPUT,,No best match available
CLNC,,No best match available
FTSI,,No best match available
PRPL,,No best match available
FLSW,,No best match available
HUBL.,,No best match available
HRES.,,No best match available
TMSR,,No best match available
BKKCF,,No best match available
FLAX,,No best match available
FLRU,,No best match available
FLIN,,No best match available
EKAR,,No best match available
EVVLF,,No best match available
GSTX,,No best match available
DFBH,,No best match available
VXRT,,No best match available
VFMO,,No best match available
VFVA,,No best match available
VFLQ,,No best match available
VFMF,,No best match available
VFMV,,No best match available
VFQY,,No best match available
PPDM,,No best match available
PPMC,,No best match available
PPEM,,No best match available
FZMD,,No best match available
BWB,,No best match available
RCUS,,No best match available
WCVC,,No best match available
AIXN,,No best match available
TIBR,,No best match available
OPES,,No best match available
BGC.,,No best match available
BGU.,,No best match available
ROBT,,No best match available
VSL,VSL,
TRTLU,,No best match available
DBX,,No best match available
ENOB,,No best match available
IBEX,,No best match available
STG,STG,
EMMBF,,No best match available
BOON,BOON.PK^F06,
EXPFF,,No best match available
SPOT,,No best match available
DINT,,No best match available
COSG,,No best match available
RFL,RFL,
UMRX,,No best match available
BILI,,No best match available
ONE,ONE,
LINK.,,No best match available
HEUR.,,No best match available
ZCB.,,No best match available
ZSB.,,No best match available
VRIO,,No best match available
ZGB.,,No best match available
ZWP.,,No best match available
ZWS.,,No best match available
AMRX.,,No best match available
TDAC,,No best match available
ZUO,ZUO,
RDVT,,No best match available
CNXXF,,No best match available
FIXX,,No best match available
TKCM.,,No best match available
GHG,GHG,
WH,WH,
BDRY,,No best match available
IBMM,,No best match available
IQ,,No best match available
IETC,,No best match available
BLCK.,,No best match available
IEHS,,No best match available
IECS,,No best match available
IEME,,No best match available
IEFN,,No best match available
IEIH,,No best match available
LEVL,,No best match available
SURF,,No best match available
SMAR,,No best match available
DXV.,,No best match available
IEA,,No best match available
ALEAF,,No best match available
CHXMF,,No best match available
SYLD.,,No best match available
PRMAF,,No best match available
PINV.,,No best match available
ALZH,,No best match available
MSUS,,No best match available
DOCU,,No best match available
IFRA,,No best match available
CMDY,,No best match available
QARP,,No best match available
PULS,,No best match available
STXB,,No best match available
UBX,,No best match available
RAAX,,No best match available
VETS,,No best match available
PVTL,,No best match available
PACQ,,No best match available
ESML,,No best match available
APY,APY,
FNG,FNG,
EMEM,,No best match available
FLTW,,No best match available
FLFR,,No best match available
FLBR,,No best match available
FLAU,,No best match available
JMOM,,No best match available
GMFL,.FTGMFL,
FLEE,,No best match available
AMRCF,,No best match available
FLCA,,No best match available
JDIV,,No best match available
PPTY,,No best match available
MXDE,,No best match available
DRIV,,No best match available
FLEH,,No best match available
FLJP,,No best match available
FLIY,,No best match available
FLHK,,No best match available
FLGR,,No best match available
FLCH,,No best match available
EUXL,,No best match available
JVAL,,No best match available
BVAL,,No best match available
JQUA,,No best match available
EDOW,,No best match available
FLGB,,No best match available
FLKR,,No best match available
KURE,,No best match available
FLMX,,No best match available
JMIN,,No best match available
JHSC,,No best match available
IBD,IBD,
SURG,,No best match available
UBOT,,No best match available
HTAB,,No best match available
IG,IG,
TGODF,,No best match available
DMDV,,No best match available
LASR,,No best match available
GSHD,,No best match available
CBLK,,No best match available
ROAD,,No best match available
LOVE,,No best match available
PRT,,No best match available
EDNT,,No best match available
INSP,,No best match available
PRSP,,No best match available
EVLO,,No best match available
SRRK,,No best match available
PS,,No best match available
KNSA,,No best match available
USAC,,No best match available
OBNK,,No best match available
EDGE.,,No best match available
ABP,,No best match available
ITRM,,No best match available
XAIR,,No best match available
JRSH,,No best match available
IPLP.,,No best match available
SPXB,,No best match available
SDCI,,No best match available
HUYA,,No best match available
COMM.,,No best match available
VTIQ,,No best match available
LQDI,,No best match available
MGTA,,No best match available
FLGA.,,No best match available
FLSL.,,No best match available
FLUI.,,No best match available
DALI,,No best match available
AIQ,,No best match available
INDS,,No best match available
RUBY.,,No best match available
RUBH.,,No best match available
SLT,SLT,
RTL,RTL,
SRVR,,No best match available
PFFA,,No best match available
EDRY,,No best match available
GSKY,,No best match available
CLPS,,No best match available
EVOP,,No best match available
FINT.,,No best match available
STGO.,,No best match available
SMTA,,No best match available
KULR,,No best match available
AAMMF,,No best match available
EQL.,,No best match available
NRCG,,No best match available
SCAD.,,No best match available
SFIX.,,No best match available
SINT.,,No best match available
SUSA.,,No best match available
HSRT,,No best match available
YQ,,No best match available
CVIA,,No best match available
FLIA,,No best match available
FLHY,,No best match available
FLBL,,No best match available
MGTX,,No best match available
CHRA,,No best match available
VRCA,,No best match available
USX,USX,
AFGL,,No best match available
TCDA,,No best match available
TBIO,,No best match available
CBMB,,No best match available
DOMO,,No best match available
AVLR,,No best match available
UCON,,No best match available
OGIG,,No best match available
ECOR,,No best match available
NEW,NEW.A,
BATT,,No best match available
GSAH,,No best match available
AIIQ,,No best match available
HYRE,,No best match available
AMAL,,No best match available
IAUF,,No best match available
KZR,,No best match available
AUTL,,No best match available
BV,,No best match available
IIIV,,No best match available
FPAC,,No best match available
EIDX,,No best match available
JMST,,No best match available
APTX,,No best match available
VNE,VNE,
JUST,,No best match available
FHI.,,No best match available
SKY,SKY,
AVRO,,No best match available
DDOC,,No best match available
XERS,,No best match available
FDHY,,No best match available
EASI,,No best match available
NTGN,,No best match available
FLDR,,No best match available
BE,,No best match available
EPRT,,No best match available
BBRE,,No best match available
BBJP,,No best match available
BBEU,,No best match available
LFAC,,No best match available
XLC,XLC,
RPAY,,No best match available
EVER,,No best match available
CCB,,No best match available
FTSV,,No best match available
UXIN,,No best match available
STIM,,No best match available
AMID,AMID.W^E14,
BROG,,No best match available
TLRY,,No best match available
MYFW,,No best match available
BCNA,,No best match available
RVI,RVI,
BIKR,,No best match available
BKCH.,,No best match available
BJ,,No best match available
REPL,,No best match available
RUBY,,No best match available
ALLK,,No best match available
GBLK,,No best match available
CRNX,,No best match available
CNST,,No best match available
WISA,,No best match available
LEGH,,No best match available
NFC,NFC,
IRBO,,No best match available
KCCB,,No best match available
AQST,,No best match available
MI.UN,,No best match available
ENS.,,No best match available
ACES,,No best match available
BNGO,,No best match available
IAA,IAA,
PRVB,,No best match available
WAFU,,No best match available
ALGR,,No best match available
TENB,,No best match available
GLAC,,No best match available
TOTA,,No best match available
MAVBF,,No best match available
ARLO,,No best match available
SONO,,No best match available
ESTA,,No best match available
VCNX,,No best match available
TBLT,,No best match available
OPER,,No best match available
DWSH,,No best match available
DWMC,,No best match available
YAYO,,No best match available
CWK,CWK,
LQDA,,No best match available
UROV,,No best match available
PHCF,,No best match available
ONLN,,No best match available
RRI,,No best match available
RMED,,No best match available
PT,,No best match available
QDIV,,No best match available
OSCV,,No best match available
HYGV,,No best match available
OPRA,,No best match available
JG,,No best match available
ARDS,,No best match available
NACP,,No best match available
DPLS,,No best match available
CANG,,No best match available
PDD,,No best match available
SPAQ,,No best match available
MFAC,,No best match available
SZNE,,No best match available
TRVCF,,No best match available
FCTR,,No best match available
LOUP,,No best match available
IMXI,,No best match available
DAVA,,No best match available
TKKS,,No best match available
FGO.,,No best match available
TFIV,,No best match available
TFLT,,No best match available
AUGR,,No best match available
HEMB.,,No best match available
BRPHF,,No best match available
HBAL.,,No best match available
HCON.,,No best match available
FTDR,,No best match available
ELAN,,No best match available
JAPN.,,No best match available
CHNA.,,No best match available
FMCI,,No best match available
MESA,,No best match available
RTLR,,No best match available
PJUL,,No best match available
UJUL,,No best match available
DRSK,,No best match available
BBAX,,No best match available
BBCA,,No best match available
RVRA,,No best match available
LOAC,,No best match available
REDV,,No best match available
RIDV,,No best match available
BSJQ,,No best match available
BSCS,,No best match available
MQAI,,No best match available
EMMF,,No best match available
DWMF,,No best match available
LCKYF,,No best match available
GRSH,,No best match available
ETON,,No best match available
YVR,,No best match available
AMTBB,,No best match available
MDJH,,No best match available
AAAU,,No best match available
CHNA,,No best match available
CRK,CRK,
PRNB,,No best match available
ETTX,,No best match available
TZACU,,No best match available
FTCH,,No best match available
HFFG,,No best match available
FLMN,,No best match available
PLIN,,No best match available
ARCE,,No best match available
WOMN,,No best match available
BPR,,No best match available
LTHM,,No best match available
VIDY.,,No best match available
AUSF,,No best match available
GTX,GTX,
REZI,,No best match available
XYF,XYF,
KLXE,,No best match available
BJUL,,No best match available
EVRG1,,No best match available
SYSX,,No best match available
STRO,,No best match available
YI,ZZZ1,
NIO,,No best match available
VIOT,,No best match available
KMED,,No best match available
QTT,,No best match available
EB,EB,
ARVN,,No best match available
INMB,,No best match available
FQJR,,No best match available
BKC,,No best match available
GRTS,,No best match available
QTUM,,No best match available
EASG,,No best match available
DVLU,,No best match available
DVOL,,No best match available
BNDW,,No best match available
CCC.4,,No best match available
UPWK,,No best match available
GH,,No best match available
APM,,No best match available
ZEK,ZEK.TR,
KOD,,No best match available
EDTX,,No best match available
TAXF,,No best match available
QINT,,No best match available
QGRO,,No best match available
TRTY,,No best match available
RQL.,,No best match available
RQN.,,No best match available
ISDS,,No best match available
IUS,,No best match available
ISEM,,No best match available
ISDX,,No best match available
IUSS,,No best match available
BSVN,,No best match available
LKCO,,No best match available
BOUT,,No best match available
YMAB,,No best match available
CTAC,,No best match available
SVMK,,No best match available
AATP,,No best match available
FCRH.,,No best match available
FCID.,,No best match available
FCCD.,,No best match available
FCUH.,,No best match available
FCUD.,,No best match available
FCRR.,,No best match available
AFIF,,No best match available
OSMT,,No best match available
ALLO,,No best match available
ZHOK,,No best match available
IMAC,,No best match available
EQ,,No best match available
SPIX,.SPIX,
GRAF,,No best match available
IBDT,,No best match available
VSGX,,No best match available
ESGV,,No best match available
LDGR.,,No best match available
THNK.,,No best match available
UTRN,,No best match available
REPX,REP_r.BA,
SDGA,,No best match available
CTK,CTK,
CBNK,,No best match available
SIBN,,No best match available
PHAS,,No best match available
DRMU.,,No best match available
DRMC.,,No best match available
DRCU.,,No best match available
DRFD.,,No best match available
DRFC.,,No best match available
DRFU.,,No best match available
PHYL,,No best match available
LAIX,,No best match available
JHEM,,No best match available
AROG,,No best match available
NGM,,No best match available
SMY,,No best match available
POCT,,No best match available
BOCT,,No best match available
UOCT,,No best match available
LSAF,,No best match available
HCB.,,No best match available
PLAN,,No best match available
ALAC,,No best match available
TWST,,No best match available
GBOKF,,No best match available
ESTC,,No best match available
MUST,,No best match available
BSAE,,No best match available
BSDE,,No best match available
BSCE,,No best match available
BSBE,,No best match available
WBND,,No best match available
ARYA,,No best match available
CCH,CCH,
FPXE,,No best match available
LOGC,,No best match available
NIU,,No best match available
FLZA,,No best match available
FLSA,,No best match available
FLLA,,No best match available
ONEB.,,No best match available
MSC,MSC,
RMI,RMI,
GMDA,,No best match available
NVGI,,No best match available
FLFG,,No best match available
ESPO,,No best match available
ROAN,,No best match available
ULNV,,No best match available
VRRM,,No best match available
PQLC,,No best match available
BDIV.,,No best match available
BPRF.,,No best match available
BFIN.,,No best match available
AGAAF,,No best match available
CLBR,,No best match available
IEMB.,,No best match available
STNE,,No best match available
IGLB.,,No best match available
ICPB.,,No best match available
ROKT,,No best match available
KOMP,,No best match available
CNRG,,No best match available
EAGG,,No best match available
FTAC,,No best match available
XM,,No best match available
VAPO,,No best match available
TC,,No best match available
DSTL,,No best match available
AMK,AMK,
ETRN,,No best match available
RBKB,,No best match available
GEC.U,,No best match available
AXNX,,No best match available
AMCI,,No best match available
PACA,,No best match available
ORTX,,No best match available
KILO.,,No best match available
JMUB,,No best match available
ETHI.,,No best match available
DQML,,No best match available
FUMB,,No best match available
ALYA,,No best match available
FSMB,,No best match available
CNF,CNF,
AVCO,,No best match available
FDNI,,No best match available
PAWZ,,No best match available
SG,,No best match available
DURA,,No best match available
CNTX,,No best match available
TTTN,,No best match available
EWCO,,No best match available
MRNA,,No best match available
MOGU,,No best match available
USWS,,No best match available
WEI,WEI,
ALTM,,No best match available
BCSF,,No best match available
BWMC,,No best match available
NFE,,No best match available
MDRR,,No best match available
9042B,,No best match available
TPRF.,,No best match available
TCSB.,,No best match available
TUSB.,,No best match available
EARN.,,No best match available
THOR,,No best match available
FVTI,,No best match available
BGRN,,No best match available
GDG,GDG,
GDMA,,No best match available
PQSV,,No best match available
PQSG,,No best match available
TAI,,No best match available
WTRH,,No best match available
IBMN,,No best match available
DOW,,No best match available
CFFA,,No best match available
SI,,No best match available
BYND,,No best match available
CBUS,,No best match available
VTUS,VTUS.W^E14,
ANDA,,No best match available
RVLV,,No best match available
CHAC,,No best match available
AGE,AGE,
MNCL,,No best match available
SAMA,,No best match available
HKIT,,No best match available
EBIZ,,No best match available
LACK,,No best match available
WANT,,No best match available
PASS,,No best match available
NEED,,No best match available
TME,TME,
CRLBF,,No best match available
CSCA,,No best match available
IMFI,,No best match available
IMFD,,No best match available
PQIN,,No best match available
ACSG,,No best match available
EMSG,,No best match available
XLSY,,No best match available
XLTY,,No best match available
XLUY,,No best match available
XLEY,,No best match available
QFIN,,No best match available
ARDT,,No best match available
WALL,,No best match available
MLND,,No best match available
ZFN.,,No best match available
CHIS,,No best match available
ZFC.,,No best match available
CHIL,,No best match available
CHIK,,No best match available
MEME.,,No best match available
CHIU,,No best match available
CHIH,,No best match available
CHIR,,No best match available
GMHI,,No best match available
IQIN,,No best match available
GLBY,,No best match available
JAGG,,No best match available
JIGB,,No best match available
ATIF,,No best match available
HFA.,,No best match available
ORGO,,No best match available
SDAG,,No best match available
HOTH,,No best match available
CRTPF,,No best match available
JFIN,,No best match available
HHHH,,No best match available
