,RIC,error
EF,,No best match available
TUTS,,No best match available
TUN.Z,,No best match available
0142A,,No best match available
BLKIA,,No best match available
PER.1,,No best match available
EWBC,,No best match available
FCVA,,No best match available
AMRI,,No best match available
APTV,,No best match available
MIGP,,No best match available
MFI,,No best match available
PCNTF,,No best match available
SRAFF,,No best match available
VRDSF,,No best match available
BUROF,,No best match available
LPV.U,,No best match available
EPAY,,No best match available
HBG,,No best match available
VERT,,No best match available
FVRG,,No best match available
GBL,GBL,
KFY,KFY,
ATTBF,,No best match available
DCEL.,,No best match available
ONXS,,No best match available
SRNA.,,No best match available
XINGF,XINGF.PK^H12,
ARREF,,No best match available
VIGN,,No best match available
PCAGY,PCAGY.PK^C07,
CEB,,No best match available
EVCI,,No best match available
THPHF,,No best match available
EBTC,,No best match available
ITRA,,No best match available
LIFE.,,No best match available
ANOR,,No best match available
UVUM,,No best match available
BIVN,,No best match available
NEON.,,No best match available
BOYD,BOYD.PK^G06,
CZZ.Z,,No best match available
ACKBF,,No best match available
WTN.,,No best match available
QQQ,,No best match available
CGXEF,,No best match available
ALBY,,No best match available
IVIL,,No best match available
MUE,MUE,
DVLY,,No best match available
GOVB,,No best match available
CKRU,CKRU.PK^F12,
AUTO,,No best match available
CEHC,,No best match available
VARI,,No best match available
VSEA,,No best match available
3CPTH,,No best match available
MKSI,,No best match available
GBTS,,No best match available
MCUJF,,No best match available
BKNG,,No best match available
TREX,,No best match available
NTLNF,,No best match available
CFFN,,No best match available
PBG,,No best match available
FBPI,,No best match available
EBYH,,No best match available
DLIAQ,,No best match available
CKKFF,,No best match available
PLXT,,No best match available
OBAS,,No best match available
EXTR,,No best match available
CKEI,CKEI.PK^F12,
ASA.,,No best match available
HGTXU,,No best match available
SEOVF,,No best match available
7687B,,No best match available
SGNT.,,No best match available
ATLC,,No best match available
WGATQ,,No best match available
SFG,,No best match available
ACBA,,No best match available
BUCA,,No best match available
ISSG.,,No best match available
SIDGQ,,No best match available
FSBC.,,No best match available
CZBS,,No best match available
HSII,,No best match available
IMMP.,,No best match available
CNX,CNX,
LWLL,,No best match available
INFA,,No best match available
BERK,,No best match available
CUMD,,No best match available
GWO1,,No best match available
LPNT,,No best match available
PRSF.,,No best match available
UONEK,,No best match available
TRI.Z,,No best match available
TOWN,,No best match available
SWIR,,No best match available
TST,,No best match available
TWTC,,No best match available
SMU.U,,No best match available
WNRP,,No best match available
WCC,WCC,
LOAN,,No best match available
RATE,,No best match available
RFM.Z,,No best match available
9721B,,No best match available
ALOY,,No best match available
RUBO,,No best match available
NXRA,,No best match available
RBAK,,No best match available
CMLEF,,No best match available
AOBI,,No best match available
TENF,,No best match available
BRCD,,No best match available
TCP,TCP,
EPEN,,No best match available
EDGR,,No best match available
NAD,,No best match available
NAC,NAC,
NAN,NAN,
GFSI,,No best match available
USCR,,No best match available
WSII,,No best match available
AUDC,,No best match available
RAI,,No best match available
SONE,,No best match available
AMBZ,,No best match available
FFIV,,No best match available
ORCC.,,No best match available
SMMCF,,No best match available
FRCCO,,No best match available
IAGI,,No best match available
SKX,SKX,
WVCMY,WVCMY.PK^E09,
DITC,,No best match available
PNPFF,,No best match available
BSHI,,No best match available
KOS.Z,,No best match available
TNCGF,,No best match available
CADE.,,No best match available
HOTJ,,No best match available
GEC,,No best match available
BWEBF,,No best match available
GNOLF,,No best match available
NGHO,,No best match available
VRK.Z,,No best match available
DVQFF,,No best match available
NMXS,,No best match available
CTMCF,,No best match available
PMBC,,No best match available
SBAC,,No best match available
EASY,,No best match available
UTHR,,No best match available
SLNM,,No best match available
ARBA,,No best match available
ABLE,,No best match available
TFINQ,,No best match available
OXDG,,No best match available
9745B,,No best match available
CYBS,,No best match available
GAFC.,,No best match available
MVRM,,No best match available
MEET,,No best match available
STMP,,No best match available
FISI,,No best match available
MECK,MECKxm.BRQ^E08,
JNPR,,No best match available
GUT,GUT,
IDSY,,No best match available
JDUCF,,No best match available
CYRN,,No best match available
ECPG,,No best match available
PVTB,,No best match available
SALM,,No best match available
DDXSQ,,No best match available
AMOAQ,AMOAQ.PK^K11,
GFME,,No best match available
0040A,,No best match available
3AKPB,,No best match available
EWKS,,No best match available
TKN.Z,,No best match available
BHP1,,No best match available
BCAR,,No best match available
LQCI,LQCI.PK^I07,
HCBK,,No best match available
WJAFF,,No best match available
IMSC.,,No best match available
TIBX,,No best match available
EGOV,,No best match available
ADBL,,No best match available
1215B,FRBNPP014R98.PA,
PAEGF,,No best match available
NMHC,,No best match available
ADFJF,,No best match available
ARTG,,No best match available
WGW,,No best match available
IFSG,,No best match available
JCOM,,No best match available
VHC,VHC,
ATGFF,,No best match available
DBRM,,No best match available
TWSI,,No best match available
DSNY,,No best match available
HOFT,,No best match available
GMO,GMO,
EAPH,,No best match available
WNDW,,No best match available
TROZ,TROZ.PK^J09,
EGY.,,No best match available
MDRX.,,No best match available
BMRN,,No best match available
PRZM,,No best match available
0199B,NL0013668205.PA,
TCPTF,,No best match available
TLRS,,No best match available
BPURQ,BPURQ.PK^G11,
DSCM,,No best match available
LBTE,,No best match available
NTOP,,No best match available
PKTR,,No best match available
CAPD,,No best match available
LII,LII,
PRFT,,No best match available
NTIQ,,No best match available
PAZRF,,No best match available
WGRD,,No best match available
BORD,,No best match available
CAPEQ,CAPEQ.PK^L09,
BLIAQ,,No best match available
YDKN,YDKN.W^E14,
FLWS,,No best match available
QUOT.,,No best match available
ACTA,,No best match available
IIJIY,,No best match available
ICNSQ,,No best match available
MOVE,,No best match available
ROFO,,No best match available
TMWD,,No best match available
NWVCF,,No best match available
PCOM,,No best match available
TWB,,No best match available
RHT,,No best match available
IGLD,,No best match available
IPIXQ,IPIXQ.PK^K11,
HSEIF,HSEIF.PK^G12,
NTCT,,No best match available
NXTI,,No best match available
ARLP,,No best match available
PTE,,No best match available
LKST,,No best match available
QSFT,,No best match available
9769B,,No best match available
LIOX,,No best match available
NOVA.,,No best match available
CUUHF,,No best match available
AGIL,,No best match available
LAB,,No best match available
ATQ.2,,No best match available
BPS,,No best match available
BSD,,No best match available
MAX.Z,,No best match available
BCBHF,,No best match available
CJREF,,No best match available
FBER,,No best match available
LICT,,No best match available
AGI,AGI,
MXGFF,,No best match available
DECTF,DECTF.PK^H08,
ATBC,,No best match available
CEIW,CEIW.PK^I11,
MOBL.,,No best match available
JAXB,,No best match available
9783B,,No best match available
ADBN,,No best match available
BCDH,,No best match available
XNS.Z,,No best match available
CVC1,,No best match available
IMKI.,,No best match available
VITR,,No best match available
7661B,,No best match available
SWKH,,No best match available
EGAN,,No best match available
ININ,,No best match available
HHHYL,HHHYL.PK^A13,
MFC,MFC,
SNH,,No best match available
TTPA,,No best match available
INV,,No best match available
KEYN,,No best match available
UNTD,,No best match available
OMN,,No best match available
AHMIQ,,No best match available
FDRY,,No best match available
APTM,,No best match available
GLDN.,,No best match available
EUPI,EUPI.PK^J09,
ATGN,,No best match available
INAP,,No best match available
ACME,,No best match available
TIVO.,,No best match available
USNU,,No best match available
BLK,BLK,
DGIN.,,No best match available
XMSR,,No best match available
SJM1,,No best match available
9796B,,No best match available
3DSLN,,No best match available
KTHN,,No best match available
NLAI,NLAI.PK^K08,
SIMG,,No best match available
ROME,,No best match available
UGP,UGP,
AOXG,,No best match available
TZIX,,No best match available
IWOV,,No best match available
AFBK,,No best match available
ATGYF,,No best match available
FXBY,,No best match available
CIR,CIR,
ADST,,No best match available
EPCYY,EPCYY.PK^L09,
VASC,,No best match available
PCTI,,No best match available
UWBKQ,,No best match available
RDWR,,No best match available
0123A,,No best match available
JCDAF,,No best match available
BTQNF,,No best match available
9807B,,No best match available
CIZN,,No best match available
MSO,,No best match available
PLSDF,,No best match available
SIFY,,No best match available
WWE,WWE,
BSQR,,No best match available
CHIC.,,No best match available
CRSS,,No best match available
0077A,,No best match available
TVLS,,No best match available
NEXC,,No best match available
WNP.Z,,No best match available
NAVI.,,No best match available
SCMR,,No best match available
JDVB,,No best match available
PGTK,,No best match available
PTNR,,No best match available
CZLNF,CZLNF.PK^I07,
ECTX.,,No best match available
VCBP,,No best match available
CCA,CCA,
CFX.1,,No best match available
NSL,NSL,
