,RIC,error
759757800,RNVA.PK,
39679B103,,No best match available
24802Y105,,No best match available
29260D105,,No best match available
42225P501,HTA,
75972A301,REGI.O,
14999R930,,No best match available
26433C105,DPG,
743713109,PRLB.K,
29414B104,EPAM.K,
097793400,BCEI.K,
549086106,,No best match available
89841B101,,No best match available
61799R933,,No best match available
849343108,SRLP.K,
126654102,CVSI.PK,
950814103,WAIR.K,
040221202,ARGSQ.PK,
29363J108,ENFC.O,
45882D109,IMI.O,
226568103,,No best match available
X9096K105,TZW.BE^D12,
35089V101,,No best match available
84099P944,,No best match available
451730105,,No best match available
92857F107,VCRA.K,
55405Y100,MTSI.O,
005051305,AHFD.PK,
76083V101,RSS.V,
26154A106,DRG_u.TO,
78355W510,,No best match available
78355W494,,No best match available
19762B301,,No best match available
38981A506,GYST.PK,
650158108,NZ.V,
01677T106,ADGL.PK,
27923D108,ECO.TO,
26885G109,ERA,
09072L206,BOPO.PK,
300614500,,No best match available
760113100,,No best match available
171604101,CHUY.O,
40136G107,,No best match available
68404E108,,No best match available
565127107,MGM.V,
802899203,SANP.PK,
19762B707,,No best match available
72941C104,,No best match available
205719206,CSL.V,
74914H102,QUTR.PK,
82809P105,SNG.V,
92189F452,,No best match available
36116Q107,,No best match available
70699Z937,,No best match available
25386U104,,No best match available
59560V109,MCEP.O,
576485205,MTDR.K,
12699Q939,,No best match available
777149105,,No best match available
46429B648,,No best match available
46429B630,,No best match available
464286475,,No best match available
31660B101,FRGI.O,
44044V107,,No best match available
44047U106,,No best match available
G9220E107,,No best match available
26817C002,,No best match available
05501E102,AZTA.PK^D13,
140757204,SILVh.V,
20399A930,,No best match available
60688W201,MIXX.PK,
45671U106,,No best match available
10921T101,BCOV.O,
372429100,,No best match available
516806106,LPI,
11273Q109,INF,
429699101,HNh.V^H16,
47760A108,,No best match available
290139104,,No best match available
034754101,,No best match available
267898104,,No best match available
073271108,BV.O^B18,
34964C106,FBHS.K,
53632A201,LIQT.O,
35953U106,FDOC.PK,
80516A106,,No best match available
64881D101,,No best match available
88674U103,,No best match available
36316B108,GG.V,
60799W934,,No best match available
79970Y105,SNECQ.PK,
351680103,,No best match available
351680400,,No best match available
351680509,,No best match available
351680608,,No best match available
12769A103,,No best match available
53128T102,TAXA.PK,
44999Q939,,No best match available
40408U206,,No best match available
53838A104,LVVV.PK,
363109109,GNC.V,
70319A106,PFND.PK,
54948Q104,LCDX.PK,
053498309,AVN.V,
98400L103,XCLL.PK,
14309L102,CG.O,
344177100,,No best match available
351680202,,No best match available
351680301,,No best match available
351680707,,No best match available
46433G104,,No best match available
46138E693,,No best match available
44049W100,,No best match available
44049N100,,No best match available
74931D100,,No best match available
74931E108,,No best match available
74931F105,,No best match available
74931G103,,No best match available
74931H101,,No best match available
72585A109,PJX.V,
30162A108,,No best match available
98419M100,XYL,
74931B104,,No best match available
74931A106,,No best match available
74931C102,,No best match available
86899A936,,No best match available
136504107,,No best match available
88166A508,,No best match available
88166A607,,No best match available
88166A409,,No best match available
04013V108,ACRE.K,
29357K103,ENVA.K,
36158A101,,No best match available
16934T202,,No best match available
46431Q104,,No best match available
46431X109,,No best match available
852813104,SDI.V,
18383Q747,,No best match available
33939L100,,No best match available
33939L407,,No best match available
33939L506,,No best match available
33939L605,,No best match available
574613105,,No best match available
361202104,,No best match available
46138E883,,No best match available
00830W105,AFE.V,
44352W101,HBMK.PK,
28699V934,,No best match available
35999D936,,No best match available
299765107,EVTI.PK,
90266C103,UBIA.PK,
56382Q102,MN,
782474472,,No best match available
86271T305,SXE.V,
39874R101,GO.O,
26799W935,,No best match available
75008R203,RACK.PK^D19,
020398103,AII.TO,
07199K937,,No best match available
78464A599,,No best match available
78464A573,,No best match available
78464A631,,No best match available
89473A207,,No best match available
836050401,SOUL.PK,
74347W148,,No best match available
74347W130,,No best match available
46138X105,,No best match available
74272N105,,No best match available
98400M101,XELB.O,
00768Y818,,No best match available
782474498,,No best match available
