,RIC,error
71880W204,PHIO.O,
72201R791,,No best match available
05478T108,AAZ.V,
169067105,CHNO.PK,
694103102,ROYT.K,
68067A203,,No best match available
470095308,JRI.V,
776618100,COQh.V,
16952A101,CUII.PK,
411355100,HE.TO,
75605Y106,RLGY.K,
91232N108,,No best match available
25470E404,,No best match available
60705U105,MOS.V,
336920103,,No best match available
92828L100,,No best match available
69336V101,PGTI.K,
76128C100,,No best match available
H01531104,,No best match available
01287R102,,No best match available
71372V201,,No best match available
29276F102,,No best match available
67788P101,,No best match available
45668X204,,No best match available
G2136R106,,No best match available
743075103,,No best match available
74399X937,,No best match available
204166102,CVLT.O,
G80637104,,No best match available
337344105,,No best match available
337345102,,No best match available
G21176303,,No best match available
378968101,,No best match available
30067X104,,No best match available
18914E106,GLO,
921908844,,No best match available
654678101,,No best match available
46428Q109,,No best match available
390914109,,No best match available
92549X409,VRTB.PK,
223621103,,No best match available
53957A109,,No best match available
928645100,,No best match available
44244K109,HWCC.O,
P94398107,,No best match available
03841G101,AQA.TO,
29078E105,,No best match available
74624E100,PGM.V,
524701505,,No best match available
69366J200,PTCT.O,
67059L102,NSH^G18,
00448Q201,ACHN.O,
74915M100,QRTEA.O,
651754103,,No best match available
62910L102,NFI.TO,
76028W107,,No best match available
G8649T109,,No best match available
59509C105,,No best match available
40415K100,,No best match available
53071M930,,No best match available
40537Q605,HKRSQ.PK,
92293Y934,,No best match available
05277B209,ACQ.TO,
265504100,DNKN.O,
81619Q105,SEM,
89899Y938,,No best match available
95805V108,WRN.TO,
29271Q103,ESOA.PK,
71415P104,P6B.BE^B08,
11221F106,,No best match available
53635C105,,No best match available
809091101,,No best match available
92257E304,VPGI.PK,
60039Q101,MILC.PK,
53262L105,LMST.O,
21037X100,CSU.TO,
01625U106,,No best match available
48242W106,KBR,
783484108,,No best match available
76218Y202,RHNO.PK,
52471Y106,LTXB.O,
252406152,DHX.TO,
65199V006,,No best match available
118167105,,No best match available
768573107,,No best match available
92189F106,,No best match available
53223M101,,No best match available
199171109,CGT.TO,
58402B305,MBI.V,
86664Q108,SCEY.PK^L11,
82321P203,VALV.PK,
46137V522,,No best match available
278271101,,No best match available
76970B101,RIF,
29669R101,ESN.TO,
09206P107,,No best match available
83418C105,SOLR.V,
37989N106,GS.TO^F19,
683823108,OPS.TO,
040024101,,No best match available
28238P109,EHTH.O,
525558201,LMAT.O,
02120P105,,No best match available
033355108,,No best match available
21686A203,,No best match available
76133H102,RTN.V,
63938K209,,No best match available
925490203,VRTA.PK,
86893X932,,No best match available
45685K102,INFU.K,
501862106,,No best match available
203612106,ESXB.O,
437080104,,No best match available
53017Q102,,No best match available
255413106,,No best match available
465676104,,No best match available
007574106,,No best match available
902557107,UCCC.PK^D19,
46500D109,PPPS.PK,
82769R109,,No best match available
97382A309,WINMQ.PK,
71715N106,,No best match available
60671Q104,MITL.O^L18,
45773Y105,INWK.O,
56324R101,,No best match available
45774N108,IPHS.O,
185385309,,No best match available
45699X934,,No best match available
62912E205,,No best match available
44925C103,ICFI.O,
45882A105,IMCU.BE^A07,
896749108,GTS,
68827R108,OSIR.O^D19,
106776107,,No best match available
854532108,,No best match available
44899Y933,,No best match available
84899X006,,No best match available
G8918T103,,No best match available
901401307,TBE.TO^J16,
Y27183600,,No best match available
918251000,,No best match available
98310W108,WYND.K,
05354V102,,No best match available
560814105,MLFB.PK,
04338Y100,,No best match available
45256U109,,No best match available
04301Q100,,No best match available
29977A105,EVR,
88078Y107,,No best match available
97717W885,,No best match available
97717W703,,No best match available
97717W802,,No best match available
97717W406,,No best match available
97717W877,,No best match available
97717W869,,No best match available
97717W208,,No best match available
97717W786,,No best match available
97717W794,,No best match available
97717W778,,No best match available
97717W760,,No best match available
97717W844,,No best match available
97717W836,,No best match available
97717W851,,No best match available
97717W307,,No best match available
97717W505,,No best match available
97717W810,,No best match available
97717W828,,No best match available
97717W109,,No best match available
97717W604,,No best match available
278634100,,No best match available
68212S109,,No best match available
86099Y932,,No best match available
82966C103,,No best match available
740173109,MMP_u.TO,
74347R305,,No best match available
74347B250,,No best match available
74347R404,,No best match available
74347B425,,No best match available
74347B235,,No best match available
74347R107,,No best match available
74347B714,,No best match available
74347R206,,No best match available
78464A722,,No best match available
78464A748,,No best match available
78464A698,,No best match available
78464A730,,No best match available
78464A714,,No best match available
78464A755,,No best match available
65340G205,NHF,
33733E203,,No best match available
33733E302,,No best match available
46138V109,,No best match available
46090N103,,No best match available
28905P309,,No best match available
46138M109,,No best match available
46138T104,,No best match available
23130H107,,No best match available
46138R108,,No best match available
60477P201,,No best match available
78074R107,,No best match available
67073C104,,No best match available
336918107,,No best match available
190643205,COTE.PK,
68555P100,ORBC.O,
38016R102,,No best match available
41755V102,HRST.PK,
01748X102,ALGT.O,
03152W109,FOLD.O,
218878106,,No best match available
096049507,BSK.V,
452536204,IMUC.PK,
431466101,HIL,
90346L107,,No best match available
871639308,SGYPQ.PK^E19,
45299W930,,No best match available
75966C305,,No best match available
29277Q107,ENRT.PK,
137584207,CFX.TO,
G21515104,,No best match available
664112109,NECB.PK,
81724W104,,No best match available
43129M107,,No best match available
59132A104,,No best match available
42016E103,,No best match available
320841109,,No best match available
07786R204,,No best match available
74162N108,,No best match available
G0129K104,,No best match available
004764106,,No best match available
69899Z937,,No best match available
33733E104,,No best match available
77581P109,,No best match available
168565109,,No best match available
30247C400,,No best match available
58470Q101,MFS.V,
74347B383,,No best match available
74348A343,,No best match available
74347B243,,No best match available
74347B276,,No best match available
83541C105,SONA.CD,
89778N102,,No best match available
26985R104,,No best match available
24488U104,,No best match available
G94368100,,No best match available
464288752,,No best match available
464288760,,No best match available
464288778,,No best match available
464288208,,No best match available
464288307,,No best match available
464288406,,No best match available
464288505,,No best match available
464288604,,No best match available
26922E208,,No best match available
26922E307,,No best match available
26922E406,,No best match available
46137V563,,No best match available
46137V571,,No best match available
464288703,,No best match available
464288802,,No best match available
464288877,,No best match available
464288885,,No best match available
464288869,,No best match available
17288M108,,No best match available
46137V134,,No best match available
46137V746,,No best match available
46137V738,,No best match available
46137V464,,No best match available
46137V480,,No best match available
46137V498,,No best match available
46137V456,,No best match available
464288786,,No best match available
464288794,,No best match available
464288810,,No best match available
464288828,,No best match available
464288836,,No best match available
464288844,,No best match available
464288851,,No best match available
46428R107,,No best match available
6706EH103,,No best match available
G06973112,,No best match available
44044D107,HNL.TO,
73174C308,,No best match available
01627X108,ALO.TO,
959802109,WU,
92932M101,WNS,
00302M106,AGD,
15118V207,CELH.O,
79971C201,SNMP.K,
68214U102,OFSI.PK,
32008C108,,No best match available
450944103,IBBD.PK^A13,
25686H100,DLPN.O,
953264108,WHY.V,
25960P109,DEI,
864909106,SCMP.O^B18,
232662106,HODL.CD,
410345102,HBI,
50535R109,,No best match available
746904101,,No best match available
378971303,GLEMB.PK^E12,
21727N107,,No best match available
G8675V101,,No best match available
689020204,,No best match available
090677105,,No best match available
21299B937,,No best match available
72765Y109,,No best match available
64128J101,,No best match available
131274102,,No best match available
45777U505,,No best match available
83399J939,,No best match available
629415100,,No best match available
37185Y104,,No best match available
82568P304,SFLY.O,
868656109,,No best match available
92941D100,WEQ.TO^L18,
20375S400,,No best match available
45774F105,IVPH.PK^I08,
52471A108,,No best match available
073174203,,No best match available
68402T107,,No best match available
067511105,,No best match available
90177L101,TVPC.PK,
03823D100,,No best match available
336433107,FSLR.O,
83149P102,,No best match available
74051D104,PG.TO,
042564203,ARNI.PK,
922908512,,No best match available
922908538,,No best match available
696425107,,No best match available
83558L204,SNOA.O,
85299Z939,,No best match available
262076102,,No best match available
81732V106,,No best match available
647581107,EDU,
02932A106,ARBV.PK,
