,,TR.TOTALEQUITY,TR.BGS.GEOEARNINGSBEFOREINTERESTANDTAXESEBIT,TR.INVENTORIES,TR.TANGIBLEBOOKVALUEINS,TR.PCWRKGCAPPRDOVERPRDAVG,TR.NETDEBT,TR.TOTALCURRLIABILITIES,TR.TANGIBLEBVPS,TR.BGS.BUSEARNINGSBEFOREINTERESTANDTAXESEBIT,TR.NETSALES,TR.TANGIBLEBOOKVALUEUTIL,TR.TOTALDEBTOUTSTANDING,TR.TANGIBLEBOOKVALUEBNK,TR.MARKETCAPITALISATION,TR.RETAINEDEARNINGS,TR.TANGIBLEBOOKVALUERPTD,TR.DEPRECIATIONAMORT,TR.PCTOTINVT5YRCOMPANNGROWTHRATE,TR.TOTALLIABILITIES,TR.FIPRICINGVOLATILITY,TR.OPERATINGINCOME,TR.PCWRKGCAPPRDOVERPRDPCTCHG,TR.CASHANDSTINVESTMENTS,TR.STOCKPRICE,TR.TOTALCURRENTASSETS,TR.NETINCOMESTARTINGLINE,TR.FIPRICE,TR.ACCOUNTSPAYABLECFSTMT,TR.MARKETCAPDS,TR.TOTALASSETSREPORTED,RF.SD.MKT_CAP,TR.CASH
71,MESFF.PK^E10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,HIPPQ.PK^E15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,BAXSQ.PK^H15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,LUMCQ.PK^G09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,AWBCQ.PK^J13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,KHKH.PK^I08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,FFEDQ.PK^L12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,TRMPQ.PK^G10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,FPS.TO^G09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,CBNRQ.PK^C16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,TRMAQ.PK^A12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,FWMHQ.PK^G16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,TBSIQ.PK^D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,UNTKQ.PK^A15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PWBh.V^L11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,MCTIQ.PK^F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,COCOQ.PK^I15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,TCMIQ.PK^J11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,HAYZQ.PK^L09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,CNST.OQ^A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,CWTRQ.PK^J14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,CDCAQ.PK^L12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,NOBLQ.PK^L09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,AOGSQ.PK^L09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,LPR.TO^K13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,LFGRQ.PK^L09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,VRSOQ.PK^C13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,JRCCQ.PK^C16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PLT_u.TO^L15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,BMERQ.PK^D16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
