Instrument,Instrument Is Active Flag,Cash and Short Term Investments,"Working Capital, Period over Period Average (Pvt)",Company Common Name,Operating Income,Tangible Book Value - Reported,Depreciation And Amortization,Earnings Before Interest & Taxes (EBIT) (Pvt),CIK Number,Total Equity,Tangible Book Value - Utility,Inventories (CF),Price,Net Sales,Pricing Volatility,Retained Earnings (Accumulated Deficit),Accounts Payable (CF),Geographic Earnings Before Interest and Taxes (EBIT),Market Value for Company,Delisted Quote Flag,"Working Capital, Period over Period % Change (Pvt)",Total Current Assets,Total Liabilities,"Total Assets, Reported",Tangible Book Value - Banks,"Net Income/Starting Line, Cumulative",Total Current Liabilities,Market Capitalisation,Stock Price,NAICS Industry Group Name,Tangible Book Value - Insurance,Tangible Book Value Per Share,Net Debt Incl. Pref.Stock & Min.Interest,Cash,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)"
51124,0.0,9740000.0,,American Banknote Corp,12540000.0,-198403000.0,10175000.0,,51124.0,-161533000.0,-198403000.0,645000.0,,220964000.0,,-197337000.0,-972000.0,,,1.0,,69399000.0,326319000.0,164786000.0,-198403000.0,-5454000.0,44005000.0,,,Printing and Related Support Activities,-198403000.0,-7.9079,211403000.0,,,209978000.0,
51124,,9740000.0,,,12540000.0,-198403000.0,10175000.0,,,-161533000.0,-198403000.0,645000.0,,220964000.0,,-197337000.0,-972000.0,,,,,69399000.0,326319000.0,164786000.0,-198403000.0,-5454000.0,44005000.0,,,,-198403000.0,-7.9079,211403000.0,,,209978000.0,
23341,0.0,16065000.0,,Congoleum Corp,-14706000.0,-90282000.0,,,23341.0,-90282000.0,-90282000.0,6931000.0,,134917000.0,,-95207000.0,575000.0,,,1.0,,92095000.0,253958000.0,163676000.0,-90282000.0,-15169000.0,104287000.0,,,Plastics Product Manufacturing,-90282000.0,-10.91372,-1885000.0,,,14180000.0,
23341,,16065000.0,,,-14706000.0,-90282000.0,,,,-90282000.0,-90282000.0,6931000.0,,134917000.0,,-95207000.0,575000.0,,,,,92095000.0,253958000.0,163676000.0,-90282000.0,-15169000.0,104287000.0,,,,-90282000.0,-10.91372,-1885000.0,,,14180000.0,
844985,1.0,208000.0,,Positron Corp,-2743000.0,-1556000.0,,,844985.0,-837000.0,-1556000.0,148000.0,,1466000.0,,-126016000.0,,,290000.0,0.0,,730000.0,2706000.0,1869000.0,-1556000.0,-2584000.0,2697000.0,,,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",-1556000.0,-0.11205,972000.0,,,470000.0,
844985,,208000.0,,,-2743000.0,-1556000.0,,,,-837000.0,-1556000.0,148000.0,,1466000.0,,-126016000.0,,,820000.0,,,730000.0,2706000.0,1869000.0,-1556000.0,-2584000.0,2697000.0,,,,-1556000.0,-0.11205,972000.0,,,470000.0,
1004980,1.0,123000000.0,,PG&E Corp,1508000000.0,16576000000.0,2612000000.0,,1004980.0,16576000000.0,16576000000.0,37000000.0,,,,5301000000.0,-55000000.0,,30729360000.0,0.0,,5813000000.0,46658000000.0,63234000000.0,16576000000.0,888000000.0,6363000000.0,,,"Electric Power Generation, Transmission and Distribution",16576000000.0,33.68931,17282000000.0,,,17153000000.0,
1004980,,177000000.0,,,2080000000.0,17940000000.0,2755000000.0,,,17940000000.0,17940000000.0,-24000000.0,,,,5751000000.0,180000000.0,,23061570000.0,,,6164000000.0,50658000000.0,68598000000.0,17940000000.0,1407000000.0,7564000000.0,,,,17940000000.0,35.39216,18542000000.0,,,18467000000.0,
1157443,0.0,17060.0,,nCoat Inc,-1371780.0,-917260860.0,,,1157443.0,-915415140.0,-917260860.0,-73930.0,,7327150.0,,-937752020.0,25400.0,,40000.0,1.0,,685430.0,919181280.0,3766150.0,-917260860.0,-574239720.0,918520370.0,,,"Coating, Engraving, Heat Treating, and Allied Activities",-917260860.0,-7.47106,697470100.0,17060.0,,697487160.0,
1157443,,17060.0,,,-1371780.0,-917260860.0,,,1404721.0,-915415140.0,-917260860.0,-73930.0,,7327150.0,,-937752020.0,25400.0,,40000.0,,,685430.0,919181280.0,3766150.0,-917260860.0,-574239720.0,918520370.0,,,,-917260860.0,-7.47106,697470100.0,17060.0,,697487160.0,
1342514,,,,Atlas America Series 26 2005 L P,,,,,1336219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342514,,,,,,,,,1342514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508677,,12594000.0,,Colt Defense LLC,50974000.0,-254216000.0,,,1508677.0,-139476000.0,-254216000.0,-19126000.0,,270883000.0,,-130136000.0,-4674000.0,,,,,109437000.0,404210000.0,264734000.0,-254216000.0,22867000.0,69501000.0,,,Other Fabricated Metal Product Manufacturing,-254216000.0,-254.216,282223000.0,,,294817000.0,
1508677,,12594000.0,,,50974000.0,-254216000.0,,,,-139476000.0,-254216000.0,-19126000.0,,270883000.0,,-130136000.0,-4674000.0,,,,,109437000.0,404210000.0,264734000.0,-254216000.0,22867000.0,69501000.0,,,,-254216000.0,-254.216,282223000.0,,,294817000.0,
1575599,0.0,7511000.0,,Azure Midstream Partners LP,-209490000.0,251727000.0,20957000.0,,1575599.0,316447000.0,251727000.0,,,80592000.0,,,-7909000.0,,17810000.0,1.0,,18885000.0,247517000.0,563964000.0,251727000.0,-222425000.0,6314000.0,,,Other Pipeline Transportation,251727000.0,11.56345,226100000.0,,,228474000.0,
1575599,,7511000.0,,,-209490000.0,251727000.0,20957000.0,,,316447000.0,251727000.0,,,80592000.0,,,-7909000.0,,560000.0,,,18885000.0,247517000.0,563964000.0,251727000.0,-222425000.0,6314000.0,,,,251727000.0,11.56345,226100000.0,,,228474000.0,
