Company name,CIK,Bankruptcy,Bankruptcy chapter,Form type,Date,URL
ADVANTA CORP,0000096638,True,11,8-K,02/16/2011,https://www.sec.gov/Archives/edgar/data/96638/000095012311014657/0000950123-11-014657.txt
ADVANTA CORP,0000096638,True,11,8-K,11/09/2009,https://www.sec.gov/Archives/edgar/data/96638/000115752309007867/0001157523-09-007867.txt
AEROCENTURY CORP,0001036848,False,-1,8-K,03/14/2013,https://www.sec.gov/Archives/edgar/data/1036848/000103684813000006/0001036848-13-000006.txt
AEROPOSTALE INC,0001168213,True,11,8-K,05/06/2016,https://www.sec.gov/Archives/edgar/data/1168213/000114036116063876/0001140361-16-063876.txt
AFFIRMATIVE INSURANCE HOLDINGS INC,0001282543,True,11,8-K,10/15/2015,https://www.sec.gov/Archives/edgar/data/1282543/000156459015008409/0001564590-15-008409.txt
AFFIRMATIVE INSURANCE HOLDINGS INC,0001282543,False,-1,8-K,09/17/2015,https://www.sec.gov/Archives/edgar/data/1282543/000156459015008023/0001564590-15-008023.txt
AG&E HOLDINGS INC.,0000105608,True,11,8-K,10/18/2018,https://www.sec.gov/Archives/edgar/data/105608/000143774918018451/0001437749-18-018451.txt
"AgFeed Industries, Inc.",0001331427,True,11,8-K,07/15/2013,https://www.sec.gov/Archives/edgar/data/1331427/000114420413039563/0001144204-13-039563.txt
Aina Le'a Inc.,0001554923,False,-1,8-K,06/30/2017,https://www.sec.gov/Archives/edgar/data/1554923/000152013817000253/0001520138-17-000253.txt
AIRNET COMMUNICATIONS CORP,0000944163,True,11,8-K,05/23/2006,https://www.sec.gov/Archives/edgar/data/944163/000115752306005477/0001157523-06-005477.txt
AIRXPANDERS INC,0001387156,True,7,8-K,07/25/2019,https://www.sec.gov/Archives/edgar/data/1387156/000143774919014564/0001437749-19-014564.txt
AJAY SPORTS INC,0000854858,False,-1,8-K,01/03/2007,https://www.sec.gov/Archives/edgar/data/854858/000085485807000001/0000854858-07-000001.txt
ALCO STORES INC,0000030302,True,11,8-K,10/14/2014,https://www.sec.gov/Archives/edgar/data/30302/000110465914071598/0001104659-14-071598.txt
ALL AMERICAN SEMICONDUCTOR INC,0000818074,True,11,8-K,04/27/2007,https://www.sec.gov/Archives/edgar/data/818074/000101905607000403/0001019056-07-000403.txt
"All State Properties Holdings, Inc.",0000745543,False,-1,8-K,01/04/2016,https://www.sec.gov/Archives/edgar/data/745543/000149315216006556/0001493152-16-006556.txt
