Company name,CIK,Bankruptcy,Bankruptcy chapter,Form type,Date,URL
ANTHRACITE CAPITAL INC,0001050112,True,7,8-K,03/15/2010,https://www.sec.gov/Archives/edgar/data/1050112/000134100410000503/0001341004-10-000503.txt
ANVIL HOLDINGS INC,0001038274,True,11,8-K,10/06/2006,https://www.sec.gov/Archives/edgar/data/1038274/000110465906065422/0001104659-06-065422.txt
APEX SILVER MINES LTD,0001011509,True,11,8-K,03/10/2009,https://www.sec.gov/Archives/edgar/data/1011509/000110465909016160/0001104659-09-016160.txt
APEX SILVER MINES LTD,0001011509,True,11,8-K,01/13/2009,https://www.sec.gov/Archives/edgar/data/1011509/000090342309000034/0000903423-09-000034.txt
Aphton CORP,0000840319,False,-1,8-K,05/24/2006,https://www.sec.gov/Archives/edgar/data/840319/000095011606001663/0000950116-06-001663.txt
APPALACHIAN BANCSHARES INC,0001019883,True,7,8-K,12/23/2010,https://www.sec.gov/Archives/edgar/data/1019883/000119312510287628/0001193125-10-287628.txt
APPALACHIAN BANCSHARES INC,0001019883,True,7,8-K,03/24/2010,https://www.sec.gov/Archives/edgar/data/1019883/000119312510065886/0001193125-10-065886.txt
"APPLIED SOLAR, INC.",0001176193,True,11,8-K,07/28/2009,https://www.sec.gov/Archives/edgar/data/1176193/000101968709002613/0001019687-09-002613.txt
"ARABELLA EXPLORATION, INC.",0001506374,False,-1,8-K,07/15/2016,https://www.sec.gov/Archives/edgar/data/1506374/000121390016015003/0001213900-16-015003.txt
"ARABELLA EXPLORATION, INC.",0001506374,False,-1,8-K,06/22/2016,https://www.sec.gov/Archives/edgar/data/1506374/000121390016014425/0001213900-16-014425.txt
ARADIGM CORP,0001013238,True,11,8-K,02/19/2019,https://www.sec.gov/Archives/edgar/data/1013238/000119312519042635/0001193125-19-042635.txt
Aralez Pharmaceuticals Inc.,0001660719,True,11,8-K,08/14/2018,https://www.sec.gov/Archives/edgar/data/1660719/000110465918052014/0001104659-18-052014.txt
ARBIOS SYSTEMS INC,0001138862,True,11,8-K,01/12/2009,https://www.sec.gov/Archives/edgar/data/1138862/000114420409001238/0001144204-09-001238.txt
ARCH COAL INC,0001037676,True,11,8-K,09/15/2016,https://www.sec.gov/Archives/edgar/data/1037676/000110465916144709/0001104659-16-144709.txt
ARCH COAL INC,0001037676,True,11,8-K,01/11/2016,https://www.sec.gov/Archives/edgar/data/1037676/000110465916088942/0001104659-16-088942.txt
ARGOS THERAPEUTICS INC,0001105533,True,11,8-K,12/03/2018,https://www.sec.gov/Archives/edgar/data/1105533/000117184318008263/0001171843-18-008263.txt
ARIS INDUSTRIES INC,0000100979,False,-1,8-K,10/26/2004,https://www.sec.gov/Archives/edgar/data/100979/000110465904031797/0001104659-04-031797.txt
ARIS INDUSTRIES INC,0000100979,True,11,8-K,10/21/2004,https://www.sec.gov/Archives/edgar/data/100979/000110465904031365/0001104659-04-031365.txt
ARLINGTON HOSPITALITY INC,0000778423,True,11,8-K,10/31/2005,https://www.sec.gov/Archives/edgar/data/778423/000095013705013093/0000950137-05-013093.txt
ARLINGTON HOSPITALITY INC,0000778423,True,11,8-K,09/01/2005,https://www.sec.gov/Archives/edgar/data/778423/000095013705010961/0000950137-05-010961.txt
"Armada Oil, Inc.",0001081074,True,7,8-K,08/31/2015,https://www.sec.gov/Archives/edgar/data/1081074/000118518515002324/0001185185-15-002324.txt
"Armco Metals Holdings, Inc.",0001410711,False,-1,8-K,07/12/2016,https://www.sec.gov/Archives/edgar/data/1410711/000143774916035142/0001437749-16-035142.txt
ARMSTRONG HOLDINGS INC /PA/,0000007431,True,11,8-K,08/18/2006,https://www.sec.gov/Archives/edgar/data/1109304/000119312506176144/0001193125-06-176144.txt
ARMSTRONG WORLD INDUSTRIES INC,0000007431,True,11,8-K,08/18/2006,https://www.sec.gov/Archives/edgar/data/7431/000119312506176144/0001193125-06-176144.txt
ARTES MEDICAL INC,0001351197,True,7,8-K,12/02/2008,https://www.sec.gov/Archives/edgar/data/1351197/000093639208000753/0000936392-08-000753.txt
ARTISTDIRECT INC,0001095079,False,-1,8-K,03/12/2008,https://www.sec.gov/Archives/edgar/data/1095079/000110465908017113/0001104659-08-017113.txt
ASCENDANT SOLUTIONS INC,0001080029,False,-1,8-K,11/09/2007,https://www.sec.gov/Archives/edgar/data/1080029/000108002907000055/0001080029-07-000055.txt
"ASCENDIA BRANDS, INC.",0000843494,True,11,8-K,08/08/2008,https://www.sec.gov/Archives/edgar/data/843494/000092242308000742/0000922423-08-000742.txt
"Ascent Capital Group, Inc.",0001437106,True,11,8-K,08/13/2019,https://www.sec.gov/Archives/edgar/data/1437106/000110465919045605/0001104659-19-045605.txt
