,RIC,error
023184203,,No best match available
303698104,,No best match available
21036U206,,No best match available
292659109,,No best match available
339099103,,No best match available
359360104,,No best match available
390064103,,No best match available
46072H108,,No best match available
493397103,KYC.QAD^I02,
340689306,,No best match available
707832309,,No best match available
776338204,,No best match available
808783104,SCRD.PK^H09,
853887206,,No best match available
292973104,,No best match available
097924104,,No best match available
137225108,,No best match available
372910307,,No best match available
09858M204,,No best match available
05462D101,,No best match available
67069V108,,No best match available
941513301,,No best match available
302051206,,No best match available
630001105,,No best match available
337907109,,No best match available
V10064109,,No best match available
30603D109,,No best match available
879698306,,No best match available
220873103,,No best match available
428339105,,No best match available
514936103,,No best match available
140909102,,No best match available
925317208,,No best match available
420781304,,No best match available
885218800,,No best match available
285324109,,No best match available
637277104,,No best match available
59479Q100,,No best match available
540211109,,No best match available
46426P103,,No best match available
624581203,,No best match available
03058P109,,No best match available
89816T103,,No best match available
696639103,,No best match available
598251106,,No best match available
052036100,,No best match available
69331W104,,No best match available
896106200,,No best match available
404906109,,No best match available
265903104,,No best match available
498326206,,No best match available
598148104,,No best match available
485906101,,No best match available
193068202,,No best match available
45865R208,,No best match available
892782103,,No best match available
655053106,,No best match available
137801106,,No best match available
64360E109,,No best match available
872962105,,No best match available
15712V108,,No best match available
52169T203,,No best match available
232975102,,No best match available
694228206,,No best match available
25213A107,,No best match available
433245107,,No best match available
70212G101,,No best match available
218868107,,No best match available
74837R104,,No best match available
G2022L114,,No best match available
229675103,,No best match available
583939103,,No best match available
04287X103,,No best match available
40173B102,,No best match available
477046106,,No best match available
37250A106,,No best match available
482470200,,No best match available
28141C104,,No best match available
40637E106,,No best match available
89376N108,,No best match available
00799Y936,,No best match available
433507100,,No best match available
58463F104,,No best match available
723443107,,No best match available
45776K102,ISGTQ.PK^C11,
550278303,,No best match available
553166109,,No best match available
355521105,FPS.TO^G09,
470355207,,No best match available
73932U103,,No best match available
00547E109,,No best match available
02076X102,,No best match available
069827103,BOGAQ.OB^J09,
G8657Q104,,No best match available
37991A100,,No best match available
04350G102,,No best match available
89675K102,,No best match available
688197102,,No best match available
50047M101,,No best match available
55277J108,,No best match available
69945P107,,No best match available
071773105,,No best match available
402738108,,No best match available
40108N106,,No best match available
98417U104,,No best match available
91324T302,,No best match available
813084100,,No best match available
54222A106,,No best match available
497217109,,No best match available
69915T105,PLT_u.TO^L15,
468202106,,No best match available
265338707,,No best match available
