Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
1478102,,,Other Investment Pools and Funds,,0.0,,,,,Western Asset Mortgage Defined Opportunity Fund Inc,1478102.0,,,,,,,213250000.0,,,0.0,1.0,,,,
1479238,,,Other Investment Pools and Funds,,0.0,,,,,Nuveen Mortgage Opportunity Term Fund 2,1479238.0,,,,,,,108000000.0,,,0.0,1.0,,,,
1483403,3895140.0,-751010.0,"Advertising, Public Relations, and Related Services",,1.0,-16795390.0,24643280.0,22406680.0,31500000.0,Redgate Media Group,1483403.0,14178240.0,-32312270.0,-32312270.0,-7458810.0,-32312270.0,10010770.0,,-5.72741,10552830.0,-6641690.0,0.0,-32312270.0,45678240.0,1089650.0,25397980.0
1483403,,,,,,,,,,,1270333.0,,,,,,,,,,,,,,,
1415684,25054000.0,,Pharmaceutical and Medicine Manufacturing,2124000.0,0.0,-161967000.0,18826000.0,30462000.0,46360000.0,MusclePharm Corp,1415684.0,-12534000.0,-13851000.0,-13851000.0,-10973000.0,-13851000.0,6228000.0,8580000.0,-0.94543,102155000.0,-6759000.0,1.0,-13851000.0,33826000.0,1400000.0,28483000.0
1439971,3695640.0,-169510.0,Oil and Gas Extraction,,1.0,-23091310.0,3299900.0,634890.0,4290060.0,Circle Star Energy Corp,1439971.0,-2301990.0,-2301990.0,-2301990.0,-1030130.0,-2301990.0,395740.0,0.0,-0.03178,958340.0,-359300.0,0.0,-2301990.0,1988080.0,547700.0,4283220.0
1743046,0.0,,Metal Ore Mining,,0.0,-22692100.0,-1791520.0,1846900.0,392740.0,Minaurum Gold Inc,1743046.0,6523740.0,6523740.0,6523740.0,-3678010.0,6523740.0,1791520.0,148290000.0,0.02727,,-3771530.0,1.0,6523740.0,6916480.0,,191740.0
814286,5872240.0,136090.0,Computer Systems Design and Related Services,,0.0,-15117070.0,5864790.0,39220.0,8301090.0,Halo Companies Inc,814286.0,-8196420.0,-8197220.0,-8197220.0,-1471220.0,-8197220.0,8250.0,28650000.0,-0.1688,1218320.0,-702560.0,1.0,-8197220.0,104680.0,,8033000.0
1394108,95000.0,4630.0,Basic Chemical Manufacturing,,0.0,-1759740.0,44960.0,65040.0,143550.0,Sino United Worldwide Consolidated Ltd,1394108.0,-78510.0,-78510.0,-78510.0,-799510.0,-78510.0,50040.0,167520000.0,-0.00234,30000.0,-155450.0,1.0,-78510.0,65040.0,,143550.0
1386278,1103162000.0,,Nondepository Credit Intermediation,,0.0,410440000.0,172030000.0,1321205000.0,1432981000.0,Green Dot Corp,1386278.0,764550000.0,182173000.0,182173000.0,85887000.0,182173000.0,931132000.0,4190820000.0,3.56252,890151000.0,98324000.0,1.0,182173000.0,2197531000.0,31100000.0,1335976000.0
1386278,,,,,,,,,,,1136239.0,,,,,,,,,,,,,,,
1481055,134580000.0,1221000.0,Pipeline Transportation of Crude Oil,-1474000.0,1.0,-3175000.0,123655000.0,18730000.0,140677000.0,Crude Carriers Corp,1481055.0,277620000.0,277620000.0,277620000.0,9897000.0,277620000.0,10925000.0,174170000.0,17.35162,55882000.0,13256000.0,0.0,277620000.0,418297000.0,11317000.0,15749000.0
1096241,28145000.0,1162000.0,Computer Systems Design and Related Services,16538000.0,,-151850000.0,165519000.0,137957000.0,117676000.0,Force10 Networks Inc,1096241.0,91707000.0,-151719000.0,-151719000.0,-54590000.0,-151719000.0,67165000.0,,-162.8795,119070000.0,-53711000.0,,-151719000.0,209383000.0,7459000.0,90047000.0
1096241,,,,,,,,,,,1142956.0,,,,,,,,,,,,,,,
1096241,,,,,,,,,,,1295711.0,,,,,,,,,,,,,,,
1484830,,,Lessors of Real Estate,,,,,,,Welsh Property Trust Inc,1484830.0,,,,,,,,,156310000.0,22479000.0,,,,35494000.0,
1452804,25000.0,-47880.0,Pharmaceutical and Medicine Manufacturing,,0.0,-5056090.0,22010.0,2990.0,195680.0,Peak Pharmaceuticals Inc,1452804.0,-192690.0,-192690.0,-192690.0,-51230.0,-192690.0,2990.0,9360000.0,-0.00246,,-49990.0,1.0,-192690.0,2990.0,0.0,195680.0
1486159,2097606000.0,,Oil and Gas Extraction,-2501000.0,0.0,717985000.0,2218774000.0,415634000.0,3247238000.0,Oasis Petroleum Inc,1486159.0,3375691000.0,3375691000.0,3375691000.0,127446000.0,3375691000.0,16720000.0,1760630000.0,12.53527,1293719000.0,143968000.0,1.0,3375691000.0,6622929000.0,530802000.0,631279000.0
1478950,829506000.0,-1032000.0,Lessors of Real Estate,,1.0,0.0,952368000.0,,931748000.0,Excel Trust Inc,1478950.0,715389000.0,475128000.0,475128000.0,9092000.0,475128000.0,6603000.0,1021790000.0,7.77453,130323000.0,24599000.0,0.0,475128000.0,1647137000.0,50661000.0,
1483994,5053000000.0,144000000.0,Traveler Accommodation,3000000.0,0.0,2513000000.0,1484000000.0,5761000000.0,11310000000.0,Huazhu Group Ltd,1483994.0,6198000000.0,2149000000.0,2149000000.0,1228000000.0,2149000000.0,3605000000.0,8343860000.0,1.84658,8229000000.0,1426000000.0,1.0,2149000000.0,17508000000.0,,3771000000.0
913659,4043370.0,,Wireless Telecommunications Carriers (except Satellite),-384270.0,1.0,-11099010.0,4042060.0,216530.0,6836010.0,Spot Mobile International Ltd,913659.0,-5173000.0,-5377170.0,-5377170.0,-4535720.0,-5377170.0,1310.0,90000.0,-0.18381,10967490.0,-4447630.0,0.0,-5377170.0,1663010.0,445090.0,6836010.0
1411906,0.0,,Scientific Research and Development Services,,0.0,-204988670.0,-8220470.0,8442890.0,49491490.0,Ampio Pharmaceuticals Inc,1411906.0,-34176890.0,-34176890.0,-34176890.0,-51891950.0,-34176890.0,8220470.0,42130000.0,-0.42689,,-15564960.0,1.0,-34176890.0,15314600.0,,3878370.0
1353386,9522370.0,3093520.0,Support Activities for Mining,-3756610.0,0.0,87784270.0,-76486310.0,128446590.0,42345390.0,Liandi Clean Technology Inc,1353386.0,131305290.0,126980300.0,126980300.0,44272850.0,126980300.0,86008680.0,5830000.0,3.48418,127678430.0,24551410.0,1.0,126980300.0,173650690.0,,34545730.0
1024126,282153000.0,-2115000.0,Pharmaceutical and Medicine Manufacturing,2379000.0,0.0,-435534000.0,249333000.0,92284000.0,378262000.0,Pernix Therapeutics Holdings Inc,1024126.0,-174257000.0,-282963000.0,-282963000.0,-77141000.0,-282963000.0,32820000.0,6090000.0,-23.89654,146068000.0,-41809000.0,0.0,-282963000.0,204005000.0,73216000.0,93801000.0
1520566,14052000000.0,,Activities Related to Credit Intermediation,,0.0,731000000.0,13844000000.0,,16321000000.0,Nationstar Mortgage Holdings Inc,1520566.0,1715000000.0,-1317000000.0,-1317000000.0,30000000.0,-1317000000.0,215000000.0,1794620000.0,-13.47618,1650000000.0,175000000.0,0.0,-1317000000.0,18036000000.0,,
1374310,1237900000.0,,Securities and Commodity Exchanges,,0.0,993300000.0,1056500000.0,434700000.0,2155100000.0,Cboe Global Markets Inc,1374310.0,3110600000.0,-1540000000.0,-1540000000.0,400600000.0,-1540000000.0,190800000.0,10976710000.0,-13.6596,2229100000.0,371900000.0,1.0,-1540000000.0,5265700000.0,192200000.0,334000000.0
1484435,111748560.0,-415940.0,"Deep Sea, Coastal, and Great Lakes Water Transportation",,1.0,-42080630.0,111648820.0,6639210.0,115956210.0,Alma Maritime Ltd,1484435.0,27688160.0,27688160.0,27688160.0,-41275980.0,27688160.0,99740.0,,17.58425,,-41275980.0,0.0,27688160.0,143644370.0,,113456210.0
1497270,0.0,-19000.0,Metal Ore Mining,,1.0,-163362000.0,-26204000.0,27902000.0,2819000.0,Extorre Gold Mines Ltd,1497270.0,30243000.0,30243000.0,30243000.0,-55446000.0,30243000.0,26204000.0,422110000.0,0.32671,,-55446000.0,0.0,30243000.0,33062000.0,,2819000.0
1086909,201015000.0,,Software Publishers,,1.0,-60493000.0,-18406000.0,358669000.0,349966000.0,BroadSoft Inc,1086909.0,301234000.0,190637000.0,190637000.0,816000.0,190637000.0,219421000.0,1744500000.0,6.28064,340962000.0,15507000.0,0.0,190637000.0,651200000.0,,130891000.0
1448780,71730.0,,Computer Systems Design and Related Services,,1.0,-49337720.0,-355420.0,465870.0,1715150.0,Mobilebits Holdings Corp,1448780.0,623390.0,-732900.0,-732900.0,-11802690.0,-732900.0,427150.0,140000.0,-0.00559,417870.0,-11757940.0,0.0,-732900.0,2338540.0,2596030.0,1715150.0
