Date,HIGH,LOW,OPEN,CLOSE,COUNT,VOLUME
2018-10-29,0.115,0.095,0.115,0.095,123.0,
2018-10-30,0.12,0.085,0.1,0.085,65.0,
2018-10-31,0.125,0.085,0.09,0.09,66.0,
2018-11-01,0.11,0.09,0.095,0.1,87.0,
2018-11-02,0.105,0.09,0.105,0.095,31.0,
2018-11-05,0.095,0.085,0.09,0.085,58.0,
2018-11-06,0.09,0.075,0.085,0.075,42.0,
2018-11-07,0.085,0.075,0.08,0.08,56.0,
2018-11-08,0.085,0.08,0.085,0.08,56.0,
2018-11-09,0.08,0.075,0.075,0.075,41.0,
2018-11-12,0.08,0.07,0.075,0.07,35.0,
2018-11-13,0.075,0.07,0.07,0.07,19.0,
2018-11-14,0.07,0.055,0.07,0.06,65.0,
2018-11-15,0.065,0.06,0.065,0.06,27.0,
2018-11-16,0.065,0.06,0.06,0.065,27.0,
2018-11-19,0.06,0.06,0.06,0.06,19.0,
2018-11-20,0.06,0.05,0.06,0.055,29.0,
2018-11-21,0.055,0.055,0.055,0.055,22.0,
2018-11-22,0.055,0.055,0.055,0.055,15.0,
2018-11-23,0.055,0.055,0.055,0.055,8.0,
2018-11-26,0.055,0.05,0.05,0.055,9.0,
2018-11-27,0.055,0.05,0.055,0.05,24.0,
2018-11-28,0.05,0.05,0.05,0.05,20.0,
2018-11-29,0.05,0.05,0.05,0.05,17.0,
2018-11-30,0.05,0.05,0.05,0.05,10.0,
2018-12-03,0.05,0.045,0.05,0.045,41.0,
2018-12-04,0.0475,0.045,0.045,0.045,10.0,
2018-12-05,0.045,0.045,0.045,0.045,7.0,
2018-12-06,0.045,0.045,0.045,0.045,5.0,
2018-12-07,0.045,0.04,0.045,0.045,11.0,
2018-12-10,0.045,0.04,0.045,0.045,14.0,
2018-12-11,0.045,0.04,0.045,0.04,3.0,
2018-12-12,0.045,0.035,0.04,0.04,35.0,
2018-12-13,0.045,0.04,0.04,0.045,2.0,
2018-12-14,0.045,0.045,0.045,0.045,11.0,
2018-12-17,0.05,0.045,0.045,0.045,9.0,
2018-12-18,0.045,0.045,0.045,0.045,3.0,
2018-12-19,0.05,0.045,0.045,0.045,22.0,
2018-12-20,0.05,0.045,0.045,0.05,11.0,
2018-12-21,0.045,0.045,0.045,0.045,6.0,
2018-12-24,0.045,0.04,0.04,0.04,15.0,
2018-12-27,0.045,0.04,0.04,0.04,14.0,
2018-12-28,0.045,0.04,0.04,0.045,13.0,
2018-12-31,0.05,0.045,0.05,0.045,4.0,
2019-01-03,0.05,0.04,0.05,0.05,5.0,
2019-01-04,0.045,0.04,0.04,0.04,17.0,
2019-01-07,0.04,0.035,0.04,0.04,5.0,
2019-02-26,0.05,0.03,0.05,0.04,15.0,
2019-02-27,0.04,0.04,0.04,0.04,6.0,
2019-02-28,0.04,0.035,0.04,0.035,19.0,
2019-03-01,0.04,0.035,0.035,0.035,3.0,
2019-03-04,0.04,0.03,0.04,0.03,17.0,
2019-03-05,0.035,0.03,0.035,0.035,7.0,
2019-03-06,0.035,0.03,0.03,0.035,31.0,
2019-03-07,0.03,0.03,0.03,0.03,5.0,
