Date,HIGH,LOW,OPEN,CLOSE,COUNT,VOLUME
2019-03-08,0.03,0.03,0.03,0.03,11.0,
2019-03-11,0.03,0.025,0.025,0.03,5.0,
2019-03-12,0.03,0.025,0.03,0.03,5.0,
2019-03-13,0.03,0.025,0.03,0.03,5.0,
2019-03-14,0.03,0.03,0.03,0.03,10.0,
2019-03-15,0.035,0.03,0.035,0.03,4.0,
2019-03-18,0.03,0.03,0.03,0.03,8.0,
2019-03-19,0.03,0.03,0.03,0.03,1.0,
2019-03-20,0.03,0.03,0.03,0.03,1.0,
2019-03-21,0.03,0.03,0.03,0.03,8.0,
2019-03-22,0.03,0.03,0.03,0.03,7.0,
2019-03-25,0.03,0.03,0.03,0.03,7.0,
2019-03-26,0.03,0.03,0.03,0.03,3.0,
2019-03-27,0.03,0.03,0.03,0.03,2.0,
2019-03-28,0.03,0.025,0.03,0.03,15.0,
2019-03-29,0.03,0.03,0.03,0.03,2.0,
2019-04-02,0.03,0.025,0.025,0.03,4.0,
2019-04-03,0.03,0.03,0.03,0.03,2.0,
2019-04-08,0.03,0.025,0.025,0.025,6.0,
2019-04-09,0.03,0.025,0.025,0.03,2.0,
2019-04-10,0.025,0.025,0.025,0.025,1.0,
2019-04-11,0.025,0.025,0.025,0.025,2.0,
2019-04-12,0.025,0.025,0.025,0.025,2.0,
2019-04-16,0.025,0.025,0.025,0.025,9.0,
2019-04-17,0.03,0.025,0.025,0.03,18.0,
2019-04-18,0.03,0.02,0.025,0.025,9.0,
2019-04-23,0.025,0.025,0.025,0.025,1.0,
2019-04-24,0.025,0.02,0.02,0.025,11.0,
2019-04-25,0.025,0.025,0.025,0.025,4.0,
2019-04-26,0.03,0.025,0.025,0.03,3.0,
2019-04-29,0.03,0.025,0.03,0.025,4.0,
2019-04-30,0.025,0.02,0.025,0.025,12.0,
2019-05-01,0.03,0.025,0.025,0.025,18.0,
2019-05-02,0.03,0.02,0.025,0.025,15.0,
2019-05-03,0.025,0.025,0.025,0.025,9.0,
2019-05-07,0.025,0.025,0.025,0.025,1.0,
2019-05-08,0.025,0.02,0.025,0.025,12.0,
2019-05-10,0.025,0.02,0.02,0.025,4.0,
2019-05-13,0.025,0.025,0.025,0.025,2.0,
2019-05-14,0.025,0.025,0.025,0.025,2.0,
2019-05-15,0.025,0.025,0.025,0.025,2.0,
2019-05-16,0.025,0.02,0.025,0.025,5.0,
2019-05-17,0.03,0.025,0.025,0.03,8.0,
2019-05-21,0.025,0.025,0.025,0.025,2.0,
2019-05-23,0.025,0.025,0.025,0.025,1.0,
2019-05-24,0.025,0.025,0.025,0.025,3.0,
2019-05-27,0.025,0.025,0.025,0.025,2.0,
2019-05-28,0.025,0.02,0.025,0.02,3.0,
2019-05-30,0.025,0.025,0.025,0.025,4.0,
2019-05-31,0.03,0.03,0.03,0.03,4.0,
2019-06-03,0.03,0.03,0.03,0.03,2.0,
2019-06-04,0.03,0.025,0.03,0.025,2.0,
2019-06-05,0.025,0.025,0.025,0.025,2.0,
2019-06-06,0.035,0.03,0.03,0.03,23.0,
2019-06-07,0.03,0.025,0.025,0.03,2.0,
2019-06-10,0.035,0.025,0.025,0.035,6.0,
2019-06-12,0.035,0.025,0.035,0.03,6.0,
2019-06-14,0.03,0.03,0.03,0.03,2.0,
2019-06-17,0.025,0.025,0.025,0.025,1.0,
2019-06-18,0.025,0.025,0.025,0.025,1.0,
2019-06-19,0.025,0.025,0.025,0.025,11.0,
2019-06-20,0.025,0.02,0.025,0.02,4.0,
2019-06-21,0.025,0.025,0.025,0.025,2.0,
2019-06-24,0.025,0.02,0.02,0.025,3.0,
2019-06-27,0.02,0.02,0.02,0.02,2.0,
2019-06-28,0.02,0.02,0.02,0.02,2.0,
2019-07-02,0.02,0.02,0.02,0.02,1.0,
2019-07-04,0.02,0.02,0.02,0.02,36.0,
2019-07-05,0.02,0.02,0.02,0.02,3.0,
2019-07-08,0.025,0.02,0.025,0.02,3.0,
2019-07-09,0.02,0.02,0.02,0.02,3.0,
2019-07-10,0.02,0.02,0.02,0.02,3.0,
2019-07-12,0.02,0.02,0.02,0.02,1.0,
2019-07-15,0.02,0.02,0.02,0.02,2.0,
2019-07-16,0.025,0.02,0.02,0.025,9.0,
2019-07-17,0.025,0.02,0.025,0.02,3.0,
2019-07-18,0.025,0.02,0.025,0.02,7.0,
2019-07-19,0.02,0.02,0.02,0.02,2.0,
2019-07-22,0.025,0.02,0.02,0.025,5.0,
2019-07-23,0.025,0.025,0.025,0.025,1.0,
2019-07-24,0.02,0.02,0.02,0.02,36.0,
2019-07-25,0.015,0.015,0.015,0.015,5.0,
2019-07-29,0.02,0.02,0.02,0.02,3.0,
2019-07-30,0.02,0.02,0.02,0.02,3.0,
2019-08-02,0.02,0.02,0.02,0.02,3.0,
2019-08-06,0.02,0.02,0.02,0.02,6.0,
2019-08-07,0.015,0.015,0.015,0.015,2.0,
2019-08-08,0.02,0.02,0.02,0.02,1.0,
2019-08-09,0.02,0.02,0.02,0.02,2.0,
2019-08-13,0.02,0.015,0.02,0.02,9.0,
2019-08-16,0.02,0.015,0.015,0.02,2.0,
2019-08-19,0.02,0.02,0.02,0.02,1.0,
