Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
869688,,,Securities and Commodity Contracts Intermediation and Brokerage,,0.0,,,,,Westech Capital Corp,869688.0,,,,,,,1890000.0,,,,1.0,,,,
1472866,345000.0,,Scientific Research and Development Services,-39000.0,0.0,-6464000.0,-212000.0,1518000.0,603000.0,Microbix Biosystems Inc,1472866.0,2119000.0,2119000.0,2119000.0,70000.0,2119000.0,557000.0,24220000.0,0.06145,2826000.0,70000.0,1.0,2119000.0,2721000.0,161000.0,553000.0
1092099,17500000.0,,Depository Credit Intermediation,,1.0,9749000.0,,,666405000.0,Civitas Bankgroup Inc,1092099.0,45473000.0,43877000.0,43877000.0,521000.0,43877000.0,,,2.83109,,,0.0,43877000.0,711878000.0,,
1093677,136000.0,0.0,Other Investment Pools and Funds,,1.0,-901000.0,23000.0,283000.0,224000.0,Worldstar Energy Corp,1093677.0,218000.0,206000.0,206000.0,-367000.0,206000.0,113000.0,440000.0,0.47184,0.0,-2000.0,0.0,206000.0,441000.0,2000.0,122000.0
1040227,3201000.0,1448000.0,Waste Treatment and Disposal,,1.0,-7173000.0,3201000.0,102000.0,4815000.0,Global 8 Environmental Technologies Inc,1040227.0,-2714000.0,-4714000.0,-4714000.0,-5162000.0,-4714000.0,0.0,2890000.0,-0.32837,0.0,-824000.0,0.0,-4714000.0,2102000.0,,2049000.0
789868,,,Dairy Product Manufacturing,,1.0,,,,,Feihe International Inc,789868.0,,,,,,,370000.0,,,,0.0,,,,
1005356,,-17000.0,Semiconductor and Other Electronic Component Manufacturing,-22000.0,1.0,,,,,Advanced ID Corp,1005356.0,,,,-67000.0,,,4730000.0,,536000.0,1000.0,0.0,,,,
1085203,,,Software Publishers,,1.0,,,,,Rocketinfo Inc,1085203.0,,,,,,,17760000.0,,,,0.0,,,,
885568,665159000.0,,"Electric Power Generation, Transmission and Distribution",,,,587178000.0,171824000.0,1028997000.0,Old Dominion Electric Cooperative,885568.0,225936000.0,225936000.0,225936000.0,8440000.0,225936000.0,77981000.0,,225.936,,44895000.0,,225936000.0,1254933000.0,53078000.0,152873000.0
71633,,,Insurance Carriers,,,,,,,New York Life Insurance Co,71633.0,,,,,,,,,,,,,,,
71633,,,,,,,,,,,1131381.0,,,,,,,,,,,,,,,
1094810,3259000.0,,Depository Credit Intermediation,,0.0,55196000.0,,,659585000.0,MutualFirst Financial Inc,1094810.0,109745000.0,109745000.0,109745000.0,8080000.0,109745000.0,,119410000.0,16.39492,,,1.0,109745000.0,769327000.0,,
1080759,,,,,1.0,,,,,Great China Mining Inc,1080759.0,,,,,,,,,,,0.0,,,,
1165921,233000.0,,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",-103000.0,1.0,480000.0,148000.0,1353000.0,759000.0,Law Enforcement Associates Corp,1165921.0,693000.0,693000.0,693000.0,258000.0,693000.0,85000.0,7960000.0,0.03677,5097000.0,445000.0,0.0,693000.0,1450000.0,,738000.0
1099215,,,Pharmaceutical and Medicine Manufacturing,,0.0,,,,,Protalex Inc,1099215.0,,,,,,,23750000.0,,,,1.0,,,,
948368,,,Depository Credit Intermediation,,0.0,,,,,PSB Holdings Inc,948368.0,,,,,,,34350000.0,,,,1.0,,,,
1095858,0.0,,Pharmaceutical and Medicine Manufacturing,-243000.0,0.0,-5597000.0,-23282000.0,30761000.0,3347000.0,ERBA Diagnostics Inc,1095858.0,36799000.0,29921000.0,29921000.0,-3509000.0,29921000.0,23282000.0,48700000.0,1.04489,10299000.0,-3874000.0,1.0,29921000.0,40146000.0,255000.0,2949000.0
1518419,426844.0,,Other Financial Investment Activities,-1455171.0,0.0,-83070970.0,-3056533.0,12709638.0,22896613.0,Quarterhill Inc,1518419.0,9862750.0,-4575042.0,-4575042.0,-28711047.0,-4575042.0,3483378.0,51630000.0,-0.15695,16112123.0,-31834469.0,1.0,-4575042.0,32759363.0,4524023.0,4107905.0
1016466,280554000.0,637000.0,Gambling Industries,36000.0,,,254629000.0,33241000.0,311058000.0,Majestic Star Casino LLC,1016466.0,-19981000.0,-49874000.0,-49874000.0,-1551000.0,-49874000.0,25925000.0,,-49.874,,14619000.0,,-49874000.0,291076000.0,8823000.0,37161000.0
1028911,,,Gambling Industries,,,,,,,Waterford Gaming LLC,1028911.0,,,,,,,,,,,,,,,
1059744,148683000.0,-877000.0,Traveler Accommodation,225000.0,,-43215000.0,197347000.0,17052000.0,168312000.0,Hard Rock Hotel Inc,1059744.0,21548000.0,-35707000.0,-35707000.0,2816000.0,-35707000.0,8591000.0,,-469.70534,,18015000.0,,-35707000.0,189860000.0,12088000.0,19375000.0
706874,,,Depository Credit Intermediation,,1.0,,,,,Palmetto Bancshares Inc,706874.0,,,,,,,,,,,0.0,,,,
1097641,,,,,,,,,,,,,,,,,,,,,,,,,,
1076481,5151000.0,,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",-4776000.0,1.0,-139023000.0,-133857000.0,163565000.0,47779000.0,Sequenom Inc,1076481.0,308602000.0,147621000.0,147621000.0,-62632000.0,147621000.0,139008000.0,67710000.0,11.85176,30735000.0,-69333000.0,0.0,147621000.0,356381000.0,935000.0,36917000.0
856710,252792000.0,-10322000.0,Printing and Related Support Activities,3701000.0,,-140340000.0,248245000.0,79032000.0,376533000.0,ACG Holdings Inc,856710.0,-96020000.0,-162568000.0,-162568000.0,722000.0,-162568000.0,4547000.0,,-1133.66806,539208000.0,27482000.0,,-162568000.0,280513000.0,3012000.0,79897000.0
1057693,58568000.0,-1818000.0,"Agriculture, Construction, and Mining Machinery Manufacturing",-8004000.0,1.0,4857000.0,55475000.0,115257000.0,143821000.0,Natco Group Inc,1057693.0,88930000.0,9023000.0,9023000.0,5363000.0,9023000.0,3093000.0,,0.60121,286582000.0,9258000.0,0.0,9023000.0,232751000.0,8143000.0,78146000.0
1449579,854445000.0,,Nonferrous Metal (except Aluminum) Production and Processing,3000.0,0.0,661534000.0,745161000.0,570343000.0,929313000.0,Straits Trading Company Ltd,1449579.0,1017934000.0,1017630000.0,1017630000.0,51938000.0,1017630000.0,111094000.0,495400000.0,2.8553,220863000.0,41282000.0,1.0,1017630000.0,1947247000.0,7775000.0,367095000.0
1054131,41000.0,-8590000.0,Other Investment Pools and Funds,23294000.0,1.0,-63180000.0,-208080000.0,216512000.0,6984000.0,Turnstone Systems Inc,1054131.0,242821000.0,242821000.0,242821000.0,-80561000.0,242821000.0,208121000.0,,3.76794,13431000.0,-88259000.0,0.0,242821000.0,249805000.0,8308000.0,5340000.0
1359514,5075000.0,,Metal Ore Mining,277000.0,0.0,-6104000.0,1790000.0,10013000.0,10160000.0,Wesdome Gold Mines Ltd,1359514.0,42814000.0,42814000.0,42814000.0,930000.0,42814000.0,3447000.0,144480000.0,1.14332,38205000.0,985000.0,1.0,42814000.0,52975000.0,6873000.0,8560000.0
75677,795217000.0,-21910000.0,Converted Paper Product Manufacturing,-9821000.0,0.0,280886000.0,712752000.0,448217000.0,1201946000.0,Packaging Corp of America,75677.0,769834000.0,765797000.0,765797000.0,106418000.0,765797000.0,82465000.0,1908470000.0,7.25412,1789956000.0,249455000.0,1.0,765797000.0,1971780000.0,,191895000.0
