Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
1092287,1992000.0,347000.0,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",-797000.0,,-65635000.0,64622000.0,12765000.0,6099000.0,TransMedics Inc,1092287.0,8805000.0,-65634000.0,-65634000.0,-17554000.0,-65634000.0,11809000.0,,-0.89617,,-18244000.0,,-65634000.0,14904000.0,,3514000.0
1411646,,,Other Financial Investment Activities,,,,,,,Turner Shell Company Inc,1411646.0,,,,,,,,,,,,,,,
1409302,11711000.0,-71000.0,Nondepository Credit Intermediation,-467000.0,,,-3523000.0,35098000.0,15589000.0,Value Financial Services Inc,1409302.0,36261000.0,31333000.0,31333000.0,5430000.0,31333000.0,15288000.0,,2.56787,86438000.0,10014000.0,,31333000.0,51849000.0,173000.0,7805000.0
1411288,9129000.0,997000.0,Computer Systems Design and Related Services,,,-28844000.0,46973000.0,20483000.0,27290000.0,Varolii Corp,1411288.0,13330000.0,-39744000.0,-39744000.0,-4995000.0,-39744000.0,4070000.0,,-0.37233,50914000.0,-4039000.0,,-39744000.0,40620000.0,1254000.0,19544000.0
1421182,1228611000.0,20621000.0,Converted Paper Product Manufacturing,19885000.0,0.0,-205127000.0,1075831000.0,406110000.0,1522943000.0,Verso Corp,1421182.0,-6806000.0,-55185000.0,-55185000.0,-131082000.0,-55185000.0,152780000.0,,-1.0518,1605316000.0,-3864000.0,1.0,-55185000.0,1516137000.0,127367000.0,243684000.0
1401688,58890.0,5840000.0,Health and Personal Care Stores,-1731000.0,1.0,-12624340.0,-22805150.0,59133630.0,37278490.0,Vitacost.com Inc,1401688.0,62185700.0,59980750.0,59980750.0,-15191000.0,59980750.0,22864040.0,173260000.0,2.1591,220680500.0,-13595120.0,0.0,59980750.0,99464200.0,,36757100.0
1401688,,,,,,,,,,,1135892.0,,,,,,,,,,,,,,,
1423221,1666000.0,-13349000.0,Building Finishing Contractors,-530000.0,0.0,213143000.0,-87953000.0,245073000.0,147703000.0,Quanex Building Products Corp,1423221.0,437226000.0,279851000.0,279851000.0,9066000.0,279851000.0,89619000.0,552840000.0,7.60302,848294000.0,16478000.0,1.0,279851000.0,584929000.0,33932000.0,104749000.0
1518353,0.0,,Metal Ore Mining,,0.0,-1022319.0,-1068898.0,1183484.0,429015.0,Northern Vertex Mining Corp,1518353.0,3248582.0,3248582.0,3248582.0,-789852.0,3248582.0,1068898.0,60670000.0,0.125402,,-798749.0,1.0,3248582.0,3677587.0,30.0,429015.0
1414475,474000000.0,,Pipeline Transportation of Natural Gas,,1.0,,558893000.0,43184000.0,672166000.0,Western Midstream Operating LP,1414475.0,1183964000.0,1098323000.0,1098323000.0,157197000.0,1098323000.0,27074000.0,4903790000.0,14.15852,663274000.0,177988000.0,0.0,1098323000.0,1856130000.0,91010000.0,45864000.0
1335480,55000000.0,1528000.0,Pharmaceutical and Medicine Manufacturing,-1277000.0,,-195709000.0,43459000.0,26928000.0,77794000.0,Xanodyne Pharmaceuticals Inc,1335480.0,58617000.0,-49401000.0,-49401000.0,-28287000.0,-49401000.0,11733000.0,,-0.22498,66923000.0,-23195000.0,,-49401000.0,136411000.0,,22794000.0
