Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
1517175,,,Grocery and Related Product Merchant Wholesalers,,0.0,,,,,Chefs' Warehouse Inc,1517175.0,,,,,,,,,,,1.0,,,,
1383395,,,Semiconductor and Other Electronic Component Manufacturing,,0.0,,,,,Sequans Communications SA,1383395.0,,,,,,,,,,,1.0,,,,
1519457,,,,,,,,,,Nambia Rare Earths Inc,1519457.0,,,,,,,,,,,,,,,
1343257,,,Oil and Gas Extraction,,1.0,,,,,BCM Energy Partners Inc,1343257.0,,,,,,,,,,,0.0,,,,
1279704,,,Pharmaceutical and Medicine Manufacturing,,0.0,,,,,Cellectar Biosciences Inc,1279704.0,,,,,,,,,,,1.0,,,,
1510295,,,Petroleum and Coal Products Manufacturing,,0.0,,,,,Marathon Petroleum Corp,1510295.0,,,,,,,,,,,1.0,,,,
1495584,,,Other Investment Pools and Funds,,0.0,,,,,Firsthand Technology Value Fund Inc,1495584.0,,,,,,,,,,,1.0,,,,
1509470,,,Other Investment Pools and Funds,,0.0,,,,,Sutter Rock Capital Corp,1509470.0,,,,,,,,,,,1.0,,,,
1504747,31996843.0,-5210923.0,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",-6121957.0,1.0,53635146.0,12395043.0,116424819.0,90895301.0,Swisher Hygiene Inc,1504747.0,135515148.0,48128001.0,48128001.0,21410979.0,48128001.0,21742906.0,,4.480402,227980602.0,35337166.0,0.0,48128001.0,226410448.0,,54576569.0
1174266,,,Wired Telecommunications Carriers,,1.0,,,,,Envivio Inc,1174266.0,,,,,,,,,,,0.0,,,,
1509223,,,Other Information Services,,0.0,,,,,Renren Inc,1509223.0,,,,,,,,,,,1.0,,,,
1499034,,,Other Information Services,,0.0,,,,,WU BA Superior Products Holding Group Inc,1499034.0,,,,,,,,,,,1.0,,,,
1487920,,,Petroleum and Coal Products Manufacturing,,1.0,,,,,USA Synthetic Fuel Corp,1487920.0,,,,,,,120000.0,,,,0.0,,,,
1503636,,,Support Activities for Mining,,,,,,,Platinum Energy Solutions Inc,1503636.0,,,,,,,,,,,,,,,
1617640,,,Other Information Services,,0.0,,,,,Zillow Group Inc,1617640.0,,,,,,,,,,,1.0,,,,
1517401,,,Other Amusement and Recreation Industries,,0.0,,,,,Peak Resorts Inc,1517401.0,,,,,,,,,,,0.0,,,,
1399935,,,,,,,,,,Chimera Capital Management LLC,1399935.0,,,,,,,,,,,,,,,
1399935,,,,,,,,,,,1789215.0,,,,,,,,,,,,,,,
