Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
1350138,0.0,,Metal Ore Mining,,0.0,-54090920.0,-14867720.0,16623490.0,-1438280.0,Southern Arc Minerals Inc,1350138.0,19630570.0,19630570.0,19630570.0,-41945170.0,19630570.0,12866310.0,5460000.0,1.79743,0.0,-42120850.0,1.0,19630570.0,18192290.0,29850.0,563130.0
1321544,144522000.0,-639000.0,"Newspaper, Periodical, Book, and Directory Publishers",191000.0,0.0,-3131000.0,143001000.0,9904000.0,153348000.0,American Community Newspapers Inc,1321544.0,61199000.0,-134022000.0,-134022000.0,-4588000.0,-134022000.0,1521000.0,20000.0,-9.16487,36170000.0,1217000.0,1.0,-134022000.0,214549000.0,6384000.0,9064000.0
1011835,196007000.0,-3750000.0,Pharmaceutical and Medicine Manufacturing,,1.0,-291548000.0,-100233000.0,344216000.0,298221000.0,Medivation Inc,1011835.0,73645000.0,73645000.0,73645000.0,-41257000.0,73645000.0,296240000.0,4815560000.0,0.49244,181696000.0,-26214000.0,0.0,73645000.0,371866000.0,,84886000.0
1203957,995000.0,888000.0,Pharmaceutical and Medicine Manufacturing,,1.0,-87245000.0,-440000.0,4741000.0,7455000.0,Bionovo Inc,1203957.0,11003000.0,9312000.0,9312000.0,-13699000.0,9312000.0,1435000.0,80000.0,0.17061,265000.0,-23630000.0,0.0,9312000.0,18458000.0,,7341000.0
1203957,,,,,,,,,,,1280920.0,,,,,,,,,,,,,,,
722077,2201320000.0,11002000.0,Motion Picture and Video Industries,,1.0,-42670000.0,2070392000.0,298663000.0,3505253000.0,AMC Entertainment Inc,722077.0,768585000.0,-1725891000.0,-1725891000.0,51730000.0,-1725891000.0,130928000.0,,,2017564000.0,136594000.0,0.0,-1725891000.0,4273838000.0,152604000.0,566908000.0
17485,1641000.0,-1724000.0,Health and Personal Care Stores,368000.0,1.0,-4853000.0,-10812000.0,24762000.0,19268000.0,Liberator Medical Holdings Inc,17485.0,29831000.0,29417000.0,29417000.0,7078000.0,29417000.0,12453000.0,218520000.0,0.56265,69111000.0,11759000.0,0.0,29417000.0,49099000.0,683000.0,9144000.0
1456189,837720.0,-546920.0,Other Miscellaneous Manufacturing,-91710.0,0.0,65190.0,-138210.0,9372500.0,2991280.0,Leatt Corp,1456189.0,7664790.0,7550430.0,7550430.0,78640.0,7550430.0,978930.0,3070000.0,1.45183,16577350.0,65520.0,1.0,7550430.0,10656060.0,420770.0,2953280.0
1330017,0.0,-3054150.0,"Advertising, Public Relations, and Related Services",,1.0,-214554090.0,-791230460.0,1214853580.0,505957490.0,Focus Media Holding Ltd,1330017.0,1469929000.0,1085372070.0,1085372070.0,235936790.0,1085372070.0,789258000.0,3621950000.0,1.64397,,315693890.0,0.0,1085372070.0,1975886490.0,,295728720.0
1106838,324600.0,,Limited-Service Eating Places,-121950.0,0.0,-9258700.0,-829000.0,2030380.0,2188080.0,Chanticleer Holdings Inc,1106838.0,5458360.0,4502040.0,4502040.0,-3101220.0,4502040.0,1223800.0,28800000.0,12.17129,6852320.0,-2591650.0,1.0,4502040.0,7646430.0,383450.0,1772850.0
1265572,370000.0,52000.0,Full-Service Restaurants,,0.0,-33524000.0,-7796000.0,9586000.0,20457000.0,Kona Grill Inc,1265572.0,18868000.0,18868000.0,18868000.0,4786000.0,18868000.0,8166000.0,159160000.0,2.20759,96021000.0,5354000.0,1.0,18868000.0,39325000.0,5749000.0,8542000.0
1051514,0.0,,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",-675600.0,0.0,-142199870.0,-7861520.0,9682710.0,3294600.0,STRATA Skin Sciences Inc,1051514.0,13975210.0,13927900.0,13927900.0,-22672530.0,13927900.0,7861520.0,30400000.0,21.62415,278460.0,-22724570.0,1.0,13927900.0,17269810.0,,3019180.0
1437107,5243000000.0,,Motion Picture and Video Industries,,0.0,2075000000.0,4046000000.0,2730000000.0,6639000000.0,Discovery Inc,1437107.0,6291000000.0,-2276000000.0,-2276000000.0,945000000.0,-2276000000.0,1201000000.0,20919960000.0,-6.7218,4487000000.0,1859000000.0,1.0,-2276000000.0,12930000000.0,117000000.0,946000000.0
1585505,30081000.0,,Commercial and Industrial Machinery and Equipment Rental and Leasing,-328000.0,0.0,-5037000.0,30081000.0,10021000.0,39193000.0,Zedcor Energy Inc,1585505.0,18044000.0,6325000.0,6325000.0,262000.0,6325000.0,0.0,47700000.0,0.54194,33770000.0,1753000.0,1.0,6325000.0,57237000.0,776000.0,12921000.0
