,ISIN,error
023184203,US0231842032,
303698104,US3036981047,
21036U206,US21036U2069,
292659109,US2926591098,
339099103,US3390991038,
359360104,US3593601046,
390064103,US3900641032,
46072H108,US46072H1086,
493397103,US4933971032,
340689306,US3406893061,
707832309,US7078323091,
776338204,US7763382048,
808783104,US8087831041,
853887206,US8538872065,
292973104,US2929731048,
097924104,US0979241041,
137225108,US1372251082,
372910307,US3729103073,
09858M204,US09858M2044,
05462D101,US05462D1019,
67069V108,US67069V1089,
941513301,US9415133019,
302051206,US3020512063,
630001105,US6300011052,
337907109,US3379071091,
V10064109,LR000A0D81P7,
30603D109,US30603D1090,
879698306,US8796983067,
220873103,US2208731032,
428339105,,No best match available
514936103,US5149361033,
140909102,US1409091022,
925317208,US9253172087,
420781304,,No best match available
885218800,US8852188007,
285324109,US2853241097,
637277104,US6372771047,
59479Q100,US59479Q1004,
540211109,US5402111091,
46426P103,US46426P1030,
624581203,US6245812036,
03058P109,US03058P1093,
89816T103,US89816T1034,
696639103,US6966391038,
598251106,US5982511066,
052036100,US0520361009,
69331W104,US69331W1045,
896106200,US8961062002,
404906109,CA4049061092,
265903104,,No best match available
498326206,US4983262068,
598148104,US5981481048,
485906101,CA4859061018,
193068202,US1930682026,
45865R208,US45865R2085,
892782103,US8927821038,
655053106,US6550531064,
137801106,US1378011068,
64360E109,US64360E1091,
872962105,US8729621057,
15712V108,CA15712V1085,
52169T203,CA52169T2039,
232975102,CA2329751028,
694228206,US6942282061,
25213A107,US25213A1079,
433245107,US4332451073,
70212G101,US70212G1013,
218868107,US2188681074,
74837R104,US74837R1041,
G2022L114,KYG2022L1142,
229675103,US2296751033,
583939103,CA5839391037,
04287X103,CA04287X1033,
40173B102,US40173B1026,
477046106,US4770461063,
37250A106,US37250A1060,
482470200,US4824702009,
28141C104,US28141C1045,
40637E106,US40637E1064,
89376N108,US89376N1081,
00799Y936,,No best match available
433507100,US4335071001,
58463F104,US58463F1049,
723443107,US7234431077,
45776K102,US45776K1025,
550278303,US5502783039,
553166109,US5531661099,
355521105,CA3555211059,
470355207,US4703552079,
73932U103,CA73932U1030,
00547E109,CA00547E1097,
02076X102,US02076X1028,
069827103,US0698271030,
G8657Q104,IE00B5VT5X83,
37991A100,US37991A1007,
04350G102,CA04350G1028,
89675K102,US89675K1025,
688197102,US6881971021,
50047M101,CA50047M1014,
55277J108,US55277J1088,
69945P107,US69945P1075,
071773105,US0717731055,
402738108,US4027381080,
40108N106,US40108N1063,
98417U104,CA98417U1049,
91324T302,US91324T3023,
813084100,US8130841005,
54222A106,US54222A1060,
497217109,US4972171098,
69915T105,CA69915T1057,
468202106,US4682021062,
265338707,US2653387074,
