,Instrument,Stock Price,Cash and Short Term Investments,Market Value for Company,CIK Number,Inventories (CF),Price,"Working Capital, Period over Period Average (Pvt)",Retained Earnings (Accumulated Deficit),"Working Capital, Period over Period % Change (Pvt)",Bankruptcy Filing Date
0,1750,,8250000.0,,1750.0,-46212000.0,,,184529000.0,,
1,1750,,1241000.0,,,-6644000.0,,,210474000.0,,
2,1750,,1241000.0,,,-6644000.0,,,210474000.0,,
3,1750,,1241000.0,,,-6644000.0,,,210474000.0,,
4,1750,,1241000.0,,,-6644000.0,,,210474000.0,,
5,1750,,13809000.0,,,17887000.0,,,219848000.0,,
6,1750,,13809000.0,,,17887000.0,,,219848000.0,,
7,1750,,13809000.0,,,17887000.0,,,219848000.0,,
8,1750,,13809000.0,,,17887000.0,,,219848000.0,,
9,1750,,34522000.0,,,-31749000.0,,,156479000.0,,
10,1750,,34522000.0,,,-31749000.0,,,156479000.0,,
11,1750,,34522000.0,,,-31749000.0,,,156479000.0,,
12,1750,,34522000.0,,,-31749000.0,,,156479000.0,,
13,1750,,34522000.0,,,-31749000.0,,,156479000.0,,
14,1750,,29154000.0,,,17755000.0,,,143272000.0,,
15,1750,,29154000.0,,,17755000.0,,,143272000.0,,
16,1750,,29154000.0,,,17755000.0,,,143272000.0,,
17,1750,,33697000.0,,,15602000.0,,,146776000.0,,
18,1750,,33697000.0,,,15602000.0,,,146776000.0,,
19,1750,,33697000.0,,,15602000.0,,,146776000.0,,
20,1750,,33697000.0,,,15602000.0,,,146776000.0,,
21,1750,,33697000.0,,,15602000.0,,,146776000.0,,
22,1750,,40508000.0,,,-12013000.0,,,162229000.0,,
23,1750,,40508000.0,,,-12013000.0,,,162229000.0,,
24,1750,,40508000.0,,,-12013000.0,,,162229000.0,,
25,1750,,40508000.0,,,-12013000.0,,,162229000.0,,
26,1750,,121738000.0,,,-58297000.0,,,197392000.0,,
27,1750,,121738000.0,,,-58297000.0,,,197392000.0,,
28,1750,,121738000.0,,,-58297000.0,,,197392000.0,,
29,1750,,121738000.0,,,-58297000.0,,,197392000.0,,
30,1750,,83317000.0,,,-8567000.0,,,256052000.0,,
31,1750,,83317000.0,,,-8567000.0,,,256052000.0,,
32,1750,,83317000.0,,,-8567000.0,,,256052000.0,,
33,1750,,83317000.0,,,-8567000.0,,,256052000.0,,
34,1750,,109391000.0,,,-42339000.0,,,331196000.0,,
35,1750,,109391000.0,,,-42339000.0,,,331196000.0,,
36,1750,,109391000.0,,,-42339000.0,,,331196000.0,,
37,1750,,109391000.0,,,-42339000.0,,,331196000.0,,
38,1750,,112505000.0,,,-45414000.0,,,374659000.0,,
39,1750,,112505000.0,,,-45414000.0,,,374659000.0,,
40,1750,,112505000.0,,,-45414000.0,,,374659000.0,,
41,1750,,112505000.0,,,-45414000.0,,,374659000.0,,
42,1750,,79370000.0,,,19015000.0,,,419287000.0,,
43,1750,,79370000.0,,,19015000.0,,,419287000.0,,
44,1750,,79370000.0,,,19015000.0,,,419287000.0,,
45,1750,,79370000.0,,,19015000.0,,,419287000.0,,
46,1750,,57433000.0,,,-13000000.0,,,486130000.0,,
47,1750,,57433000.0,,,-13000000.0,,,486130000.0,,
48,1750,,57433000.0,,,-13000000.0,,,486130000.0,,
49,1750,,57433000.0,,,-13000000.0,,,486130000.0,,
50,1750,,67700000.0,,,-47600000.0,,,541800000.0,,
51,1750,,67700000.0,,,-47600000.0,,,541800000.0,,
52,1750,,67700000.0,,,-47600000.0,,,541800000.0,,
53,1750,,67700000.0,,,-47600000.0,,,541800000.0,,
54,1750,,75300000.0,,,16100000.0,,,584900000.0,,
55,1750,,75300000.0,,,16100000.0,,,584900000.0,,
56,1750,,75300000.0,,,16100000.0,,,584900000.0,,
57,1750,,75300000.0,,,16100000.0,,,584900000.0,,
58,1750,,89200000.0,,,-26000000.0,,,646000000.0,,
59,1750,,89200000.0,,,-26000000.0,,,646000000.0,,
60,1750,,89200000.0,,,-26000000.0,,,646000000.0,,
61,1750,,89200000.0,,,-26000000.0,,,646000000.0,,
62,1750,,54700000.0,,,-32200000.0,,,644300000.0,,
63,1750,,54700000.0,,,-32200000.0,,,644300000.0,,
64,1750,,54700000.0,,,-32200000.0,,,644300000.0,,
65,1750,,54700000.0,,,-32200000.0,,,644300000.0,,
66,1750,,31200000.0,,,-26400000.0,,,681600000.0,,
67,1750,,31200000.0,,,-26400000.0,,,681600000.0,,
68,1750,,31200000.0,,,-26400000.0,,,681600000.0,,
69,1750,,31200000.0,,,-26400000.0,,,681600000.0,,
70,1750,,10300000.0,,,-23300000.0,,,727900000.0,,
71,1750,,10300000.0,,,-23300000.0,,,727900000.0,,
72,1750,,10300000.0,,,-23300000.0,,,727900000.0,,
73,1750,,10300000.0,,,-23300000.0,,,727900000.0,,
74,1750,,31100000.0,,,-25800000.0,,,733200000.0,,
75,1750,,31100000.0,,,-25800000.0,,,733200000.0,,
76,1750,,31100000.0,,,-25800000.0,,,733200000.0,,
77,1750,,31100000.0,,,-25800000.0,,,733200000.0,,
78,61478,,534500000.0,,61478.0,-66700000.0,,,899200000.0,,
79,61478,,534500000.0,,,-66700000.0,,,899200000.0,,
80,61478,,534500000.0,,,-66700000.0,,,899200000.0,,
81,61478,,1354200000.0,,,-207800000.0,,,1759400000.0,,
82,61478,,1354200000.0,,,-207800000.0,,,1759400000.0,,
83,61478,,1354200000.0,,,-207800000.0,,,1759400000.0,,
84,61478,,1354200000.0,,,-207800000.0,,,1759400000.0,,
85,61478,,421800000.0,,,89500000.0,,,471700000.0,,
86,61478,,421800000.0,,,89500000.0,,,471700000.0,,
87,61478,,421800000.0,,,89500000.0,,,471700000.0,,
88,61478,,421800000.0,,,89500000.0,,,471700000.0,,
89,61478,,279400000.0,,,80600000.0,,,-673300000.0,,
90,61478,,279400000.0,,,80600000.0,,,-673300000.0,,
91,61478,,279400000.0,,,80600000.0,,,-673300000.0,,
92,61478,,279400000.0,,,80600000.0,,,-673300000.0,,
93,61478,,745400000.0,,,9400000.0,,,-750000000.0,,
94,61478,,745400000.0,,,9400000.0,,,-750000000.0,,
95,61478,,745400000.0,,,9400000.0,,,-750000000.0,,
96,61478,,745400000.0,,,9400000.0,,,-750000000.0,,
97,61478,,500800000.0,,,-5700000.0,,,-733600000.0,,
98,61478,,500800000.0,,,-5700000.0,,,-733600000.0,,
99,61478,,500800000.0,,,-5700000.0,,,-733600000.0,,
100,61478,,500800000.0,,,-5700000.0,,,-733600000.0,,
101,61478,,443700000.0,,,-40700000.0,,,-622900000.0,,
102,61478,,443700000.0,,,-40700000.0,,,-622900000.0,,
103,61478,,443700000.0,,,-40700000.0,,,-622900000.0,,
104,61478,,443700000.0,,,-40700000.0,,,-622900000.0,,
105,61478,,537600000.0,,,-32300000.0,,,-557200000.0,,
106,61478,,537600000.0,,,-32300000.0,,,-557200000.0,,
107,61478,,537600000.0,,,-32300000.0,,,-557200000.0,,
108,61478,,537600000.0,,,-32300000.0,,,-557200000.0,,
109,61478,,581800000.0,,,-19500000.0,,,-450900000.0,,
110,61478,,581800000.0,,,-19500000.0,,,-450900000.0,,
111,61478,,581800000.0,,,-19500000.0,,,-450900000.0,,
112,61478,,581800000.0,,,-19500000.0,,,-450900000.0,,
113,61478,,631500000.0,,,-6700000.0,,,-491500000.0,,
114,61478,,631500000.0,,,-6700000.0,,,-491500000.0,,
115,61478,,631500000.0,,,-6700000.0,,,-491500000.0,,
116,61478,,631500000.0,,,-6700000.0,,,-491500000.0,,
117,61478,,535500000.0,,,23000000.0,,,-965900000.0,,
118,61478,,535500000.0,,,23000000.0,,,-965900000.0,,
119,61478,,535500000.0,,,23000000.0,,,-965900000.0,,
120,61478,,535500000.0,,,23000000.0,,,-965900000.0,,
121,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
122,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
123,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
124,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
125,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
126,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
127,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
128,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
129,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
130,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
131,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
132,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
133,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
134,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
135,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
136,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
137,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
138,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
139,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
140,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
141,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
142,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
143,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
144,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
145,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
146,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
147,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
148,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
149,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
150,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
151,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
152,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
153,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
154,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
155,61478,,696900000.0,,,13800000.0,,,-898400000.0,,
156,319126,,249000.0,,319126.0,665000.0,,,-6361000.0,,
157,319126,,249000.0,,,665000.0,,,-6361000.0,,
158,319126,,249000.0,,,665000.0,,,-6361000.0,,
159,319126,,434000.0,,,1017000.0,,,-7169000.0,,
160,319126,,434000.0,,,1017000.0,,,-7169000.0,,
161,319126,,434000.0,,,1017000.0,,,-7169000.0,,
162,319126,,434000.0,,,1017000.0,,,-7169000.0,,
163,319126,,198000.0,,,590000.0,,,-8907000.0,,
164,319126,,198000.0,,,590000.0,,,-8907000.0,,
165,319126,,198000.0,,,590000.0,,,-8907000.0,,
166,319126,,516000.0,,,331000.0,,,-8823000.0,,
167,319126,,516000.0,,,331000.0,,,-8823000.0,,
168,319126,,516000.0,,,331000.0,,,-8823000.0,,
169,319126,,516000.0,,,331000.0,,,-8823000.0,,
170,319126,,658000.0,,,334000.0,,,-10338000.0,,
171,319126,,658000.0,,,334000.0,,,-10338000.0,,
172,319126,,658000.0,,,334000.0,,,-10338000.0,,
173,319126,,658000.0,,,334000.0,,,-10338000.0,,
174,319126,,332000.0,,,-222000.0,,,-8993000.0,,
175,319126,,332000.0,,,-222000.0,,,-8993000.0,,
176,319126,,332000.0,,,-222000.0,,,-8993000.0,,
177,319126,,332000.0,,,-222000.0,,,-8993000.0,,
178,319126,,332000.0,,,-1217000.0,,,-7093000.0,,
179,319126,,332000.0,,,-1217000.0,,,-7093000.0,,
180,319126,,332000.0,,,-1217000.0,,,-7093000.0,,
181,319126,,332000.0,,,-1217000.0,,,-7093000.0,,
182,319126,,5213000.0,,,-913000.0,,,-6088000.0,,
183,319126,,5213000.0,,,-913000.0,,,-6088000.0,,
184,319126,,5213000.0,,,-913000.0,,,-6088000.0,,
185,319126,,5213000.0,,,-913000.0,,,-6088000.0,,
186,319126,,5213000.0,,,-913000.0,,,-6088000.0,,
187,319126,,922000.0,,,-382000.0,,,-10761000.0,,
188,319126,,922000.0,,,-382000.0,,,-10761000.0,,
189,319126,,922000.0,,,-382000.0,,,-10761000.0,,
190,319126,,922000.0,,,-382000.0,,,-10761000.0,,
191,319126,,819000.0,,,-270000.0,,,-21810000.0,,
192,319126,,819000.0,,,-270000.0,,,-21810000.0,,
