,Instrument,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Net Income/Starting Line, Cumulative",Delisted Quote Flag,Total Current Liabilities,Operating Income,Net Debt Incl. Pref.Stock & Min.Interest,Inventories (CF),Cash,Price
0,1551286,,,,0.0,,,,,,
1,731122,,,,0.0,,,,,,
2,731122,,,,,,,,,,
3,731122,,,,,,,,,,
4,731122,,,,,,,,,,
5,731122,,,,,,,,,,
6,731122,,,,,,,,,,
7,731122,,,,,,,,,,
8,731122,,,,,,,,,,
9,731122,,,,,,,,,,
10,731122,,,,,,,,,,
11,731122,,,,,,,,,,
12,731122,,,,,,,,,,
13,731122,,,,,,,,,,
14,731122,,,,,,,,,,
15,731122,,,,,,,,,,
16,731122,,,,,,,,,,
17,731122,,,,,,,,,,
18,731122,,,,,,,,,,
19,731122,,,,,,,,,,
20,731122,,,,,,,,,,
21,731122,,,,,,,,,,
22,731122,,,,,,,,,,
23,731122,,,,,,,,,,
24,731122,,,2226000.0,,,,,,,
25,731122,,,2226000.0,,,,,,,
26,731122,,,2226000.0,,,,,,,
27,731122,,,2226000.0,,,,,,,
28,731122,,40607000.0,2412000.0,,,,,,,
29,731122,,40607000.0,2412000.0,,,,,,,
30,731122,,40607000.0,2412000.0,,,,,,,
31,731122,,40607000.0,2412000.0,,,,,,,
32,731122,,40607000.0,2412000.0,,,,,,,
33,731122,,40648000.0,2647000.0,,,,,,,
34,731122,,40648000.0,2647000.0,,,,,,,
35,731122,,40648000.0,2647000.0,,,,,,,
36,731122,,40648000.0,2647000.0,,,,,,,
37,731122,,69235000.0,3078000.0,,,,,,,
38,731122,,69235000.0,3078000.0,,,,,,,
39,731122,,69235000.0,3078000.0,,,,,,,
40,731122,,69235000.0,3078000.0,,,,,,,
41,731122,,71765000.0,5877000.0,,,,,,,
42,731122,,71765000.0,5877000.0,,,,,,,
43,731122,,71765000.0,5877000.0,,,,,,,
44,731122,,71765000.0,5877000.0,,,,,,,
45,731122,,69522000.0,6304000.0,,,,,,,
46,731122,,69522000.0,6304000.0,,,,,,,
47,731122,,69522000.0,6304000.0,,,,,,,
48,731122,,69522000.0,6304000.0,,,,,,,
49,731122,,64406000.0,6776000.0,,,,,,,
50,731122,,64406000.0,6776000.0,,,,,,,
51,731122,,64406000.0,6776000.0,,,,,,,
52,731122,,64406000.0,6776000.0,,,,,,,
53,731122,,68138000.0,7153000.0,,,,,,,
54,731122,,68138000.0,7153000.0,,,,,,,
55,731122,,68138000.0,7153000.0,,,,,,,
56,731122,,68138000.0,7153000.0,,,,,,,
57,731122,,85670000.0,6818000.0,,,,,,,
58,731122,,85670000.0,6818000.0,,,,,,,
59,731122,,85670000.0,6818000.0,,,,,,,
60,731122,,85415000.0,6834000.0,,,,,,,
61,731122,,85415000.0,6834000.0,,,,,,,
62,731122,,85415000.0,6834000.0,,,,,,,
63,731122,,85415000.0,6834000.0,,,,,,,
64,731122,,85415000.0,6834000.0,,,,,,,
65,731122,,84245000.0,6908000.0,,,,,,,
66,731122,,84245000.0,6908000.0,,,,,,,
67,731122,,84245000.0,6908000.0,,,,,,,
68,731122,,84245000.0,6908000.0,,,,,,,
69,731122,,81781000.0,7164000.0,,,,,,,
70,731122,,81781000.0,7164000.0,,,,,,,
71,731122,,81781000.0,7164000.0,,,,,,,
72,731122,,81781000.0,7164000.0,,,,,,,
73,731122,,100279000.0,7305000.0,,,,,,,
74,731122,,100279000.0,7305000.0,,,,,,,
75,731122,,100279000.0,7305000.0,,,,,,,
76,731122,,100279000.0,7305000.0,,,,,,,
77,731122,,113859000.0,8025000.0,,,,,,,
78,731122,,113859000.0,8025000.0,,,,,,,
79,1579062,,,,,,,,,,
