,Instrument,Stock Price,Cash and Short Term Investments,Market Value for Company,CIK Number,Inventories (CF),Price,"Working Capital, Period over Period Average (Pvt)",Retained Earnings (Accumulated Deficit),"Working Capital, Period over Period % Change (Pvt)",Bankruptcy Filing Date
83,902281,,164473000.0,,,-18956000.0,,,84198000.0,,
84,902281,,164473000.0,,,-18956000.0,,,84198000.0,,
85,902281,,164473000.0,,,-18956000.0,,,84198000.0,,
86,902281,,86784000.0,,,-7498000.0,,,26129000.0,,
87,902281,,86784000.0,,,-7498000.0,,,26129000.0,,
88,902281,,86784000.0,,,-7498000.0,,,26129000.0,,
89,902281,,86784000.0,,,-7498000.0,,,26129000.0,,
90,902281,,58155000.0,,,-96000.0,,,-47502000.0,,
91,902281,,58155000.0,,,-96000.0,,,-47502000.0,,
92,902281,,58155000.0,,,-96000.0,,,-47502000.0,,
93,902281,,58155000.0,,,-96000.0,,,-47502000.0,,
94,902281,,31882000.0,,,3653000.0,,,-106474000.0,,
95,902281,,31882000.0,,,3653000.0,,,-106474000.0,,
96,902281,,31882000.0,,,3653000.0,,,-106474000.0,,
97,902281,,31882000.0,,,3653000.0,,,-106474000.0,,
98,902281,,31696000.0,,,-1284000.0,,,-112846000.0,,
99,902281,,31696000.0,,,-1284000.0,,,-112846000.0,,
100,902281,,46429000.0,,,-3681000.0,,,-125239000.0,,
101,902281,,46429000.0,,,-3681000.0,,,-125239000.0,,
102,902281,,46429000.0,,,-3681000.0,,,-125239000.0,,
103,902281,,46429000.0,,,-3681000.0,,,-125239000.0,,
104,902281,,17293000.0,,,-4033000.0,,,-159269000.0,,
105,902281,,17293000.0,,,-4033000.0,,,-159269000.0,,
106,902281,,17293000.0,,,-4033000.0,,,-159269000.0,,
107,902281,,30788000.0,,,422000.0,,,-178052000.0,,
108,902281,,30788000.0,,,422000.0,,,-178052000.0,,
109,902281,,30788000.0,,,422000.0,,,-178052000.0,,
110,902281,,30788000.0,,,422000.0,,,-178052000.0,,
111,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
112,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
113,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
114,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
115,902281,,16541000.0,,,3870000.0,,,-193985000.0,,
