,Instrument,Market Capitalisation,Instrument Is Active Flag,Company Common Name,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)",Total Current Assets,Net Debt Incl. Pref.Stock & Min.Interest,"Net Income/Starting Line, Cumulative",Delisted Quote Flag,Tangible Book Value - Insurance,Pricing Volatility
46,1368218,,,,,714590.0,-249690.0,-1094000.0,,799580.0,
47,1368218,,,,,714590.0,-249690.0,-1094000.0,,799580.0,
48,1368218,,,,,714590.0,-249690.0,-1094000.0,,799580.0,
49,1368218,,,,,714590.0,-249690.0,-1094000.0,,799580.0,
50,1368218,,,,,714590.0,-249690.0,-1094000.0,,799580.0,
51,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
52,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
53,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
54,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
55,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
56,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
57,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
58,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
59,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
60,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
61,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
62,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
63,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
64,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
65,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
66,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
67,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
68,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
69,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
70,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
71,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
72,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
73,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
74,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
75,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
76,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
77,1368218,,,,,335460.0,51540.0,-861260.0,,475730.0,
78,902281,,0.0,Electroglas Inc,,188664000.0,-139235000.0,5576000.0,1.0,177338000.0,
79,902281,,,,,188664000.0,-139235000.0,5576000.0,,177338000.0,
80,902281,,,,,188664000.0,-139235000.0,5576000.0,,177338000.0,
81,902281,,,,,188664000.0,-139235000.0,5576000.0,,177338000.0,
82,902281,,,,,259061000.0,-163241000.0,40444000.0,,234029000.0,
83,902281,,,,,259061000.0,-163241000.0,40444000.0,,234029000.0,
84,902281,,,,,259061000.0,-163241000.0,40444000.0,,234029000.0,
85,902281,,,,,259061000.0,-163241000.0,40444000.0,,234029000.0,
86,902281,,,,,140658000.0,-85613000.0,-58069000.0,,175749000.0,
87,902281,,,,,140658000.0,-85613000.0,-58069000.0,,175749000.0,
88,902281,,,,,140658000.0,-85613000.0,-58069000.0,,175749000.0,
89,902281,,,,,140658000.0,-85613000.0,-58069000.0,,175749000.0,
90,902281,,,,,98046000.0,-24986000.0,-73631000.0,,104874000.0,
91,902281,,,,,98046000.0,-24986000.0,-73631000.0,,104874000.0,
92,902281,,,,,98046000.0,-24986000.0,-73631000.0,,104874000.0,
93,902281,,,,,98046000.0,-24986000.0,-73631000.0,,104874000.0,
94,902281,,,,,60207000.0,1748000.0,-58972000.0,,48166000.0,
95,902281,,,,,60207000.0,1748000.0,-58972000.0,,48166000.0,
96,902281,,,,,60207000.0,1748000.0,-58972000.0,,48166000.0,
97,902281,,,,,60207000.0,1748000.0,-58972000.0,,48166000.0,
