Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
1383729,,1131000.0,Professional and Commercial Equipment and Supplies Merchant Wholesalers,-707000.0,1.0,,,,,Fusion-Io LLC,1383729.0,,,,-9975000.0,,,,,648000.0,-9900000.0,0.0,,,,
1121680,17436000.0,,Couriers and Express Delivery Services,,,,,,,Newgistics Inc,1121680.0,-127643000.0,,,,,3595000.0,,,85736000.0,5682000.0,,,30711000.0,,
1366684,,-143000.0,Other Information Services,,1.0,,,,,HomeAway Inc,1366684.0,,,,-5665000.0,,,,,82326000.0,9329000.0,0.0,,,9026000.0,
1311230,,611000.0,Grain and Oilseed Milling,,1.0,,,,,TerraVia Holdings Inc,1311230.0,,,,-14793000.0,,,,,923000.0,-13612000.0,0.0,,,,
1280363,,,Semiconductor and Other Electronic Component Manufacturing,,,,,,,Apache Design Inc,1280363.0,,,,3174000.0,,,,,25695000.0,-346000.0,,,,,
1508913,,164000.0,Other Information Services,216000.0,1.0,,,,,Qihoo 360 Technology Co Ltd,1508913.0,,,,-2746000.0,,,,,16895000.0,-2985000.0,0.0,,,,
1509986,0.0,182000.0,Other Information Services,,1.0,-7017000.0,7874000.0,11631000.0,1230000.0,Link Motion Inc,1509986.0,12023000.0,-5111000.0,-5111000.0,-3595000.0,-5111000.0,9085000.0,,-0.02231,3961000.0,-3755000.0,0.0,-5111000.0,13253000.0,,1230000.0
1164975,,537000.0,Semiconductor and Other Electronic Component Manufacturing,5114000.0,,,,,,Cortina Systems Inc,1164975.0,,,,-4462000.0,,,,,152126000.0,-3913000.0,,,,,
773717,31500.0,-1500.0,Metal Ore Mining,,0.0,-303390.0,27290.0,4210.0,32290.0,Cambrian Minerals Group Inc,773717.0,-28080.0,-28080.0,-28080.0,-35660.0,-28080.0,4210.0,510000.0,-0.01641,,-32870.0,1.0,-28080.0,4210.0,,32290.0
1502774,,,Oil and Gas Extraction,,0.0,,,,,Rio Bravo Oil Inc,1502774.0,,,,,,,,,,,0.0,,,,
1515980,,,Nondepository Credit Intermediation,,1.0,,,,,Apollo Residential Mortgage Inc,1515980.0,,,,,,,,,,,0.0,,,,
1128725,123000.0,,Computer Systems Design and Related Services,,0.0,-544000.0,123000.0,0.0,322000.0,InterCloud Systems Inc,1128725.0,-322000.0,-322000.0,-322000.0,-45000.0,-322000.0,0.0,260000.0,-32200.0,0.0,-46000.0,1.0,-322000.0,0.0,0.0,322000.0
