,Instrument,"Total Assets, Reported",Tangible Book Value - Reported,Instrument Is Active Flag,Accounts Payable (CF),"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)",Company Common Name,Bankruptcy Filing Date,Market Value for Company,Net Sales,Tangible Book Value Per Share
0,1092287,,,,,,TransMedics Inc,,,,
1,1092287,,,,,,,,,,
2,1092287,,,,,,,,,,
3,1092287,,,,,,,,,,
4,1092287,,,,,,,,,,
5,1092287,,,,,,,,,,
6,1092287,,,,,,,,,,
7,1092287,,,,,,,,,,
8,1092287,,,,,,,,,,
9,1092287,,,,,,,,,,
10,1092287,,,,,,,,,,
11,1092287,964000.0,,,,,,,,,
12,1092287,964000.0,,,,,,,,,
13,1092287,964000.0,,,,,,,,,
14,1092287,964000.0,,,,,,,,,
15,1092287,21233000.0,,,,,,,,,
16,1092287,21233000.0,,,,,,,,,
17,1092287,21233000.0,,,,,,,,,
18,1092287,21233000.0,,,,,,,,,
19,1092287,16644000.0,,,278000.0,,,,,,
20,1092287,16644000.0,,,278000.0,,,,,,
21,1092287,16644000.0,,,278000.0,,,,,,
22,1092287,16644000.0,,,278000.0,,,,,,
23,1092287,1687000.0,-44078000.0,,-355000.0,,,,,,-0.60185
24,1092287,1687000.0,-44078000.0,,-355000.0,,,,,,-0.60185
25,1092287,1687000.0,-44078000.0,,-355000.0,,,,,,-0.60185
26,1092287,1687000.0,-44078000.0,,-355000.0,,,,,,-0.60185
27,1092287,1687000.0,-44078000.0,,-355000.0,,,,,,-0.60185
28,1092287,1687000.0,-44078000.0,,-355000.0,,,,,,-0.60185
29,1092287,1687000.0,-44078000.0,,-355000.0,,,,,,-0.60185
30,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
31,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
32,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
33,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
34,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
35,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
36,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
37,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
38,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
39,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
40,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
41,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
42,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
43,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
44,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
45,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
46,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
47,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
48,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
49,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
50,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
51,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
52,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
53,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
54,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
55,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
56,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
57,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
58,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
59,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
60,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
61,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
62,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
63,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
64,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
65,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
66,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
67,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
68,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
69,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
70,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
71,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
72,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
73,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
74,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
75,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
76,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
77,1092287,14904000.0,-65634000.0,,347000.0,,,,,,-0.89617
78,1411646,,,,,,Turner Shell Company Inc,,,,
79,1409302,,,,,,Value Financial Services Inc,,,,
80,1409302,,,,,,,,,,
81,1409302,,,,,,,,,,
82,1409302,,,,,,,,,,
83,1409302,,,,,,,,,,
84,1409302,,,,,,,,,,
85,1409302,,,,,,,,,,
86,1409302,,,,,,,,,,
87,1409302,,,,,,,,,,
88,1409302,,,,,,,,,,
89,1409302,,,,,,,,,,
90,1409302,,,,,,,,,55516000.0,
91,1409302,,,,,,,,,55516000.0,
92,1409302,,,,,,,,,55516000.0,
93,1409302,,,,,,,,,55516000.0,
94,1409302,,,,,,,,,51660000.0,
95,1409302,,,,,,,,,51660000.0,
96,1409302,,,,,,,,,51660000.0,
97,1409302,,,,,,,,,51660000.0,
98,1409302,,,,-274000.0,,,,,58413000.0,
99,1409302,,,,-274000.0,,,,,58413000.0,
100,1409302,,,,-274000.0,,,,,58413000.0,
101,1409302,,,,-274000.0,,,,,58413000.0,
102,1409302,51663000.0,25904000.0,,-79000.0,,,,,68165000.0,2.12294
103,1409302,51663000.0,25904000.0,,-79000.0,,,,,68165000.0,2.12294
104,1409302,51663000.0,25904000.0,,-79000.0,,,,,68165000.0,2.12294
105,1409302,51663000.0,25904000.0,,-79000.0,,,,,68165000.0,2.12294
106,1409302,51663000.0,25904000.0,,-79000.0,,,,,68165000.0,2.12294
107,1409302,51663000.0,25904000.0,,-79000.0,,,,,68165000.0,2.12294
108,1409302,51663000.0,25904000.0,,-79000.0,,,,,68165000.0,2.12294
109,1409302,51663000.0,25904000.0,,-79000.0,,,,,68165000.0,2.12294
110,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
111,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
112,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
113,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
114,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
115,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
116,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
117,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
118,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
119,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
120,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
121,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
122,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
123,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
124,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
125,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
126,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
127,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
128,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
129,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
130,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
131,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
132,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
133,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
134,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
135,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
136,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
137,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
138,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
139,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
140,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
141,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
142,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
143,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
144,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
145,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
146,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
147,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
148,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
149,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
150,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
151,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
152,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
153,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
154,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
155,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
156,1409302,51849000.0,31333000.0,,-71000.0,,,,,86438000.0,2.56787
157,1411288,,,,,,Varolii Corp,,,,
158,1411288,,,,,,,,,,
159,1411288,,,,,,,,,,
160,1411288,,,,,,,,,,
161,1411288,,,,,,,,,,
162,1411288,,,,,,,,,,
163,1411288,,,,,,,,,,
164,1411288,,,,,,,,,,
165,1411288,,,,,,,,,,
166,1411288,,,,,,,,,,
167,1411288,,,,,,,,,,
168,1411288,15451000.0,,,,,,,,3416000.0,
169,1411288,15451000.0,,,,,,,,3416000.0,
170,1411288,15451000.0,,,,,,,,3416000.0,
171,1411288,15451000.0,,,,,,,,3416000.0,
172,1411288,13815000.0,,,,,,,,8741000.0,
173,1411288,13815000.0,,,,,,,,8741000.0,
174,1411288,13815000.0,,,,,,,,8741000.0,
175,1411288,13815000.0,,,,,,,,8741000.0,
176,1411288,14716000.0,,,382000.0,,,,,16192000.0,
177,1411288,14716000.0,,,382000.0,,,,,16192000.0,
178,1411288,14716000.0,,,382000.0,,,,,16192000.0,
179,1411288,14716000.0,,,382000.0,,,,,16192000.0,
180,1411288,35757000.0,-36232000.0,,452000.0,,,,,29738000.0,-0.33943
181,1411288,35757000.0,-36232000.0,,452000.0,,,,,29738000.0,-0.33943
182,1411288,35757000.0,-36232000.0,,452000.0,,,,,29738000.0,-0.33943
183,1411288,35757000.0,-36232000.0,,452000.0,,,,,29738000.0,-0.33943
184,1411288,35757000.0,-36232000.0,,452000.0,,,,,29738000.0,-0.33943
185,1411288,35757000.0,-36232000.0,,452000.0,,,,,29738000.0,-0.33943
186,1411288,35757000.0,-36232000.0,,452000.0,,,,,29738000.0,-0.33943
187,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
188,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
189,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
190,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
191,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
192,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
193,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
194,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
195,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
196,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
197,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
198,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
199,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
200,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
201,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
202,1411288,40620000.0,-39744000.0,,997000.0,,,,,50914000.0,-0.37233
