,Instrument,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Net Income/Starting Line, Cumulative",Delisted Quote Flag,Total Current Liabilities,Operating Income,Net Debt Incl. Pref.Stock & Min.Interest,Inventories (CF),Cash,Price
0,1092287,,,,,,,,,,
1,1092287,,,,,,,,,,
2,1092287,,,,,,,,,,
3,1092287,,,,,,,,,,
4,1092287,,,,,,,,,,
5,1092287,,,,,,,,,,
6,1092287,,,,,,,,,,
7,1092287,,,,,,,,,,
8,1092287,,,,,,,,,,
9,1092287,,,,,,,,,,
10,1092287,,,,,,,,,,
11,1092287,,,,,,-3774000.0,,,,
12,1092287,,,,,,-3774000.0,,,,
13,1092287,,,,,,-3774000.0,,,,
14,1092287,,,,,,-3774000.0,,,,
15,1092287,,,,,,-1582000.0,,,,
16,1092287,,,,,,-1582000.0,,,,
17,1092287,,,,,,-1582000.0,,,,
18,1092287,,,,,,-1582000.0,,,,
19,1092287,,,-7896000.0,,,-8178000.0,,0.0,,
20,1092287,,,-7896000.0,,,-8178000.0,,0.0,,
21,1092287,,,-7896000.0,,,-8178000.0,,0.0,,
22,1092287,,,-7896000.0,,,-8178000.0,,0.0,,
23,1092287,,1304000.0,-17370000.0,,1910000.0,-17407000.0,43033000.0,0.0,,
24,1092287,,1304000.0,-17370000.0,,1910000.0,-17407000.0,43033000.0,0.0,,
25,1092287,,1304000.0,-17370000.0,,1910000.0,-17407000.0,43033000.0,0.0,,
26,1092287,,1304000.0,-17370000.0,,1910000.0,-17407000.0,43033000.0,0.0,,
27,1092287,,1304000.0,-17370000.0,,1910000.0,-17407000.0,43033000.0,0.0,,
28,1092287,,1304000.0,-17370000.0,,1910000.0,-17407000.0,43033000.0,0.0,,
29,1092287,,1304000.0,-17370000.0,,1910000.0,-17407000.0,43033000.0,0.0,,
30,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
31,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
32,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
33,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
34,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
35,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
36,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
37,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
38,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
39,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
40,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
41,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
42,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
43,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
44,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
45,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
46,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
47,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
48,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
49,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
50,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
51,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
52,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
53,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
54,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
55,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
56,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
57,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
58,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
59,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
60,1092287,,1992000.0,-17554000.0,,3514000.0,-18244000.0,64622000.0,-797000.0,,
