Instrument,Instrument Is Active Flag,Cash and Short Term Investments,"Working Capital, Period over Period Average (Pvt)",Company Common Name,Operating Income,Tangible Book Value - Reported,Depreciation And Amortization,Earnings Before Interest & Taxes (EBIT) (Pvt),CIK Number,Total Equity,Tangible Book Value - Utility,Inventories (CF),Price,Net Sales,Pricing Volatility,Retained Earnings (Accumulated Deficit),Accounts Payable (CF),Geographic Earnings Before Interest and Taxes (EBIT),Market Value for Company,Delisted Quote Flag,"Working Capital, Period over Period % Change (Pvt)",Total Current Assets,Total Liabilities,"Total Assets, Reported",Tangible Book Value - Banks,"Net Income/Starting Line, Cumulative",Total Current Liabilities,Market Capitalisation,Stock Price,NAICS Industry Group Name,Tangible Book Value - Insurance,Tangible Book Value Per Share,Net Debt Incl. Pref.Stock & Min.Interest,Cash,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)"
1478102,1.0,,,Western Asset Mortgage Defined Opportunity Fund Inc,,,,,1478102.0,,,,,,,,,,,0.0,,,,,,,,,,Other Investment Pools and Funds,,,,,,,
1479238,1.0,,,Nuveen Mortgage Opportunity Term Fund 2,,,,,1479238.0,,,,,,,,,,,0.0,,,,,,,,,,Other Investment Pools and Funds,,,,,,,
1483403,0.0,,,Redgate Media Group,,,,,1483403.0,,,,,,,,,,,1.0,,,,,,,,,,"Advertising, Public Relations, and Related Services",,,,,,,
1483403,,,,,,,,,1270333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415684,1.0,,,MusclePharm Corp,,,,,1415684.0,,,,,,,,,,,0.0,,,,,,,,,,Pharmaceutical and Medicine Manufacturing,,,,,,,
1439971,0.0,,,Circle Star Energy Corp,,,,,1439971.0,,,,,,,,,,,1.0,,,,,,,,,,Oil and Gas Extraction,,,,,,,
1743046,1.0,,,Minaurum Gold Inc,,,,,1743046.0,,,,,,,,,,,0.0,,,,,,,,,,Metal Ore Mining,,,,,,,
814286,1.0,55000.0,,Halo Companies Inc,-37000.0,32000.0,,,814286.0,32000.0,32000.0,,,,,-2143000.0,,,,0.0,,56000.0,24000.0,56000.0,32000.0,-37000.0,24000.0,,,Computer Systems Design and Related Services,32000.0,0.06702,-55000.0,,,0.0,
814286,,8000.0,,,-80000.0,-8000.0,,,,-8000.0,-8000.0,,,,,-2223000.0,,,,,,18000.0,26000.0,18000.0,-8000.0,-80000.0,26000.0,,,,-8000.0,-0.01161,-8000.0,,,0.0,
1394108,1.0,,,Sino United Worldwide Consolidated Ltd,,,,,1394108.0,,,,,,,,,,,0.0,,,,,,,,,,Basic Chemical Manufacturing,,,,,,,
