Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
1471667,62308000.0,,"Electric Power Generation, Transmission and Distribution",,1.0,-111748000.0,41082000.0,32119000.0,75910000.0,Primary Energy Recycling Corp,1471667.0,200454000.0,197353000.0,197353000.0,-1905000.0,197353000.0,21226000.0,280320000.0,4.41444,56144000.0,2268000.0,0.0,197353000.0,276364000.0,18609000.0,17233000.0
1001500,3254860.0,,Metal Ore Mining,,0.0,-90149070.0,649910.0,2829300.0,9632160.0,Laramide Resources Ltd,1001500.0,69713640.0,69713640.0,69713640.0,-856930.0,69713640.0,2604950.0,54220000.0,0.74355,1510.0,-2643050.0,1.0,69713640.0,79345790.0,8870.0,2703450.0
1383571,108241000.0,15116000.0,Iron and Steel Mills and Ferroalloy Manufacturing,-45000000.0,1.0,79332000.0,74165000.0,322342000.0,403692000.0,Globe Specialty Metals Inc,1383571.0,425669000.0,381849000.0,381849000.0,34627000.0,381849000.0,120909000.0,796610000.0,5.17761,800773000.0,61891000.0,0.0,381849000.0,829361000.0,987000.0,113298000.0
1597426,32292000.0,-1818000.0,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",-1481000.0,0.0,-257818000.0,11495000.0,33584000.0,53794000.0,Lombard Medical Inc,1597426.0,13973000.0,-18837000.0,-18837000.0,-32516000.0,-18837000.0,20797000.0,3210000.0,-0.67393,12169000.0,-28881000.0,1.0,-18837000.0,67767000.0,,10072000.0
1321834,0.0,28700.0,Pharmaceutical and Medicine Manufacturing,-187200.0,0.0,-97479540.0,-122700.0,3186940.0,1697430.0,Akers Biosciences Inc,1321834.0,3387680.0,2085900.0,2085900.0,-3303540.0,2085900.0,122700.0,4210000.0,3.06043,2960910.0,-3328640.0,1.0,2085900.0,5085110.0,171110.0,1697430.0
1534317,161292623000.0,,Depository Credit Intermediation,,1.0,-41790720000.0,,,577730422000.0,National Commercial Bank Jamaica Ltd,1534317.0,115993769000.0,111070959000.0,111070959000.0,19107818000.0,111070959000.0,,153679300000.0,45.02701,,,0.0,111070959000.0,693724191000.0,,
1618500,0.0,9000.0,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",-828000.0,0.0,-52079000.0,-3001000.0,3586000.0,1797000.0,Medigus Ltd,1618500.0,2927000.0,2901000.0,2901000.0,-8979000.0,2901000.0,3001000.0,18030000.0,0.65718,549000.0,-9091000.0,1.0,2901000.0,4724000.0,,1334000.0
1603978,2662930.0,,Scientific Research and Development Services,,0.0,-99273860.0,-672350.0,3573000.0,3680780.0,AquaBounty Technologies Inc,1603978.0,2028060.0,1637560.0,1637560.0,-8470660.0,1637560.0,3335280.0,31310000.0,0.25334,,-8065050.0,1.0,1637560.0,5708830.0,,1035760.0
1362925,10082970.0,,"Data Processing, Hosting, and Related Services",,1.0,-43296400.0,-3207500.0,26288370.0,22321560.0,Planet Payment Inc,1362925.0,36262040.0,30945280.0,30945280.0,25072000.0,30945280.0,13305820.0,224000000.0,0.62781,54337410.0,9821440.0,0.0,30945280.0,58583600.0,,11550570.0
1463471,0.0,,Basic Chemical Manufacturing,,0.0,-328680.0,-387840.0,397730.0,204960.0,Mission Newenergy Ltd,1463471.0,194520.0,194520.0,194520.0,,194520.0,387840.0,1470000.0,0.00476,7780.0,-4498300.0,1.0,194520.0,399470.0,490.0,204960.0
