Instrument,Instrument Is Active Flag,Cash and Short Term Investments,"Working Capital, Period over Period Average (Pvt)",Company Common Name,Operating Income,Tangible Book Value - Reported,Depreciation And Amortization,Earnings Before Interest & Taxes (EBIT) (Pvt),CIK Number,Total Equity,Tangible Book Value - Utility,Inventories (CF),Price,Net Sales,Pricing Volatility,Retained Earnings (Accumulated Deficit),Accounts Payable (CF),Geographic Earnings Before Interest and Taxes (EBIT),Market Value for Company,Delisted Quote Flag,"Working Capital, Period over Period % Change (Pvt)",Total Current Assets,Total Liabilities,"Total Assets, Reported",Tangible Book Value - Banks,"Net Income/Starting Line, Cumulative",Total Current Liabilities,Market Capitalisation,Stock Price,NAICS Industry Group Name,Tangible Book Value - Insurance,Tangible Book Value Per Share,Net Debt Incl. Pref.Stock & Min.Interest,Cash,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)"
1379009,1.0,275345000.0,,Gazit Globe Ltd,243513000.0,461600000.0,51859000.0,,1379009.0,461600000.0,461600000.0,,,386468000.0,,-7197000.0,3642000.0,,810680000.0,0.0,,436027000.0,4578814000.0,5040414000.0,461600000.0,72522000.0,429914000.0,,,Lessors of Real Estate,461600000.0,10.68861,4047638000.0,,,4047718000.0,
1379009,,395674000.0,,,308549000.0,708264000.0,99015000.0,,,708264000.0,708264000.0,,,707761000.0,,,13699000.0,,923380000.0,,,557631000.0,6001073000.0,6709337000.0,708264000.0,84692000.0,528777000.0,,,,708264000.0,13.27885,5284656000.0,,,5087059000.0,
1270484,0.0,23783000.0,,Verifone Israel Ltd,9609000.0,44234000.0,1844000.0,,1270484.0,52992000.0,44234000.0,2935000.0,,62958000.0,,28126000.0,2014000.0,,,1.0,,46534000.0,11555000.0,64547000.0,44234000.0,5101000.0,8029000.0,,,Computer and Peripheral Equipment Manufacturing,44234000.0,2.20556,-22521000.0,,,1262000.0,
1270484,,23783000.0,,,9609000.0,44234000.0,1844000.0,,,52992000.0,44234000.0,2935000.0,,62958000.0,,28126000.0,2014000.0,,,,,46534000.0,11555000.0,64547000.0,44234000.0,5101000.0,8029000.0,,,,44234000.0,2.20556,-22521000.0,,,1262000.0,
1698287,1.0,,,Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santander,,9276011000.0,,,1698287.0,9276011000.0,9276011000.0,,,,,-6123282000.0,,,25313060000.0,0.0,,,122437499000.0,131713510000.0,9276011000.0,984677000.0,,,,Depository Credit Intermediation,9276011000.0,1.90869,,,,34182785000.0,
1698287,,,,,,22975252000.0,,,,23206610000.0,22975252000.0,,,,,-1657480000.0,,,30800470000.0,,,,199368066000.0,222574676000.0,22975252000.0,5863151000.0,,,,,22975252000.0,4.02366,,,,41909872000.0,
1337117,1.0,,,Ituran Location and Control Ltd,,,,,1337117.0,,,,,,,,,,,0.0,,,,,,,,,,Investigation and Security Services,,,,,,,
1337117,,,,,4279000.0,,,,,,,363000.0,,41835000.0,,,2692000.0,,,,,,,,,869000.0,,,,,,,,,,,
1119775,0.0,7491494.0,,Metal Storm Ltd,-2608510.0,7428826.0,24169.0,,1119775.0,7428826.0,7428826.0,,,136381.0,,-8481646.0,,,613940000.0,1.0,,7749327.0,390331.0,7819157.0,7428826.0,,370636.0,,,Aerospace Product and Parts Manufacturing,7428826.0,0.017637,-7491494.0,4488809.0,,0.0,
1119775,,6128084.0,,,-5686257.0,6392479.0,58023.0,,1163576.0,6392479.0,6392479.0,,,682738.0,,-15191929.0,,,208470000.0,,,6682334.0,517039.0,6905600.0,6392479.0,,456326.0,,,,6392479.0,0.0151,-6128084.0,2634156.0,,0.0,
1579695,0.0,6276000.0,,Biotie Therapies Ltd,-6684000.0,5976000.0,139000.0,,1579695.0,6950000.0,5976000.0,,,173000.0,,-10625000.0,,,75290000.0,1.0,,6683000.0,982000.0,7935000.0,5976000.0,-6684000.0,636000.0,,,Scientific Research and Development Services,5976000.0,0.57917,-5930000.0,,,243000.0,
1579695,,6276000.0,,,-6684000.0,5976000.0,139000.0,,,6950000.0,5976000.0,,,173000.0,,-10625000.0,,,11700000.0,,,6683000.0,982000.0,7935000.0,5976000.0,-6684000.0,636000.0,,,,5976000.0,0.57917,-5930000.0,,,243000.0,
