,Instrument,Stock Price,Retained Earnings (Accumulated Deficit),Operating Income,"Net Income/Starting Line, Cumulative",Total Current Liabilities,MKT_CAP,"Total Assets, Reported",Market Capitalisation,Total Equity,Net Sales,Price
0,1351548,,-13071000.0,24680000.0,30566000.0,68722000.0,,119620000.0,,44391000.0,219192000.0,
1,1351548,,13938000.0,39309000.0,27009000.0,98475000.0,,187546000.0,,81044000.0,327706000.0,
2,1351548,,13938000.0,39309000.0,27009000.0,98475000.0,,187546000.0,,81044000.0,327706000.0,
3,1351548,,13938000.0,39309000.0,27009000.0,98475000.0,,187546000.0,,81044000.0,327706000.0,
4,1351548,,13938000.0,39309000.0,27009000.0,98475000.0,,187546000.0,,81044000.0,327706000.0,
5,1351548,,68806000.0,80722000.0,54868000.0,136158000.0,,295315000.0,,144779000.0,470126000.0,
6,1351548,,68806000.0,80722000.0,54868000.0,136158000.0,,295315000.0,,144779000.0,470126000.0,
7,1351548,,68806000.0,80722000.0,54868000.0,136158000.0,,295315000.0,,144779000.0,470126000.0,
8,1351548,,68806000.0,80722000.0,54868000.0,136158000.0,,295315000.0,,144779000.0,470126000.0,
9,1351548,,85356000.0,11471000.0,16550000.0,152064000.0,,413685000.0,,169132000.0,442570000.0,
10,1351548,,85356000.0,11471000.0,16550000.0,152064000.0,,413685000.0,,169132000.0,442570000.0,
11,1351548,,85356000.0,11471000.0,16550000.0,152064000.0,,413685000.0,,169132000.0,442570000.0,
12,1351548,,85356000.0,11471000.0,16550000.0,152064000.0,,413685000.0,,169132000.0,442570000.0,
13,1351548,,62513000.0,-32566000.0,-22843000.0,130519000.0,,588315000.0,,158968000.0,465745000.0,
14,1351548,,62513000.0,-32566000.0,-22843000.0,130519000.0,,588315000.0,,158968000.0,465745000.0,
15,1351548,,62513000.0,-32566000.0,-22843000.0,130519000.0,,588315000.0,,158968000.0,465745000.0,
16,1351548,,62513000.0,-32566000.0,-22843000.0,130519000.0,,588315000.0,,158968000.0,465745000.0,
17,1351548,,75148000.0,32690000.0,12635000.0,181660000.0,,769705000.0,,257941000.0,634658000.0,
18,1351548,,75148000.0,32690000.0,12635000.0,181660000.0,,769705000.0,,257941000.0,634658000.0,
19,1351548,,75148000.0,32690000.0,12635000.0,181660000.0,,769705000.0,,257941000.0,634658000.0,
20,1351548,,75148000.0,32690000.0,12635000.0,181660000.0,,769705000.0,,257941000.0,634658000.0,
21,1351548,,51718000.0,-26447000.0,-23430000.0,233850000.0,,792008000.0,,237920000.0,821049000.0,
22,1351548,,51718000.0,-26447000.0,-23430000.0,233850000.0,,792008000.0,,237920000.0,821049000.0,
23,1351548,,51718000.0,-26447000.0,-23430000.0,233850000.0,,792008000.0,,237920000.0,821049000.0,
24,1351548,,51718000.0,-26447000.0,-23430000.0,233850000.0,,792008000.0,,237920000.0,821049000.0,
25,1351548,,37746000.0,-7897000.0,-13971000.0,301012000.0,,970430000.0,,228776000.0,977184000.0,
26,1351548,,37746000.0,-7897000.0,-13971000.0,301012000.0,,970430000.0,,228776000.0,977184000.0,
27,1351548,,37746000.0,-7897000.0,-13971000.0,301012000.0,,970430000.0,,228776000.0,977184000.0,
28,1351548,,37746000.0,-7897000.0,-13971000.0,301012000.0,,970430000.0,,228776000.0,977184000.0,
