,RIC,error
25460E752,,No best match available
25460E737,,No best match available
606501104,MIND.O,
864087101,STBI.PK,
45068B109,ESINQ.PK,
67069D108,NTRI.O^C19,
524682101,,No best match available
01643P105,AASP.PK,
87951V206,TLLEQ.PK,
03782L101,APPN.O,
42724R107,,No best match available
766909105,,No best match available
02155H200,ALT.O,
48251K100,KREF.K,
559663109,MGY,
M87915274,,No best match available
74934J104,,No best match available
400764106,GNTY.O,
75601Y100,REAL.TO,
830896106,,No best match available
05564W106,,No best match available
132618109,,No best match available
81731K101,SKVY.PK,
12561J104,,No best match available
74255Y706,,No best match available
00215L104,ASV.O,
3621LQ109,GTHX.O,
34417P100,FOCS.O,
252838107,DYXC.PK,
67011N105,NVUS.O,
518416607,,No best match available
518416706,,No best match available
409735206,BTO,
109199109,BEDU.K,
60765P103,MMDM.O,
G6375R107,,No best match available
20415P101,,No best match available
39807A100,GLGI.PK,
575323100,MNR.TO^L18,
131004202,,No best match available
45247F104,IAGX.PK,
62014P108,MOTS.O,
45409B396,,No best match available
307795104,FMCB.PK,
31929F109,FBTT.PK,
30066N107,,No best match available
30066Q100,,No best match available
410495204,HAFC.O,
67011T102,NVOS.PK,
82936V108,SGLA.PK,
277858106,,No best match available
97717Y808,,No best match available
78413P101,SMHI.K,
482016102,JUVF.PK,
72814N104,AGS,
33999F936,,No best match available
698657103,,No best match available
60040L109,MHCC.PK,
221011109,,No best match available
46641Q837,,No best match available
69341E201,,No best match available
G0132V105,,No best match available
05644L203,BTCA.PK,
04685N103,ATNX.O,
74345W108,PRPH.O,
74051E201,PRXIQ.PK,
89679A209,TSU.TO,
38747R207,,No best match available
887336105,,No best match available
G21082105,,No best match available
38747R108,,No best match available
67420T206,OMP,
22499Z005,,No best match available
44041Q101,,No best match available
45765U103,NSIT.O,
959542200,,No best match available
82536T107,SSTI.O,
76009N100,RCII.O,
320655103,,No best match available
96758W101,WOW,
524682200,,No best match available
16941V109,,No best match available
524682309,,No best match available
114340102,BRKS.O,
207195108,,No best match available
816909105,,No best match available
45812P107,,No best match available
501925101,,No best match available
G8232Y101,,No best match available
37936S109,GPTX.PK,
203719208,CIBN.PK,
65441V101,NINE.K,
48242A104,KBLM.O,
132061854,,No best match available
62856A102,MYMX.PK,
743958407,PSCO.PK,
584062202,,No best match available
98462Y100,YRI.TO,
46116V105,INTL.O,
90476B101,UNLA.PK,
844271106,SZBI.PK,
189763105,CODX.O,
01626A109,AQYa.TO,
141705103,,No best match available
586579104,MENB.PK,
494549702,KML.TO,
57383T103,,No best match available
82622H108,SNNA.O,
847788106,TRK,
38199L930,,No best match available
004498101,ACIW.O,
353769102,,No best match available
353768104,,No best match available
863111100,STRT.O,
58500N102,,No best match available
552617102,,No best match available
01890A108,,No best match available
055063101,,No best match available
032108508,,No best match available
124411109,BY,
256746108,DLTR.O,
42588L105,,No best match available
337493100,,No best match available
202795001,,No best match available
560909103,MDI.TO,
29667J101,ESQ.O,
636518102,NATI.O,
65250J108,HIP.V^E19,
44041Y104,,No best match available
148887102,,No best match available
09076P104,BDT.TO,
G1142P104,,No best match available
09523Q200,APRN.K,
G2110U109,,No best match available
59045L106,MRSN.O,
755408101,RDI.O,
88770Q105,TNTRQ.PK,
769627100,,No best match available
04625J105,IOM.V,
00887A105,ALRN.O,
25985T102,DOVA.O,
088115100,,No best match available
238124101,,No best match available
03073E105,ABC,
69323K100,PCMI.O,
317884203,,No best match available
876031204,,No best match available
55264U108,MBFI.O^C19,
353771108,,No best match available
35376P106,,No best match available
98779U106,,No best match available
40108P101,GFED.O,
69344M101,,No best match available
38217M100,FOOD.TO,
949759203,,No best match available
450047204,IRS,
031001100,ATLO.O,
66538H666,,No best match available
83099Z910,,No best match available
66538H674,,No best match available
67092P888,,No best match available
625420401,MMTS.PK,
67092P805,,No best match available
180606105,,No best match available
74974R206,,No best match available
874028103,TAIT.O,
878330109,,No best match available
032515108,,No best match available
46924R106,,No best match available
419131107,HAUP.PK,
20741M103,,No best match available
124805102,CBZ,
84761G107,,No best match available
30224Q000,,No best match available
300355104,,No best match available
063425102,BMRC.O,
74640T107,,No best match available
G64335105,,No best match available
10922N103,BHF.O,
45244C104,ISNS.O,
381430479,,No best match available
G89827128,,No best match available
470748104,JWEL.TO,
G2709G107,,No best match available
61999C934,,No best match available
G2379F108,,No best match available
62857J102,MYO,
550789101,LXR.TO,
46435Q100,,No best match available
46436K102,,No best match available
46435V109,,No best match available
872280102,CGBD.O,
M25802105,,No best match available
G9329Z100,,No best match available
00726A100,ADOM.PK,
G9892K100,,No best match available
69374H857,,No best match available
69374H873,,No best match available
30258M107,FFBW.O,
46437B101,,No best match available
46435T104,,No best match available
413160102,HLIT.O,
75282U104,RNGR.K,
237194105,DRI,
05360L205,ATXI.O,
099709107,,No best match available
302311105,EZEN.PK,
75621K106,,No best match available
30241L109,,No best match available
717143101,PTGCY.PK,
33738R761,,No best match available
33738R753,,No best match available
33738R746,,No best match available
761152107,RMD,
33739P863,,No best match available
33738R787,,No best match available
33738R738,,No best match available
33738R779,,No best match available
056042104,,No best match available
066849100,BHB,
02607T109,AFIN.O,
92647N691,,No best match available
31421V107,,No best match available
78645L100,SAFE.K,
87266M107,TRTX.K,
284849205,SOLO.O,
36254B102,,No best match available
38741L107,GPMT.K,
97719A105,,No best match available
35104D102,FSPR.K,
97720A102,,No best match available
483119103,KALA.O,
89628W401,,No best match available
97717Y857,,No best match available
048206106,,No best match available
00972L107,AKCA.O,
01883H102,CBH,
26922A719,,No best match available
92790A306,,No best match available
26922A727,,No best match available
30162V102,XELA.O,
G1992S109,,No best match available
688397108,,No best match available
206704108,BBCP.O,
75737F108,RDFN.O,
05722G100,BHGE.K,
185575107,CMTA.O^D19,
G18920101,,No best match available
12558J109,,No best match available
46590V100,JBGS.K,
91733R103,,No best match available
46435G268,,No best match available
30151E889,,No best match available
74255Y888,,No best match available
986005106,YOGA.PK,
13173L107,CLXT.O,
89142A109,,No best match available
46435G250,,No best match available
46435G219,,No best match available
46138E347,,No best match available
46138G797,,No best match available
46138G839,,No best match available
46138E438,,No best match available
46138G789,,No best match available
74347B391,,No best match available
46435G193,,No best match available
52468L877,,No best match available
46435G243,,No best match available
00108V102,AEX.V,
23809L108,DM.V,
82887P100,WINR.PK,
71639T106,PETQ.O,
70957E105,WRLS.O,
70499B932,,No best match available
23666P101,DARE.O,
46434G764,,No best match available
91733T307,,No best match available
11222M100,,No best match available
26952G107,EFBI.O,
596336107,,No best match available
65342K105,NEXT.O,
02083G100,ALPN.O,
29669T107,ESR.V,
27831H100,EFL,
69290X101,PDLB.O,
372446104,GNPX.O,
42370R104,HPMM.PK,
13499C930,,No best match available
89349P107,,No best match available
89349P305,,No best match available
89349P404,,No best match available
89349P206,,No best match available
608550109,MTEM.O,
65342G203,NXNN.PK,
91733T406,,No best match available
004468203,ACHV.O,
894789106,TRMT.O,
85571Q102,,No best match available
G2120A101,,No best match available
73943T103,PQG,
05599H934,,No best match available
45299T937,,No best match available
G75271109,,No best match available
92299M934,,No best match available
00810B105,ARPO.O,
74875T103,QES,
46435G169,,No best match available
29079G109,EMRN.PK,
G87084102,,No best match available
47010C409,JAGX.O,
58490H107,MDNA.TO,
16842Q100,CSSE.O,
21852Q404,CDB.V,
G27358103,,No best match available
98887Q104,ZLAB.O,
02156A105,ALTD.PK,
84858T202,,No best match available
84858T103,,No best match available
G1466B103,,No best match available
62818Q104,MBIO.O,
501147102,KRYS.O,
137800207,TRST.TO,
67499M934,,No best match available
40701T104,HBB,
G8250R103,,No best match available
15102K100,CELC.O,
33739P855,,No best match available
12558K205,,No best match available
26146L103,,No best match available
87166L100,SYBX.O,
81367P101,SECO.O,
74979W101,RYB,
20854L108,CEIX.K,
38748G101,,No best match available
65413A101,NITE.O^F19,
76133C103,HAIR.O,
67022C106,NCNA.O,
77543R102,ROKU.O,
24344T101,DCPH.O,
66538H591,,No best match available
35473P850,,No best match available
35473P868,,No best match available
407047109,,No best match available
72202L371,,No best match available
72202L389,,No best match available
72202L363,,No best match available
26922A628,,No best match available
381430453,,No best match available
00688A106,ADIL.O,
41015N106,HJLI.O,
500767868,,No best match available
0556EL109,BPMP.K,
608672101,,No best match available
37954Y657,,No best match available
46435G144,,No best match available
12559E109,,No best match available
46142E101,,No best match available
44299Y939,,No best match available
46435G151,,No best match available
46435UAA9,,No best match available
381430438,,No best match available
26922A651,,No best match available
26922A669,,No best match available
26922A677,,No best match available
31868W204,,No best match available
30052M105,,No best match available
G2345N102,,No best match available
68404V100,OPTN.O,
09216T107,,No best match available
747798106,QD,
30051R105,,No best match available
97717G104,,No best match available
039587100,FUV.O,
97719J205,,No best match available
97719Y103,,No best match available
00444P108,ACER.O,
46138E487,,No best match available
46138E479,,No best match available
46138E495,,No best match available
46138E461,,No best match available
46138E453,,No best match available
87105L104,SWCH.K,
98400T106,XFLT.K,
