,RIC,error
59508L106,,No best match available
68244P107,PIH.O,
190632109,,No best match available
44051Y101,,No best match available
206022105,CNCE.O,
859317109,,No best match available
859319303,,No best match available
00768Y651,,No best match available
02504D108,,No best match available
74930H102,,No best match available
74930L103,,No best match available
74931R109,,No best match available
74932K103,,No best match available
05570D100,,No best match available
767204100,RIO,
783859101,STBA.O,
64704V106,NEWM.K,
425886108,,No best match available
89609W107,TPCO.O,
887228104,TIME.K^A18,
51509F105,LE.O,
14174T107,CTRE.O,
23257D103,CBAY.O,
900450206,HEAR.O,
752185108,RAND.O,
753037100,,No best match available
62472C201,XDSL.PK,
879403780,,No best match available
28027J108,EGDW.PK,
26922A503,,No best match available
25459Y280,,No best match available
20601C104,CONA.TO^E18,
85571U202,SSET.PK,
52603A208,LC,
78573M104,SABR.O,
72201R726,,No best match available
891709107,,No best match available
892039108,TWCF.PK,
72201R718,,No best match available
892331307,TM,
57061R429,,No best match available
57061R445,,No best match available
57061R437,,No best match available
57061R452,,No best match available
233051820,,No best match available
233051812,,No best match available
233051796,,No best match available
25459Y298,,No best match available
30246X108,FECOF.PK,
90457D100,UNS.TO,
G6856M106,,No best match available
04911A107,AUB.O,
15911U109,CHGT.PK,
03842B101,,No best match available
004449104,AKAOQ.PK,
76118L102,RESN.O,
84264D106,RIBS.PK,
09072X309,BPMX.K,
70438V106,PCTY.O,
685563504,,No best match available
97717X628,,No best match available
46434V886,,No best match available
46434V704,,No best match available
46434V803,,No best match available
47215P106,JD.O,
33732H207,,No best match available
749119103,QUOT.K,
46434V860,,No best match available
46429B564,,No best match available
12574Q103,,No best match available
78112V102,RUBI.K,
25456J104,,No best match available
Y20668102,,No best match available
21234W400,,No best match available
30162T107,EXEO.PK,
14141D102,CDXI.PK,
03673L103,AM^C19,
M47238106,,No best match available
M20156127,,No best match available
14862Q100,CSLT.K,
00768Y693,,No best match available
00768Y685,,No best match available
00768Y669,,No best match available
00768Y677,,No best match available
269796108,EGRX.O,
46112W107,ITX.TO,
23126J208,CURM.PK,
Y59514102,,No best match available
902846104,UMCN.PK,
21872L104,CPLG.K,
69399E939,,No best match available
76674Q107,RMNI.O,
05579B105,,No best match available
90335C100,,No best match available
05579D101,,No best match available
05579E109,,No best match available
05579F106,,No best match available
05579G104,,No best match available
05590V106,,No best match available
05590X102,,No best match available
31948P104,FCBP.O,
915271100,UVSP.O,
62888Q109,,No best match available
759408107,NUUU.PK,
035128206,AU,
86458Q108,,No best match available
09970L100,,No best match available
03890D108,ARAV.O,
12555U107,,No best match available
125499103,,No best match available
919681106,,No best match available
910186105,UNDVL.PK^K17,
83190B101,SFS^F19,
M6778Q121,,No best match available
852383207,TSGL.PK,
002121101,ATEN.K,
178587101,CIO,
46124J102,IARE.PK,
343449104,FW.V,
923454102,VRTV.K,
