,ISIN,error
3AMBE,,No best match available
FCHDQ,US3036981047,
CNSTQ,,No best match available
ENERQ,US2926591098,
FLTWQ,US3390991038,
FFEX,US3593601046,
GAPTQ,US3900641032,
IBCIQ,US46072H1086,
KYC.,,No best match available
FGMGQ,US3406893061,
PTFCQ,US7078323091,
RONCQ,US7763382048,
3SCRD,,No best match available
SRCTQ,US8538872065,
ENCZQ,US2929731048,
BBAO,US0979241041,
CANRQ,US1372251082,
GEOKQ,US3729103073,
BMERQ,US09858M2044,
AXIHQ,US05462D1019,
NXXIQ,US67069V1089,
WATFZ,,No best match available
XIDEQ,US3020512063,
NAMS,US6300011052,
FFEDQ,US3379071091,
BHODQ,LR000A0D81P7,
FWMHQ,US30603D1090,
TELTQ,US8796983067,
CORSQ,US2208731032,
3HDTV,,No best match available
LFGRQ,US5149361033,
CSARQ,US1409091022,
VRSOQ,US9253172087,
HAYZQ,US4207814033,
THMRQ,US8852188007,
EGLSQ,US2853241097,
NRVHQ,US6372771047,
MCTIQ,US59479Q1004,
LNETQ,US5402111091,
ISOOQ,US46426P1030,
MVGRQ,US6245812036,
AWBCQ,US03058P1093,
TRMPQ,US89816T1034,
PHHMQ,US6966391038,
MBHIQ,US5982511066,
AOGSQ,US0520361009,
PFFBQ,US69331W1045,
TRMAQ,US8961062002,
HAEFQ,CA4049061092,
DRRAQ,US26632V1026,
KHKH,US4983262068,
MWYGQ,US5981481048,
KCA.,,No best match available
CWTRQ,US1930682026,
3DENT,,No best match available
TRBRQ,US8927821038,
NOBLQ,US6550531064,
CFW,,No best match available
3NCEY,,No best match available
TOUSQ,US8729621057,
CFG.2,,No best match available
LMN.,,No best match available
CYN.,,No best match available
PFE.2,,No best match available
DXMMQ,US25213A1079,
HORTQ,US4332451073,
PDRT,US70212G1013,
COCOQ,US2188681074,
KWKAQ,US74837R1041,
CDCAQ,KYG2022L1142,
CBNRQ,US2296751033,
MESFF,CA5839391037,
ARA.Z,,No best match available
GLDUQ,US40173B1026,
JLIC,US4770461063,
GORXQ,US37250A1060,
KITDQ,US4824702009,
REVUQ,US28141C1045,
HTHO,US40637E1064,
TMYEQ,US89376N1081,
0769B,NL0013673908,
HIPPQ,US4335071001,
MSNWQ,US58463F1049,
PNCLQ,US7234431077,
ISGTQ,US45776K1025,
LUMCQ,US5502783039,
MPCCQ,US5531661099,
FRPPF,CA3555211059,
JRCCQ,US4703552079,
PWB.3,,No best match available
ADALF,CA00547E1097,
ANRZQ,US02076X1028,
3BOGA,,No best match available
TBSIQ,IE00B5VT5X83,
GLNHQ,US37991A1007,
ASCLF,CA04350G1028,
TCMIQ,US89675K1025,
OSHWQ,US6881971021,
KOMUF,CA50047M1014,
MFGLQ,US55277J1088,
KIDSQ,US69945P1075,
BAXSQ,US0717731055,
GIGIQ,US4027381080,
GFGFQ,US40108N1063,
XRGYQ,CA98417U1049,
UNTKQ,US91324T3023,
SMXIQ,US8130841005,
LPRIQ,US54222A1060,
KIORQ,US4972171098,
PEYTF,CA69915T1057,
JHTXQ,US4682021062,
DUNRQ,US2653387074,
