,RIC,error
CWAY,,No best match available
HPU.,,No best match available
CNCE,,No best match available
SLFI,,No best match available
STSA,,No best match available
HOLD,,No best match available
ACSF,,No best match available
RCD.,,No best match available
RUD.,,No best match available
RID.,,No best match available
RBO.,,No best match available
HAXS,,No best match available
RIO,RIO,
STBA,,No best match available
NEWM,,No best match available
HCAC.,,No best match available
TPCO,,No best match available
TIME,,No best match available
LE,,No best match available
CTRE,,No best match available
CBAY,,No best match available
HEAR,,No best match available
RAND,,No best match available
RANKY,,No best match available
XDSL,,No best match available
TMX,,No best match available
EGDW,,No best match available
VUSE,,No best match available
EURL,,No best match available
NBZZF,,No best match available
SSET,,No best match available
LC,,No best match available
SABR,,No best match available
DI,,No best match available
TOBC,,No best match available
TWCF,,No best match available
LDUR,,No best match available
TM,,No best match available
QXUS,,No best match available
QEM,,No best match available
QDXU,,No best match available
QDEM,,No best match available
DBAW,,No best match available
DBKO,,No best match available
DBMX,DBMX.W^E14,
ZMLP,,No best match available
FECOF,,No best match available
UNIEF,,No best match available
OXBR,,No best match available
AUB,,No best match available
CHGT,,No best match available
AQXP,AQXP.W^E14,
AKAOQ,,No best match available
RESN,,No best match available
RIBS,,No best match available
BPMX,,No best match available
PCTY,,No best match available
OBTLY,,No best match available
USFR,,No best match available
HEWJ,,No best match available
HEWG,,No best match available
HEFA,,No best match available
JD,,No best match available
EUR.,,No best match available
QUOT,,No best match available
TFLO,,No best match available
IBMH,,No best match available
CMFN,CMFN.W^E14,
RUBI,,No best match available
DPRX,DPRX.W^E14,
DSG,,No best match available
CTRV,,No best match available
EXEO,,No best match available
CDXI,,No best match available
AM.2,,No best match available
GLMD,,No best match available
ORPN,ORPN.AX^E07,
CSLT,,No best match available
GLDE,,No best match available
GYEN,,No best match available
GEUR,GEUR.W^E14,
GGBP,,No best match available
EGRX,,No best match available
INGGF,,No best match available
CURM,,No best match available
MPME,,No best match available
UMCN,,No best match available
CPLG,,No best match available
9226B,,No best match available
RMNI,,No best match available
ZEQ.,,No best match available
USHS,,No best match available
ZSU.,,No best match available
ZEA.,,No best match available
ZWH.,,No best match available
ZFH.,,No best match available
ZBK.,,No best match available
ZDB.,,No best match available
FCBP,,No best match available
UVSP,,No best match available
NCTI,NCTI.PK^I11,
NUUU,,No best match available
AU,AU.Z,
SHGT,,No best match available
BRDR,,No best match available
ARAV,,No best match available
RWC.,,No best match available
RWW.,,No best match available
VHMC,,No best match available
UNDVL,,No best match available
SFS,,No best match available
LMNS,,No best match available
TSGL,,No best match available
ATEN,,No best match available
CIO,CIO,
IARE,,No best match available
AHFCF,,No best match available
VRTV,,No best match available
AKBA,,No best match available
WTBFA,,No best match available
EQLT,,No best match available
FDS.U,,No best match available
PRGBQ,,No best match available
WASH,,No best match available
KING,,No best match available
QTWO,,No best match available
TWOU,,No best match available
IPKW,,No best match available
SIPE,,No best match available
IEIL,,No best match available
IEIS,,No best match available
WBKC.,,No best match available
HIVE,,No best match available
KHTRF,,No best match available
GRUB,,No best match available
GIW,,No best match available
FIVN,,No best match available
KANG,KANG.W^E14,
OPWR,,No best match available
WMCO,,No best match available
CORI,,No best match available
WSPS,,No best match available
CATI,,No best match available
CDNL,,No best match available
TPVG,,No best match available
MC,,No best match available
YPRO,,No best match available
KBSR,,No best match available
YDKN.,,No best match available
ENLC,,No best match available
PKSLF,,No best match available
FTBYF,,No best match available
AIRR,,No best match available
DDIV,,No best match available
GURX,,No best match available
COCBF,,No best match available
GURI,,No best match available
MCET,,No best match available
GVAL,,No best match available
IJNK,,No best match available
POPE,,No best match available
CMCT,,No best match available
AGTC,,No best match available
ONRGF,,No best match available
TSLX,,No best match available
AGOAF,,No best match available
AMZKF,,No best match available
WATT,,No best match available
PTHN,,No best match available
AEGXF,,No best match available
MDWD,,No best match available
AMBR,,No best match available
ATLDF,,No best match available
PGSC,,No best match available
AZK,,No best match available
MEDP,,No best match available
AVPFF,,No best match available
KTWO,KTWO.W^E14,
WB,,No best match available
DPMLF,,No best match available
LEJU,,No best match available
AGRX,,No best match available
TMST,,No best match available
NMA,,No best match available
ALDX,,No best match available
CVBF,,No best match available
CVEO,,No best match available
AZR.1,,No best match available
CSWC,,No best match available
ALDR,,No best match available
AERT,,No best match available
SGNL,,No best match available
SCYX,,No best match available
TEDU,,No best match available
ADMS,,No best match available
LENSF,,No best match available
BGSF,,No best match available
RHC.5,,No best match available
QNMNF,QNMNF.PK^A13,
RDFVF,,No best match available
FREVS,,No best match available
FPL,FPL.Z,
IHG,IHG,
JMLP,,No best match available
STAK.,,No best match available
PETV,,No best match available
MAFB,,No best match available
AROS,,No best match available
TOLZ,,No best match available
BOX,BOX,
SERV,,No best match available
TUBE,,No best match available
CGC,CGC,
EDOG,,No best match available
FSK,FSK,
CCBG,,No best match available
ZOES,ZOES.W^E14,
PAHC,,No best match available
PAYC,,No best match available
QSP,,No best match available
BLCK,,No best match available
LIVR,LIVR.LJ^K06,
PRKI.,,No best match available
WMS,WMS,
CMCM,,No best match available
MTLS,,No best match available
AY,,No best match available
TRIV,,No best match available
MDIT,,No best match available
GW,,No best match available
QTNT,,No best match available
HCT,,No best match available
LMPLF,,No best match available
MTBC,,No best match available
SDPI,,No best match available
CNGO,,No best match available
DXJF,,No best match available
DXJR,DXJR.W^E14,
DXJC,DXJC.W^E14,
DXJH,DXJH.W^E14,
DXJT,,No best match available
MRD,,No best match available
TOUR,,No best match available
GLOP,,No best match available
ARET,,No best match available
STST,,No best match available
CERU,CERU.W^E14,
SMG,SMG,
GF,,No best match available
LUXTY,,No best match available
TRCR,,No best match available
ICON,,No best match available
ARCW.,,No best match available
ERF,ERF,
STIV,,No best match available
PSTRQ,,No best match available
VPOR.,,No best match available
NERV,,No best match available
BAR.3,,No best match available
CTLT,,No best match available
ZEN,ZEN,
HS,,No best match available
7065B,,No best match available
KEYS,,No best match available
