,Instrument,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Net Income/Starting Line, Cumulative",Delisted Quote Flag,Total Current Liabilities,Operating Income,Net Debt Incl. Pref.Stock & Min.Interest,Inventories (CF),Cash,Price
0,1351548,,542000.0,30566000.0,1.0,68722000.0,24680000.0,-46747000.0,-40000.0,,
1,1351548,,442000.0,27009000.0,,98475000.0,39309000.0,-83169000.0,-1031000.0,,
2,1351548,,442000.0,27009000.0,,98475000.0,39309000.0,-83169000.0,-1031000.0,,
3,1351548,,442000.0,27009000.0,,98475000.0,39309000.0,-83169000.0,-1031000.0,,
4,1351548,,442000.0,27009000.0,,98475000.0,39309000.0,-83169000.0,-1031000.0,,
5,1351548,,329000.0,54868000.0,,136158000.0,80722000.0,-110922000.0,-1837000.0,,
6,1351548,,329000.0,54868000.0,,136158000.0,80722000.0,-110922000.0,-1837000.0,,
7,1351548,,329000.0,54868000.0,,136158000.0,80722000.0,-110922000.0,-1837000.0,,
8,1351548,,329000.0,54868000.0,,136158000.0,80722000.0,-110922000.0,-1837000.0,,
9,1351548,,70197000.0,16550000.0,,152064000.0,11471000.0,-19358000.0,-2532000.0,,
10,1351548,,70197000.0,16550000.0,,152064000.0,11471000.0,-19358000.0,-2532000.0,,
11,1351548,,70197000.0,16550000.0,,152064000.0,11471000.0,-19358000.0,-2532000.0,,
12,1351548,,70197000.0,16550000.0,,152064000.0,11471000.0,-19358000.0,-2532000.0,,
13,1351548,,283608000.0,-22843000.0,,130519000.0,-32566000.0,178728000.0,-1833000.0,,
14,1351548,,283608000.0,-22843000.0,,130519000.0,-32566000.0,178728000.0,-1833000.0,,
15,1351548,,283608000.0,-22843000.0,,130519000.0,-32566000.0,178728000.0,-1833000.0,,
16,1351548,,283608000.0,-22843000.0,,130519000.0,-32566000.0,178728000.0,-1833000.0,,
17,1351548,,302493000.0,12635000.0,,181660000.0,32690000.0,111884000.0,-785000.0,,
18,1351548,,302493000.0,12635000.0,,181660000.0,32690000.0,111884000.0,-785000.0,,
