,Instrument,"Total Assets, Reported",Tangible Book Value - Reported,Instrument Is Active Flag,Accounts Payable (CF),"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)",Company Common Name,Bankruptcy Filing Date,Market Value for Company,Net Sales,Tangible Book Value Per Share
0,1383729,,,0.0,,,Fusion-Io LLC,,,,
1,1383729,,,,,,,,,,
2,1383729,,,,,,,,,,
3,1383729,,,,,,,,,,
4,1383729,,,,,,,,,,
5,1383729,,,,,,,,,,
6,1383729,,,,,,,,,,
7,1383729,,,,,,,,,,
8,1383729,,,,,,,,,,
9,1383729,,,,,,,,,,
10,1383729,,,,,,,,,,
11,1383729,,,,,,,,,,
12,1383729,,,,,,,,,,
13,1383729,,,,,,,,,,
14,1383729,,,,,,,,,,
15,1383729,,,,,,,,,,
16,1383729,,,,,,,,,,
17,1383729,,,,,,,,,,
18,1383729,,,,,,,,,,
19,1383729,,,,,,,,,,
20,1383729,,,,,,,,,,
21,1383729,,,,,,,,,,
22,1383729,,,,,,,,,,
23,1383729,,,,,,,,,,
24,1383729,,,,,,,,,,
25,1383729,,,,,,,,,0.0,
26,1383729,,,,,,,,,0.0,
27,1383729,,,,,,,,,0.0,
28,1383729,,,,,,,,,0.0,
29,1383729,,,,,,,,,4000.0,
30,1383729,,,,,,,,,4000.0,
31,1383729,,,,,,,,,4000.0,
32,1383729,,,,,,,,,4000.0,
33,1383729,,,,1131000.0,,,,,648000.0,
34,1383729,,,,1131000.0,,,,,648000.0,
35,1383729,,,,1131000.0,,,,,648000.0,
36,1383729,,,,1131000.0,,,,,648000.0,
37,1383729,28216000.0,-35647000.0,,1497000.0,,,,,10150000.0,-0.45813
38,1383729,28216000.0,-35647000.0,,1497000.0,,,,,10150000.0,-0.45813
39,1383729,28216000.0,-35647000.0,,1497000.0,,,,,10150000.0,-0.45813
40,1383729,28216000.0,-35647000.0,,1497000.0,,,,,10150000.0,-0.45813
41,1383729,28216000.0,-35647000.0,,1497000.0,,,,,10150000.0,-0.45813
42,1383729,28216000.0,-35647000.0,,1497000.0,,,,,10150000.0,-0.45813
43,1383729,28216000.0,-35647000.0,,1497000.0,,,,,10150000.0,-0.45813
44,1383729,28216000.0,-35647000.0,,1497000.0,,,,,10150000.0,-0.45813
45,1383729,59452000.0,-66109000.0,,8222000.0,,,,,36216000.0,-0.84963
46,1383729,317286000.0,274444000.0,,-593000.0,,,,,197204000.0,3.38195
47,1383729,317286000.0,274444000.0,,-593000.0,,,,,197204000.0,3.38195
48,1383729,317286000.0,274444000.0,,-593000.0,,,,,197204000.0,3.38195
49,1383729,317286000.0,274444000.0,,-593000.0,,,,,197204000.0,3.38195
50,1383729,541020000.0,397982000.0,,-249000.0,,,,,359349000.0,4.26144
51,1383729,541020000.0,397982000.0,,-249000.0,,,,,359349000.0,4.26144
52,1383729,541020000.0,397982000.0,,-249000.0,,,,,359349000.0,4.26144
53,1383729,541020000.0,397982000.0,,-249000.0,,,,,359349000.0,4.26144
54,1383729,607448000.0,312682000.0,,4094000.0,,,,,432386000.0,3.1737
55,1383729,607448000.0,312682000.0,,4094000.0,,,,,432386000.0,3.1737
56,1383729,607448000.0,312682000.0,,4094000.0,,,,,432386000.0,3.1737
57,1383729,607448000.0,312682000.0,,4094000.0,,,,,432386000.0,3.1737
58,1383729,607448000.0,312682000.0,,4094000.0,,,,,432386000.0,3.1737
59,1383729,607448000.0,312682000.0,,4094000.0,,,,,432386000.0,3.1737
