Date,VOLUME,HIGH,CLOSE,LOW,OPEN
2008-01-14,,0.001,0.001,0.001,0.001
2008-01-15,,0.001,0.001,0.001,0.001
2008-01-16,,0.001,0.001,0.001,0.001
